------Generation 0------
Rule  1: b2b9518255199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 657859592395d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1dd5551185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b271215835359, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a173192513118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 736111218318e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 471dd811e2152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 19ac152151515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d15d1551155d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 777581389d915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e135c1225111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a32d115153521, Class:  1, CF:0.937792, Len: 13, Fitness_tra: 1
Rule 15: 6a359111d1181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 6111111121153, Class:  1, CF:0.197021, Len: 13, Fitness_tra: 44
Rule 17: a6335c115dc2e, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 18: 117835e111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 39188551293c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0008000060e0d, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
Rule 21: 41712111d11d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 75118151d539c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 3d212e125c136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1a65551e1121e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: a121811355112, Class:  0, CF:0.787231, Len: 13, Fitness_tra: 2
Rule 26: 3f32955125286, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f5112115951d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 27b8221161388, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 29: aa35588259521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1921d111c8198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3911911551311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
