------Generation 0------
Rule  1: 12f12d81215c8, Class:  0, CF:0.450768, Len: 13, Fitness_tra: 1
Rule  2: 242a482d3331d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 35bd511151d51, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  4: 1e15815119121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 711d111525521, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 3d11582111d9d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: fdb5113121133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11f15111288c3, Class:  0, CF:0.999496, Len: 13, Fitness_tra: 15
Rule  9: f31c3984121e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 10: 11115d1858111, Class:  0, CF:0.990407, Len: 13, Fitness_tra: 4
Rule 11: 122111111d559, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 751111e11111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a91585d955518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2865515583111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00003002000c0, Class:  0, CF:0.301411, Len:  3, Fitness_tra: -222
Rule 16: 616598dd81d19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7443153515198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 61159811de515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: b7489991c1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a6a5e8c531511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 33b5121113511, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 22: 61fd5d352588e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 447181d551951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1519d82551555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4c314313e2413, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: af1d5215e5811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: bd14111521111, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 28: 13f89593528c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 44b558e231398, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 63791112c1318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 41255911191d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18b1191111551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 7813c92d83d81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b535c9811e121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 66b1855319121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2d3111412514d, Class:  0, CF:0.0674133, Len: 13, Fitness_tra: -4
Rule 37: 0009008d00095, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1111255c11551, Class:  0, CF:0.34446, Len: 13, Fitness_tra: 0
Rule 39: fffdd59181113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 274e18e81ded1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
