------Generation 0------
Rule  1: 156185e9c5153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1211211351119, Class:  0, CF:0.971542, Len: 13, Fitness_tra: 3
Rule  3: 4412589591598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4145d55591598, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 7251151d1158d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3119555951115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11359111c1111, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  8: bb41191219511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 78ad8518ddd94, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 4cf523c18398d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 75f5511551511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 712519ec85e95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1233195983525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f31be15211115, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 15: 7d32312111121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 2171d15115518, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 17: a9751dd555952, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 6315dd5121151, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 19: 44bde1152d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: f912e155113d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000c320000000, Class:  1, CF:0.111029, Len:  3, Fitness_tra: 287
Rule 22: 1135c39e18281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7111153d13e5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 6ffc1d31c118d, Class:  1, CF:0.798333, Len: 13, Fitness_tra: -4
Rule 25: 6315ddd15521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a1b91451351dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 4561582213c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 116dd5d129813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 6e215539891dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 7c23dd9c91e38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 41f15115b2821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2715155898198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
