------Generation 0------
Rule  1: f321e8151e911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: fe4545391311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7ca1139191211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 724189181539d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b565151585511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: ad15111c1c513, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: f578dd515d51d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1311811155511, Class:  1, CF:0.335589, Len: 13, Fitness_tra: 0
Rule  9: 000200040000e, Class:  0, CF:0.212236, Len:  3, Fitness_tra: 46
Rule 10: 6e12911d81335, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b8f1e1d329212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 312c258355985, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 272e51ec51355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 63a1de5188113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 134e58d8211d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11f555d551211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 753555535182e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 741538d253851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 42b1525531318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 111d555111555, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 2219151515915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1215c9d158319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 692321119d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4175d9cd91c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: ae225112555c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 3122915111591, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: 1111411315122, Class:  0, CF:0.759723, Len: 13, Fitness_tra: 0
Rule 28: 00000000c0900, Class:  0, CF:0.40692, Len:  2, Fitness_tra: 0
Rule 29: 000000002e000, Class:  0, CF:  1, Len:  2, Fitness_tra: 12
Rule 30: f121d9195d51c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 71f2931321511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6f68512921111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 713955d515115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
