------Generation 0------
Rule  1: b5fd815121922, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 11112131d125a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: bd1119e142211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13ac119112153, Class:  1, CF:0.158302, Len: 13, Fitness_tra: 0
Rule  6: 78a5152d899cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7d11511121229, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule  8: 53f111151d211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 39bc11131d3c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 164851395d511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4429111118e35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 212955d111135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1e78d1951d28c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f118521921521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4861c1e91c285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1235312151885, Class:  1, CF:0.356773, Len: 13, Fitness_tra: -2
Rule 17: 3e7d811389d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16611d19cd519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3161515155551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: a14d11151d151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 74795811e5e18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 18111581c9145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1c1525dcd1935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 4215892858d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 111c555918513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 21a21d19558d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: ad7555121199d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1211d15151911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 156255138115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 427e1851159d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: a12d11dd51111, Class:  0, CF:0.962096, Len: 13, Fitness_tra: 4
Rule 32: 747642c599511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: bcf5218d1e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 394e5531138d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4241215812998, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a1b912d51138d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7ca91515c5d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 4176111161351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11f5d8851d513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b111515811351, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: f51318d815151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 3e71155525158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4253251551111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7271c91c51351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 75fc91151112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000020de005d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4745823191551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1161dd8911119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: afa13d1525111, Class:  0, CF:0.999958, Len: 13, Fitness_tra: 4
Rule 50: b1f1155515523, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 11a55d8315819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 11f1151911111, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 53: 2bb4135211151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 48f5121153158, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 55: 8115515111159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 25f45d1152153, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 42111155c1115, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 58: f315d91811d91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b111cde131125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 42a5831d1e349, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
