------Generation 0------
Rule  1: 312d15115199d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 41313d4115821, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  3: 391111d919185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000e00c000, Class:  0, CF:0.875233, Len:  2, Fitness_tra: 90
Rule  5: 213e1d5d21289, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0b00d000c0060, Class:  0, CF:0.878046, Len:  4, Fitness_tra: 16
Rule  7: b81d811159525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1511233918159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1965355112211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 61155d1525512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 13f1de9918181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 45a8912d11921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 611c92d531585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 75f13145d112d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: b121391221999, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21b21155e59e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b4b2111151551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 333e118185119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3312e21133d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: 6913385281181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 657135d139dc8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b829551851d33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 61a29d1321123, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 332c15825119d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: fe7215912d1dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b5ac151581d45, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4c49598111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 7b15dcd191158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0002000000030, Class:  1, CF:0.0799397, Len:  2, Fitness_tra: 182
