------Generation 0------
Rule  1: 61ad8191c1816, Class:  1, CF:0.818853, Len: 13, Fitness_tra: 0
Rule  2: 00000000d0000, Class:  0, CF:0.127079, Len:  1, Fitness_tra: 17
Rule  3: 25388339428d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11bc93118355e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b271212155d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 75a2d15988851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 33411d1111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 000c000000000, Class:  1, CF:0.289174, Len:  1, Fitness_tra: 405
Rule  9: a11225dd113c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 41b181519d953, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: bc7511581d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0d00c00900000, Class:  0, CF:0.970324, Len:  3, Fitness_tra: 7
Rule 13: 000d000000000, Class:  0, CF:0.303108, Len:  1, Fitness_tra: 123
Rule 14: b145121251c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3118555151525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11b1251515552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1229555291551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b1211e2125595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 121cdd115dc8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1165119112881, Class:  1, CF:0.196866, Len: 13, Fitness_tra: 0
Rule 21: 42b31c3d91915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b8a1e51823155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b219132881315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000030d0000, Class:  0, CF:0.314844, Len:  2, Fitness_tra: 1
Rule 25: 121d1585c151d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 00000000c0000, Class:  1, CF:0.131792, Len:  1, Fitness_tra: -62
Rule 27: b4731cd339915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 118121185d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 1135931421e8c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 421c3121d5121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 7c69123813958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: bcb1c11151d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f63535d9258ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 45f1c51135111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7cb352e591313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 19231d1d18531, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 11a21119818c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: f6f912858558e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b232121213551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 713121111d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 42: 6928583925d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 1831158853151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: 316198111e111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 6a1893d515281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b5191825318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 3615115515513, Class:  0, CF:0.928836, Len: 13, Fitness_tra: 0
Rule 48: 4cbe1132181d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0002de0c00d00, Class:  0, CF:  1, Len:  5, Fitness_tra: 2
Rule 50: 0000ec000200c, Class:  0, CF:  1, Len:  4, Fitness_tra: 15
Rule 51: 6fa2193124181, Class:  1, CF:0.0712149, Len: 13, Fitness_tra: 0
Rule 52: 4b1d81c19311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 22b21112d5131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 54: 1411281592385, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 6af121195c211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 1311155d81421, Class:  0, CF:0.994709, Len: 13, Fitness_tra: 0
Rule 57: 43fc5521825d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 2c738512d1133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 611111192cc11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 60: 134518551155d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 1111111585113, Class:  0, CF:0.958958, Len: 13, Fitness_tra: 0
Rule 62: a9213111111c8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 63: 1315511528515, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 64: 3172833858816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 1212135611211, Class:  1, CF:0.778404, Len: 13, Fitness_tra: 0
Rule 66: 697ce11253115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7131155515911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 7221218d15111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 00030c38000d0, Class:  0, CF:0.652164, Len:  5, Fitness_tra: 2
Rule 70: ae1148e13354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: a131121193115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 72: 1e4c32551131d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 4141113191318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 71b8261112513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: b265c55511111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 11b13d1155111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 2275111892151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 41b1555511e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a11d23d5d5511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 80: 4211119311c21, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 81: 71715511e13e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 0000000009000, Class:  0, CF:0.960538, Len:  1, Fitness_tra: 94
Rule 83: 31a2dd118c211, Class:  0, CF:0.997869, Len: 13, Fitness_tra: 0
Rule 84: 00003000d0000, Class:  0, CF:0.532095, Len:  2, Fitness_tra: 62
Rule 85: b281115115189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 090ce00800000, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 87: a92c118115318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 712551d2ed151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 6661115555221, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 39751c5951181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 2165111515119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 4c51238525525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00000000c0000, Class:  1, CF:0.131792, Len:  1, Fitness_tra: 0
Rule 94: 7d31d5dd2dc85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 17bd115c98955, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 357555c219158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 28f9255525d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 11115d5d85d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 422dc5581d31d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 3e21551511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
------Current------
Miss_rate(tra)	:70.8025
------Result------
Miss_rate(tra)	:70.8025
Miss_rate(tst)	:51.5152
ARL				:9.71739

------Generation 0------
Rule  1: 000c000000000, Class:  1, CF:0.289174, Len:  1, Fitness_tra: 388
Rule  2: 000d000000000, Class:  0, CF:0.303108, Len:  1, Fitness_tra: 123
Rule  3: 0000000009000, Class:  0, CF:0.960538, Len:  1, Fitness_tra: 99
Rule  4: 00003000d0000, Class:  0, CF:0.532095, Len:  2, Fitness_tra: 49
Rule  5: 00000000d0000, Class:  0, CF:0.127079, Len:  1, Fitness_tra: 23
Rule  6: 0000ec000200c, Class:  0, CF:  1, Len:  4, Fitness_tra: 16
Rule  7: 0d00c00900000, Class:  0, CF:0.970324, Len:  3, Fitness_tra: 6
Rule  8: 0002de0c00d00, Class:  0, CF:  1, Len:  5, Fitness_tra: 8
Rule  9: 00030c38000d0, Class:  0, CF:0.652164, Len:  5, Fitness_tra: 0
Rule 10: 090ce00800000, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 11: 00000030d0000, Class:  0, CF:0.314844, Len:  2, Fitness_tra: 5
Rule 12: 61ad8191c1816, Class:  1, CF:0.818853, Len: 13, Fitness_tra: 0
Rule 13: b271212155d18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b145121251c95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3118555151525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11b1251515552, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1229555291551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b1211e2125595, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 121cdd115dc8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1165119112881, Class:  1, CF:0.196866, Len: 13, Fitness_tra: 0
Rule 21: 42b31c3d91915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b8a1e51823155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b219132881315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 75a2d15988851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 121d1585c151d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 3e21551511511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: b4731cd339915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 118121185d111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 1135931421e8c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 421c3121d5121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 7c69123813958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: bcb1c11151d3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: f63535d9258ce, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 45f1c51135111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7cb352e591313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 19231d1d18531, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 11a21119818c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
