------Generation 0------
Rule  1: 1513d5dd2114e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7179281111935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7cb1515111231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3e23111155512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 391d51d955512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7c19835c11993, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1919d5dd15591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: a1223981111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: bd11355d1d819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b111531515551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 7131d51123129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 41b9832255851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f1a58211d3859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a342151d65552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2475211c58958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f9225a15d1226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3f3d3dd51d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: b441581d15d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4ca1189312213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: b5a5ddd15522e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 12783e1883111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4126129c95511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 333595112d811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 74b5d5d1183dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22151d53c1125, Class:  0, CF:0.999975, Len: 13, Fitness_tra: 0
Rule 26: 132825d121111, Class:  0, CF:0.782972, Len: 13, Fitness_tra: -2
Rule 27: f941185151d5d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 6f159951c5221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 722381526538d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1c21131812511, Class:  0, CF:0.564115, Len: 13, Fitness_tra: 0
Rule 31: 1131938111182, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 0009900080000, Class:  0, CF:  1, Len:  3, Fitness_tra: 3
Rule 33: 451155512111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 11121d155d813, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 35: 020093c000d40, Class:  0, CF:  1, Len:  6, Fitness_tra: 15
Rule 36: 7423518111e1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 51a1111d8d14e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 25615811831d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: a5218d28d1311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
