------Generation 0------
Rule  1: d5cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 18247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 1c444, Class:  0, CF:0.975391, Len:  5, Fitness_tra: 0
Rule  4: 95474, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 21174, Class:  1, CF:0.774303, Len:  5, Fitness_tra: 0
Rule  6: e4211, Class:  0, CF:0.78585, Len:  5, Fitness_tra: 0
Rule  7: 92221, Class:  0, CF:0.27643, Len:  5, Fitness_tra: 0
Rule  8: 91c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9d1bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  0, CF:0.375813, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  0, CF:0.651924, Len:  5, Fitness_tra: 0
Rule 14: d1241, Class:  1, CF:0.00921228, Len:  5, Fitness_tra: 0
Rule 15: e1211, Class:  0, CF:0.230865, Len:  5, Fitness_tra: 0
Rule 16: 51472, Class:  1, CF:0.878415, Len:  5, Fitness_tra: 0
Rule 17: 51112, Class:  1, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 18: 38214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 9541b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d812b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11141, Class:  0, CF:0.133659, Len:  5, Fitness_tra: 0
Rule 22: 98c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 51214, Class:  0, CF:0.0934598, Len:  5, Fitness_tra: 0
Rule 24: 12717, Class:  0, CF:0.869328, Len:  5, Fitness_tra: 0
Rule 25: 91272, Class:  1, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 26: 15472, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: dc447, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 1547b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 51217, Class:  0, CF:0.273667, Len:  5, Fitness_tra: 0
Rule 30: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 31: 52221, Class:  0, CF:0.52117, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 102
Rule 33: 18c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 35: 14422, Class:  1, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 36: 91474, Class:  1, CF:0.910737, Len:  5, Fitness_tra: 0
Rule 37: 12714, Class:  0, CF:0.804013, Len:  5, Fitness_tra: 0
Rule 38: 2111b, Class:  0, CF:0.326827, Len:  5, Fitness_tra: 0
Rule 39: 11111, Class:  0, CF:0.815037, Len:  5, Fitness_tra: 0
Rule 40: 311bb, Class:  0, CF:0.354516, Len:  5, Fitness_tra: 0
Rule 41: 52124, Class:  1, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 42: d114b, Class:  1, CF:0.756427, Len:  5, Fitness_tra: 0
Rule 43: e2c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 8c277, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 11121, Class:  1, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 46: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 47: 58224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 52141, Class:  0, CF:0.149933, Len:  5, Fitness_tra: 0
Rule 50: 91211, Class:  0, CF:0.41662, Len:  5, Fitness_tra: 0
Rule 51: 1c111, Class:  0, CF:0.999906, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 53: 58211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 9121b, Class:  1, CF:0.139743, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 56: 92272, Class:  1, CF:0.78898, Len:  5, Fitness_tra: 0
Rule 57: c112b, Class:  1, CF:0.0568468, Len:  5, Fitness_tra: 0
Rule 58: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 59: 15174, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 60: 55217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 12211, Class:  0, CF:0.986398, Len:  5, Fitness_tra: 0
Rule 62: 91217, Class:  1, CF:0.216281, Len:  5, Fitness_tra: 0
Rule 63: 11274, Class:  1, CF:0.258571, Len:  5, Fitness_tra: 0
Rule 64: 1212b, Class:  0, CF:0.377912, Len:  5, Fitness_tra: 0
Rule 65: 04000, Class:  0, CF:0.884156, Len:  1, Fitness_tra: 38
Rule 66: 2c422, Class:  0, CF:0.920059, Len:  5, Fitness_tra: 0
Rule 67: 15247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 68: 92124, Class:  1, CF:0.835366, Len:  5, Fitness_tra: 0
Rule 69: 04700, Class:  0, CF:0.921418, Len:  2, Fitness_tra: 0
Rule 70: 5d24b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 124bb, Class:  0, CF:0.733422, Len:  5, Fitness_tra: 0
Rule 72: 32117, Class:  0, CF:0.821925, Len:  5, Fitness_tra: 0
Rule 73: 12477, Class:  0, CF:0.612004, Len:  5, Fitness_tra: 0
Rule 74: 52247, Class:  1, CF:0.120517, Len:  5, Fitness_tra: 0
Rule 75: 52274, Class:  1, CF:0.358933, Len:  5, Fitness_tra: 0
Rule 76: 51172, Class:  1, CF:0.930975, Len:  5, Fitness_tra: 0
Rule 77: 18111, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 92145, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 15127, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 12442, Class:  1, CF:0.241042, Len:  5, Fitness_tra: 0
Rule 81: 51141, Class:  1, CF:0.705936, Len:  5, Fitness_tra: 0
Rule 82: 12271, Class:  0, CF:0.94057, Len:  5, Fitness_tra: 0
Rule 83: 52142, Class:  1, CF:0.783637, Len:  5, Fitness_tra: 0
Rule 84: d2421, Class:  0, CF:0.629216, Len:  5, Fitness_tra: 0
Rule 85: 12744, Class:  0, CF:0.219503, Len:  5, Fitness_tra: 0
Rule 86: 12114, Class:  0, CF:0.706879, Len:  5, Fitness_tra: 0
Rule 87: 95124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 13172, Class:  1, CF:0.84187, Len:  5, Fitness_tra: 0
Rule 89: 12c7b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 90: 8142b, Class:  1, CF:0.217925, Len:  5, Fitness_tra: 0
Rule 91: 11171, Class:  0, CF:0.212501, Len:  5, Fitness_tra: 0
Rule 92: 532b1, Class:  1, CF:0.51092, Len:  5, Fitness_tra: 0
Rule 93: 11b1b, Class:  0, CF:0.715247, Len:  5, Fitness_tra: 0
Rule 94: 51127, Class:  1, CF:0.91496, Len:  5, Fitness_tra: 0
Rule 95: 18141, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 31414, Class:  0, CF:0.709259, Len:  5, Fitness_tra: 0
Rule 97: 91241, Class:  1, CF:0.695264, Len:  5, Fitness_tra: 0
Rule 98: 31144, Class:  0, CF:0.354516, Len:  5, Fitness_tra: 0
Rule 99: 1dc11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 1527b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:13.9175
------Result------
Miss_rate(tra)	:13.9175
Miss_rate(tst)	:14.2857
ARL				:4.78

------Generation 0------
Rule  1: d5cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 18247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 1c444, Class:  0, CF:0.975391, Len:  5, Fitness_tra: 0
Rule  4: 95474, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 21174, Class:  1, CF:0.774303, Len:  5, Fitness_tra: 0
Rule  6: e4211, Class:  0, CF:0.78585, Len:  5, Fitness_tra: 0
Rule  7: 92221, Class:  0, CF:0.27643, Len:  5, Fitness_tra: 0
Rule  8: 91c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9d1bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  0, CF:0.375813, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  0, CF:0.651924, Len:  5, Fitness_tra: 0
Rule 14: d1241, Class:  1, CF:0.00921228, Len:  5, Fitness_tra: 0
Rule 15: e1211, Class:  0, CF:0.230865, Len:  5, Fitness_tra: 0
Rule 16: 51472, Class:  1, CF:0.878415, Len:  5, Fitness_tra: 0
Rule 17: 51112, Class:  1, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 18: 38214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 9541b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d812b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11141, Class:  0, CF:0.133659, Len:  5, Fitness_tra: 0
Rule 22: 98c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 51214, Class:  0, CF:0.0934598, Len:  5, Fitness_tra: 0
Rule 24: 12717, Class:  0, CF:0.869328, Len:  5, Fitness_tra: 0
Rule 25: 91272, Class:  1, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 26: 15472, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: dc447, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 1547b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 51217, Class:  0, CF:0.273667, Len:  5, Fitness_tra: 0
Rule 30: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 31: 52221, Class:  0, CF:0.52117, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 102
Rule 33: 18c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 35: 14422, Class:  1, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 36: 91474, Class:  1, CF:0.910737, Len:  5, Fitness_tra: 0
Rule 37: 12714, Class:  0, CF:0.804013, Len:  5, Fitness_tra: 0
Rule 38: 2111b, Class:  0, CF:0.326827, Len:  5, Fitness_tra: 0
Rule 39: 11111, Class:  0, CF:0.815037, Len:  5, Fitness_tra: 0
Rule 40: 311bb, Class:  0, CF:0.354516, Len:  5, Fitness_tra: 0
Rule 41: 52124, Class:  1, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 42: d114b, Class:  1, CF:0.756427, Len:  5, Fitness_tra: 0
Rule 43: e2c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 8c277, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 11121, Class:  1, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 46: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 47: 58224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 52141, Class:  0, CF:0.149933, Len:  5, Fitness_tra: 0
Rule 50: 91211, Class:  0, CF:0.41662, Len:  5, Fitness_tra: 0
Rule 51: 1c111, Class:  0, CF:0.999906, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 53: 58211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 9121b, Class:  1, CF:0.139743, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 56: 92272, Class:  1, CF:0.78898, Len:  5, Fitness_tra: 0
Rule 57: c112b, Class:  1, CF:0.0568468, Len:  5, Fitness_tra: 0
Rule 58: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 59: 15174, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 60: 55217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 12211, Class:  0, CF:0.986398, Len:  5, Fitness_tra: 0
Rule 62: 91217, Class:  1, CF:0.216281, Len:  5, Fitness_tra: 0
Rule 63: 11274, Class:  1, CF:0.258571, Len:  5, Fitness_tra: 0
Rule 64: 1212b, Class:  0, CF:0.377912, Len:  5, Fitness_tra: 0
Rule 65: 04000, Class:  0, CF:0.884156, Len:  1, Fitness_tra: 38
Rule 66: 2c422, Class:  0, CF:0.920059, Len:  5, Fitness_tra: 0
Rule 67: 15247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 68: 92124, Class:  1, CF:0.835366, Len:  5, Fitness_tra: 0
Rule 69: 04700, Class:  0, CF:0.921418, Len:  2, Fitness_tra: 0
Rule 70: 5d24b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 124bb, Class:  0, CF:0.733422, Len:  5, Fitness_tra: 0
Rule 72: 32117, Class:  0, CF:0.821925, Len:  5, Fitness_tra: 0
Rule 73: 12477, Class:  0, CF:0.612004, Len:  5, Fitness_tra: 0
Rule 74: 52247, Class:  1, CF:0.120517, Len:  5, Fitness_tra: 0
Rule 75: 52274, Class:  1, CF:0.358933, Len:  5, Fitness_tra: 0
Rule 76: 51172, Class:  1, CF:0.930975, Len:  5, Fitness_tra: 0
Rule 77: 18111, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 78: 92145, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 15127, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 12442, Class:  1, CF:0.241042, Len:  5, Fitness_tra: 0
Rule 81: 51141, Class:  1, CF:0.705936, Len:  5, Fitness_tra: 0
Rule 82: 12271, Class:  0, CF:0.94057, Len:  5, Fitness_tra: 0
Rule 83: 52142, Class:  1, CF:0.783637, Len:  5, Fitness_tra: 0
Rule 84: d2421, Class:  0, CF:0.629216, Len:  5, Fitness_tra: 0
Rule 85: 12744, Class:  0, CF:0.219503, Len:  5, Fitness_tra: 0
Rule 86: 12114, Class:  0, CF:0.706879, Len:  5, Fitness_tra: 0
Rule 87: 95124, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 88: 13172, Class:  1, CF:0.84187, Len:  5, Fitness_tra: 0
Rule 89: 12c7b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 90: 8142b, Class:  1, CF:0.217925, Len:  5, Fitness_tra: 0
Rule 91: 11171, Class:  0, CF:0.212501, Len:  5, Fitness_tra: 0
Rule 92: 532b1, Class:  1, CF:0.51092, Len:  5, Fitness_tra: 0
Rule 93: 11b1b, Class:  0, CF:0.715247, Len:  5, Fitness_tra: 0
Rule 94: 51127, Class:  1, CF:0.91496, Len:  5, Fitness_tra: 0
Rule 95: 18141, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 31414, Class:  0, CF:0.709259, Len:  5, Fitness_tra: 0
Rule 97: 91241, Class:  1, CF:0.695264, Len:  5, Fitness_tra: 0
Rule 98: 31144, Class:  0, CF:0.354516, Len:  5, Fitness_tra: 0
Rule 99: 1dc11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule100: 1527b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:13.9175
------Result------
Miss_rate(tra)	:13.9175
Miss_rate(tst)	:14.2857
ARL				:4.78

------Generation 1------
Rule  1: d5cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 18247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 1c444, Class:  0, CF:0.975391, Len:  5, Fitness_tra: 0
Rule  4: 95474, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 21174, Class:  1, CF:0.774303, Len:  5, Fitness_tra: 0
Rule  6: e4211, Class:  0, CF:0.78585, Len:  5, Fitness_tra: 0
Rule  7: 92221, Class:  0, CF:0.27643, Len:  5, Fitness_tra: 0
Rule  8: 91c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9d1bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 95c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  0, CF:0.375813, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  0, CF:0.651924, Len:  5, Fitness_tra: 0
Rule 14: d1241, Class:  1, CF:0.00921228, Len:  5, Fitness_tra: 0
Rule 15: e1211, Class:  0, CF:0.230865, Len:  5, Fitness_tra: 0
Rule 16: 51472, Class:  1, CF:0.878415, Len:  5, Fitness_tra: 0
Rule 17: 51112, Class:  1, CF:0.43773, Len:  5, Fitness_tra: 0
Rule 18: 38214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 9541b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d812b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11141, Class:  0, CF:0.133659, Len:  5, Fitness_tra: 0
Rule 22: 98c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 51214, Class:  0, CF:0.0934598, Len:  5, Fitness_tra: 0
Rule 24: 12717, Class:  0, CF:0.869328, Len:  5, Fitness_tra: 0
Rule 25: 91272, Class:  1, CF:0.942387, Len:  5, Fitness_tra: 0
Rule 26: 15472, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: dc447, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 1547b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 51217, Class:  0, CF:0.273667, Len:  5, Fitness_tra: 0
Rule 30: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 31: 52221, Class:  0, CF:0.52117, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 102
Rule 33: 18c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 35: 14422, Class:  1, CF:0.303523, Len:  5, Fitness_tra: 0
Rule 36: 91474, Class:  1, CF:0.910737, Len:  5, Fitness_tra: 0
Rule 37: 12714, Class:  0, CF:0.804013, Len:  5, Fitness_tra: 0
Rule 38: 2111b, Class:  0, CF:0.326827, Len:  5, Fitness_tra: 0
Rule 39: 11111, Class:  0, CF:0.815037, Len:  5, Fitness_tra: 0
Rule 40: 311bb, Class:  0, CF:0.354516, Len:  5, Fitness_tra: 0
Rule 41: 52124, Class:  1, CF:0.60309, Len:  5, Fitness_tra: 0
Rule 42: d114b, Class:  1, CF:0.756427, Len:  5, Fitness_tra: 0
Rule 43: e2c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 8c277, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 11121, Class:  1, CF:0.0196941, Len:  5, Fitness_tra: 0
Rule 46: 11217, Class:  0, CF:0.677805, Len:  5, Fitness_tra: 0
Rule 47: 58224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 52141, Class:  0, CF:0.149933, Len:  5, Fitness_tra: 0
Rule 50: 91211, Class:  0, CF:0.41662, Len:  5, Fitness_tra: 0
Rule 51: 1c111, Class:  0, CF:0.999906, Len:  5, Fitness_tra: 0
Rule 52: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 53: 58211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 9121b, Class:  1, CF:0.139743, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  0, CF:0.721649, Len:  0, Fitness_tra: 0
Rule 56: 92272, Class:  1, CF:0.78898, Len:  5, Fitness_tra: 0
Rule 57: c112b, Class:  1, CF:0.0568468, Len:  5, Fitness_tra: 0
Rule 58: 122b1, Class:  0, CF:0.947985, Len:  5, Fitness_tra: 0
Rule 59: 15174, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
