------Generation 0------
Rule  1: b8bca1b447, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1b745a7474, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: 72475e7421, Class:  1, CF:0.979126, Len: 10, Fitness_tra: 0
Rule  5: 4847131d24, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  6: b92bc54411, Class:  1, CF:0.885009, Len: 10, Fitness_tra: 0
Rule  7: b4b48141bb, Class:  1, CF:0.904353, Len: 10, Fitness_tra: 0
Rule  8: 4277891741, Class:  1, CF:0.823803, Len: 10, Fitness_tra: 0
Rule  9: b472551772, Class:  1, CF:0.927939, Len: 10, Fitness_tra: 0
Rule 10: 412133b417, Class:  1, CF:0.998146, Len: 10, Fitness_tra: 0
Rule 11: b241bb712b, Class:  1, CF:0.990613, Len: 10, Fitness_tra: 0
Rule 12: 2142197b17, Class:  1, CF:0.696628, Len: 10, Fitness_tra: 0
Rule 13: 4141614b17, Class:  1, CF:0.996376, Len: 10, Fitness_tra: 3
Rule 14: 7177214772, Class:  1, CF:0.969173, Len: 10, Fitness_tra: 0
Rule 15: 877471477b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 000c000000, Class:  1, CF:0.981122, Len:  1, Fitness_tra: 543
Rule 17: 121c164b14, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 42211ab4b2, Class:  1, CF:0.999998, Len: 10, Fitness_tra: 0
Rule 20: 141b287447, Class:  1, CF:0.921862, Len: 10, Fitness_tra: 0
Rule 21: 257413b142, Class:  1, CF:0.997651, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 171b111114, Class:  0, CF:0.739715, Len: 10, Fitness_tra: -573
Rule 24: 11bb232247, Class:  1, CF:0.931486, Len: 10, Fitness_tra: 0
Rule 25: 114bc3b117, Class:  1, CF:0.980177, Len: 10, Fitness_tra: 0
Rule 26: b277111211, Class:  1, CF:0.852351, Len: 10, Fitness_tra: 27
Rule 27: 2417864247, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4b27aa1417, Class:  1, CF:0.999896, Len: 10, Fitness_tra: 0
Rule 30: 12111e1272, Class:  1, CF:0.420775, Len: 10, Fitness_tra: 543
Rule 31: 74115141b7, Class:  1, CF:0.860044, Len: 10, Fitness_tra: 0
Rule 32: 42b2c322b1, Class:  1, CF:0.649236, Len: 10, Fitness_tra: 0
Rule 33: 25b1191742, Class:  0, CF:0.495522, Len: 10, Fitness_tra: 0
Rule 34: 77172542b7, Class:  1, CF:0.937038, Len: 10, Fitness_tra: 0
Rule 35: 121c332771, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 36: 232d137722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 24448e4124, Class:  1, CF:0.960764, Len: 10, Fitness_tra: 0
Rule 38: 117b85b127, Class:  1, CF:0.883226, Len: 10, Fitness_tra: 6
Rule 39: bd2211b127, Class:  1, CF:0.991356, Len: 10, Fitness_tra: 0
Rule 40: 7772a67744, Class:  1, CF:0.999727, Len: 10, Fitness_tra: 0
Rule 41: 7441182171, Class:  1, CF:0.874539, Len: 10, Fitness_tra: 9
Rule 42: 11b71eb241, Class:  1, CF:0.907168, Len: 10, Fitness_tra: 74
Rule 43: 4d21554722, Class:  1, CF:0.816989, Len: 10, Fitness_tra: 0
Rule 44: 4112391741, Class:  1, CF:0.333616, Len: 10, Fitness_tra: 5
