------Generation 0------
Rule  1: b214162b41, Class:  1, CF:0.996575, Len: 10, Fitness_tra: 0
Rule  2: 721115b222, Class:  1, CF:0.957127, Len: 10, Fitness_tra: 0
Rule  3: 7172afb2b7, Class:  1, CF:0.999939, Len: 10, Fitness_tra: 0
Rule  4: 2142c17414, Class:  1, CF:0.877565, Len: 10, Fitness_tra: 0
Rule  5: b77231bbb7, Class:  1, CF:0.963503, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7bbb362441, Class:  1, CF:0.997306, Len: 10, Fitness_tra: 0
Rule  9: 7112834411, Class:  1, CF:0.870055, Len: 10, Fitness_tra: 4
Rule 10: 22128122b4, Class:  1, CF:0.901145, Len: 10, Fitness_tra: 0
Rule 11: 7711df7742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b711217b2b, Class:  1, CF:0.852635, Len: 10, Fitness_tra: 0
Rule 13: 2174234b4c, Class:  1, CF:0.999677, Len: 10, Fitness_tra: 0
Rule 14: b4b4167b12, Class:  1, CF:0.998957, Len: 10, Fitness_tra: 0
Rule 15: 21b1f31111, Class:  1, CF:0.980986, Len: 10, Fitness_tra: 508
Rule 16: 247b56b447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1447ce2722, Class:  0, CF:0.339386, Len: 10, Fitness_tra: -5
Rule 18: 4f25d92422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 42711d7721, Class:  1, CF:0.8995, Len: 10, Fitness_tra: 0
Rule 20: 4c74192722, Class:  1, CF:0.758439, Len: 10, Fitness_tra: 0
Rule 21: 1247112711, Class:  1, CF:0.959962, Len: 10, Fitness_tra: 88
Rule 22: 0000d00000, Class:  1, CF:0.714866, Len:  1, Fitness_tra: 1363
Rule 23: 427221b722, Class:  1, CF:0.968183, Len: 10, Fitness_tra: 0
Rule 24: 7441912bb4, Class:  1, CF:0.854603, Len: 10, Fitness_tra: 0
Rule 25: 771136bb7b, Class:  1, CF:0.998894, Len: 10, Fitness_tra: 3
Rule 26: b444212711, Class:  1, CF:0.84775, Len: 10, Fitness_tra: 0
Rule 27: 447b834b71, Class:  1, CF:0.23146, Len: 10, Fitness_tra: 0
Rule 28: b2b416212b, Class:  1, CF:0.998792, Len: 10, Fitness_tra: 0
Rule 29: 4111e61474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 21b13f724b, Class:  1, CF:0.99998, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
