------Generation 0------
Rule  1: b4bbd14221, Class:  1, CF:0.984488, Len: 10, Fitness_tra: 0
Rule  2: b241112417, Class:  1, CF:0.976082, Len: 10, Fitness_tra: 0
Rule  3: 1b14da242b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: 27b18f7bbb, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b111dd2724, Class:  1, CF:0.993152, Len: 10, Fitness_tra: 0
Rule  7: 22128a21b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 2227867742, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 42bb89bb7b, Class:  1, CF:0.80255, Len: 10, Fitness_tra: 0
Rule 10: 1442114144, Class:  1, CF:0.891405, Len: 10, Fitness_tra: 1
Rule 11: 77bb811171, Class:  1, CF:0.877556, Len: 10, Fitness_tra: 40
Rule 12: 321111bb21, Class:  1, CF:0.791744, Len: 10, Fitness_tra: 1138
Rule 13: 221b2f2144, Class:  1, CF:0.998137, Len: 10, Fitness_tra: 0
Rule 14: 721196b421, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 4227131217, Class:  1, CF:0.98588, Len: 10, Fitness_tra: 7
Rule 16: b24223747b, Class:  1, CF:0.947246, Len: 10, Fitness_tra: 0
Rule 17: 1112421b77, Class:  1, CF:0.198655, Len: 10, Fitness_tra: -2419
Rule 18: b1741924bb, Class:  1, CF:0.886853, Len: 10, Fitness_tra: 0
Rule 19: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1174217424, Class:  1, CF:0.922096, Len: 10, Fitness_tra: 0
Rule 21: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 414721b1b4, Class:  1, CF:0.917127, Len: 10, Fitness_tra: 0
Rule 23: 4b2be142b2, Class:  1, CF:0.983312, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22143fbb2b, Class:  1, CF:0.999152, Len: 10, Fitness_tra: 0
Rule 26: 7b7213b7b1, Class:  1, CF:0.991207, Len: 10, Fitness_tra: 0
Rule 27: 717451b2bb, Class:  1, CF:0.967192, Len: 10, Fitness_tra: 0
Rule 28: 782b214141, Class:  1, CF:0.934184, Len: 10, Fitness_tra: 0
Rule 29: 417b661717, Class:  1, CF:0.983774, Len: 10, Fitness_tra: 29
Rule 30: b32181b141, Class:  1, CF:0.860366, Len: 10, Fitness_tra: 46
