------Generation 0------
Rule  1: 217b81b2b2, Class:  1, CF:0.94274, Len: 10, Fitness_tra: 0
Rule  2: 714b2527b4, Class:  1, CF:0.911133, Len: 10, Fitness_tra: 3
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 27b48f411b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: b4421f4777, Class:  1, CF:0.999976, Len: 10, Fitness_tra: 0
Rule  6: 7171214274, Class:  1, CF:0.978366, Len: 10, Fitness_tra: 0
Rule  7: b2b76a2b27, Class:  1, CF:0.999779, Len: 10, Fitness_tra: 0
Rule  8: 7b7b832741, Class:  1, CF:0.960325, Len: 10, Fitness_tra: 0
Rule  9: 2b1211421b, Class:  1, CF:0.970276, Len: 10, Fitness_tra: 0
Rule 10: 7112367b11, Class:  1, CF:0.983191, Len: 10, Fitness_tra: 20
Rule 11: 4d441d1b14, Class:  1, CF:0.400572, Len: 10, Fitness_tra: -140
Rule 12: 15c724bcc7, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 21471e1214, Class:  1, CF:0.87476, Len: 10, Fitness_tra: 0
Rule 14: 494b137121, Class:  1, CF:0.989292, Len: 10, Fitness_tra: 0
Rule 15: 441bfa241b, Class:  1, CF:0.998515, Len: 10, Fitness_tra: 0
Rule 16: 7a72d14472, Class:  1, CF:0.992187, Len: 10, Fitness_tra: 0
Rule 17: 1911f1424b, Class:  1, CF:0.97858, Len: 10, Fitness_tra: 0
Rule 18: 74123a4774, Class:  1, CF:0.99974, Len: 10, Fitness_tra: 0
Rule 19: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: b1441e1212, Class:  1, CF:0.883227, Len: 10, Fitness_tra: -820
Rule 21: b2445abb12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 1fbd114bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b114411722, Class:  1, CF:0.854429, Len: 10, Fitness_tra: -453
Rule 25: 47b466b717, Class:  1, CF:0.999018, Len: 10, Fitness_tra: 0
Rule 26: 2c71634b77, Class:  1, CF:0.998199, Len: 10, Fitness_tra: 0
Rule 27: 2b725a2272, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: b917534bb1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000550, Class:  1, CF:  1, Len:  2, Fitness_tra: 28
Rule 30: 721111b147, Class:  1, CF:0.949502, Len: 10, Fitness_tra: -2036
Rule 31: 4c24151b47, Class:  1, CF:0.885187, Len: 10, Fitness_tra: -11
Rule 32: 41b7237714, Class:  1, CF:0.988224, Len: 10, Fitness_tra: 0
Rule 33: 7272511b4b, Class:  1, CF:0.673471, Len: 10, Fitness_tra: 0
Rule 34: 1241117b41, Class:  1, CF:0.946951, Len: 10, Fitness_tra: 404
Rule 35: b24bde421b, Class:  1, CF:0.954561, Len: 10, Fitness_tra: 2
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2177ce2724, Class:  1, CF:0.921477, Len: 10, Fitness_tra: 0
Rule 39: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: b47133712b, Class:  1, CF:0.995962, Len: 10, Fitness_tra: 0
Rule 41: 24bbc1b111, Class:  1, CF:0.891338, Len: 10, Fitness_tra: 453
Rule 42: 21b2ce4242, Class:  1, CF:0.962025, Len: 10, Fitness_tra: 0
Rule 43: 4c726abb44, Class:  1, CF:0.999845, Len: 10, Fitness_tra: 0
Rule 44: b2b4114422, Class:  1, CF:0.975831, Len: 10, Fitness_tra: 0
Rule 45: 17bb2a4b47, Class:  1, CF:0.999727, Len: 10, Fitness_tra: 0
Rule 46: 12141a271b, Class:  1, CF:0.981911, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 272b452127, Class:  1, CF:0.890329, Len: 10, Fitness_tra: 0
