------Generation 0------
Rule  1: bb71787447, Class:  1, CF:0.991391, Len: 10, Fitness_tra: 1
Rule  2: b727811772, Class:  1, CF:0.927597, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 4118364414, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 747166b112, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 15
Rule  7: 24711f7222, Class:  1, CF:0.999998, Len: 10, Fitness_tra: 0
Rule  8: b17b16b141, Class:  1, CF:0.99295, Len: 10, Fitness_tra: 0
Rule  9: 24b28fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2db4434471, Class:  1, CF:0.982844, Len: 10, Fitness_tra: 0
Rule 12: 117b511721, Class:  1, CF:0.964182, Len: 10, Fitness_tra: 0
Rule 13: b421ce4742, Class:  1, CF:0.99517, Len: 10, Fitness_tra: 0
Rule 14: b44213b17b, Class:  1, CF:0.990372, Len: 10, Fitness_tra: 0
Rule 15: 24217d424b, Class:  1, CF:0.957806, Len: 10, Fitness_tra: 0
Rule 16: 4b1b217271, Class:  1, CF:0.977389, Len: 10, Fitness_tra: 0
Rule 17: 2212151411, Class:  1, CF:0.218911, Len: 10, Fitness_tra: -745
Rule 18: 4bbbdf7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7211e3b214, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 271bc97717, Class:  1, CF:0.861691, Len: 10, Fitness_tra: 0
Rule 21: 7b273f2b27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 1b116a4427, Class:  1, CF:0.999945, Len: 10, Fitness_tra: 0
Rule 23: 1142261111, Class:  1, CF:0.966025, Len: 10, Fitness_tra: 326
Rule 24: 21b21f4774, Class:  1, CF:0.999949, Len: 10, Fitness_tra: 0
Rule 25: 2744b1b442, Class:  1, CF:0.9454, Len: 10, Fitness_tra: 0
Rule 26: 14171ab24b, Class:  1, CF:0.998027, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7212211172, Class:  1, CF:0.374507, Len: 10, Fitness_tra: -141
Rule 29: b244c1bb2b, Class:  1, CF:0.94646, Len: 10, Fitness_tra: 0
Rule 30: 1471197744, Class:  1, CF:0.919535, Len: 10, Fitness_tra: 10
Rule 31: 7c4b16217b, Class:  1, CF:0.999219, Len: 10, Fitness_tra: 0
Rule 32: 1b1443724b, Class:  1, CF:0.9116, Len: 10, Fitness_tra: 0
Rule 33: 47b4cf224b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 4418a317b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b24563b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4172741221, Class:  1, CF:0.941479, Len: 10, Fitness_tra: 26
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b872ff1471, Class:  1, CF:0.998526, Len: 10, Fitness_tra: 1
Rule 39: 7a411d472b, Class:  1, CF:0.940254, Len: 10, Fitness_tra: 0
Rule 40: 41bb112177, Class:  1, CF:0.942797, Len: 10, Fitness_tra: 0
Rule 41: 1141d3211b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 21b23e717b, Class:  1, CF:0.298478, Len: 10, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4177af4412, Class:  1, CF:0.999475, Len: 10, Fitness_tra: 0
Rule 46: 72b756bb27, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 771781227b, Class:  1, CF:0.979964, Len: 10, Fitness_tra: 0
Rule 48: b5496fb121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 41b42abbb4, Class:  1, CF:0.999941, Len: 10, Fitness_tra: 0
Rule 50: 71711e2747, Class:  1, CF:0.993235, Len: 10, Fitness_tra: 0
Rule 51: 1121932551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: b82113b724, Class:  1, CF:0.99923, Len: 10, Fitness_tra: 13
Rule 53: 7bb12574b7, Class:  1, CF:0.993666, Len: 10, Fitness_tra: 0
Rule 54: 2211134217, Class:  1, CF:0.9891, Len: 10, Fitness_tra: 3
Rule 55: b4bb8fb71b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 441116b241, Class:  1, CF:0.998389, Len: 10, Fitness_tra: 0
Rule 57: 15172717b4, Class:  1, CF:0.0865355, Len: 10, Fitness_tra: -25
Rule 58: bb4151b77b, Class:  1, CF:0.997283, Len: 10, Fitness_tra: 0
Rule 59: 76189d7424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 7c1b262714, Class:  1, CF:0.997915, Len: 10, Fitness_tra: 0
Rule 61: bc11c97b14, Class:  1, CF:0.431773, Len: 10, Fitness_tra: -13
Rule 62: b211214727, Class:  1, CF:0.93798, Len: 10, Fitness_tra: 1
Rule 63: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 4c21917128, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 66: 131283441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0000d00000, Class:  1, CF:0.723511, Len:  1, Fitness_tra: 1497
Rule 69: 47b4817bb2, Class:  1, CF:0.938632, Len: 10, Fitness_tra: 0
