------Generation 0------
Rule  1: 1412d6bb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 17b71a7271, Class:  1, CF:0.999308, Len: 10, Fitness_tra: 0
Rule  3: 11145a7bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4142222412, Class:  1, CF:0.968587, Len: 10, Fitness_tra: 0
Rule  5: b241111477, Class:  1, CF:0.982282, Len: 10, Fitness_tra: -98
Rule  6: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 14271f42bb, Class:  1, CF:0.999818, Len: 10, Fitness_tra: 0
Rule  8: 79711db1bb, Class:  1, CF:0.757814, Len: 10, Fitness_tra: 0
Rule  9: 24b11e7217, Class:  1, CF:0.978929, Len: 10, Fitness_tra: 0
Rule 10: 18b4ce1747, Class:  0, CF:0.614647, Len: 10, Fitness_tra: 15
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 182225bb41, Class:  1, CF:0.898757, Len: 10, Fitness_tra: 96
Rule 13: 24bbdd1124, Class:  1, CF:0.946822, Len: 10, Fitness_tra: 0
Rule 14: 4c24637b12, Class:  1, CF:0.998193, Len: 10, Fitness_tra: 0
Rule 15: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 144251b7b1, Class:  1, CF:0.953556, Len: 10, Fitness_tra: 2
Rule 17: 7121e31172, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 12b41ebb24, Class:  1, CF:0.567141, Len: 10, Fitness_tra: 0
Rule 19: 487c31b177, Class:  1, CF:0.999998, Len: 10, Fitness_tra: 0
Rule 20: 7211a6b247, Class:  1, CF:0.999847, Len: 10, Fitness_tra: 0
Rule 21: 227151bbb7, Class:  1, CF:0.872493, Len: 10, Fitness_tra: 0
Rule 22: 772b8a412b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 7bb4ff7227, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: b14b13442c, Class:  1, CF:0.999847, Len: 10, Fitness_tra: 2
Rule 25: 2b2bfa2717, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 26: 774415b2b1, Class:  1, CF:0.90219, Len: 10, Fitness_tra: 0
Rule 27: 4b215f7227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7214214b47, Class:  1, CF:0.970064, Len: 10, Fitness_tra: 0
Rule 29: 4bbb16422b, Class:  1, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 30: 12742e1777, Class:  1, CF:0.387914, Len: 10, Fitness_tra: 367
Rule 31: 121411b147, Class:  1, CF:0.826554, Len: 10, Fitness_tra: 419
Rule 32: b747112224, Class:  1, CF:0.962667, Len: 10, Fitness_tra: 0
Rule 33: 74112d7227, Class:  1, CF:0.97032, Len: 10, Fitness_tra: 2
Rule 34: 484b5e2172, Class:  1, CF:0.936259, Len: 10, Fitness_tra: 0
Rule 35: bb241a1774, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 36: b214512272, Class:  1, CF:0.985891, Len: 10, Fitness_tra: 0
Rule 37: 48221111b7, Class:  1, CF:0.887094, Len: 10, Fitness_tra: -21
Rule 38: 41175141b4, Class:  1, CF:0.919441, Len: 10, Fitness_tra: 0
Rule 39: b2b129741b, Class:  1, CF:0.947925, Len: 10, Fitness_tra: 2
Rule 40: 4422832471, Class:  1, CF:0.670585, Len: 10, Fitness_tra: 0
Rule 41: 74b78ab1b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 1444817721, Class:  1, CF:0.914486, Len: 10, Fitness_tra: 3
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1121f37111, Class:  1, CF:0.891686, Len: 10, Fitness_tra: 486
Rule 45: 2a4d594412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 7841232171, Class:  1, CF:0.986009, Len: 10, Fitness_tra: 0
Rule 47: 2c41f177bb, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 48: 181721bb74, Class:  1, CF:0.928642, Len: 10, Fitness_tra: 3
Rule 49: 2442c141b2, Class:  1, CF:0.91296, Len: 10, Fitness_tra: 0
Rule 50: bb173322bb, Class:  1, CF:0.987732, Len: 10, Fitness_tra: 0
Rule 51: b4bb234147, Class:  1, CF:0.980113, Len: 10, Fitness_tra: 0
Rule 52: 11b4194742, Class:  1, CF:0.86375, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 27b2af1211, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 1
Rule 55: 7b715a7441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 2b771174b1, Class:  1, CF:0.934295, Len: 10, Fitness_tra: 0
Rule 58: 282b1d7222, Class:  1, CF:0.987068, Len: 10, Fitness_tra: 0
Rule 59: 44b186712b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 60: 217b892444, Class:  1, CF:0.992047, Len: 10, Fitness_tra: 0
Rule 61: 7b1b181211, Class:  1, CF:0.141312, Len: 10, Fitness_tra: -2581
Rule 62: b11261447b, Class:  1, CF:0.977447, Len: 10, Fitness_tra: 0
Rule 63: 7b47162141, Class:  1, CF:0.99772, Len: 10, Fitness_tra: 0
Rule 64: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 7175557411, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: 21b1d11741, Class:  1, CF:0.983919, Len: 10, Fitness_tra: 26
Rule 69: 24476171b4, Class:  1, CF:0.989499, Len: 10, Fitness_tra: 0
Rule 70: 14224cb14b, Class:  1, CF:0.940843, Len: 10, Fitness_tra: 0
Rule 71: b221f67bb4, Class:  1, CF:0.999972, Len: 10, Fitness_tra: 12
Rule 72: 7171724b41, Class:  1, CF:0.854235, Len: 10, Fitness_tra: 8
Rule 73: b71421b27b, Class:  1, CF:0.90969, Len: 10, Fitness_tra: 0
Rule 74: 7142554b27, Class:  1, CF:0.950654, Len: 10, Fitness_tra: 0
Rule 75: 424b112412, Class:  1, CF:0.986626, Len: 10, Fitness_tra: 0
Rule 76: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 18751a12b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 24428e2bb1, Class:  1, CF:0.956944, Len: 10, Fitness_tra: 3
Rule 80: 2212134217, Class:  1, CF:0.991268, Len: 10, Fitness_tra: 0
Rule 81: 28b2c52244, Class:  1, CF:0.950712, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 122b214b74, Class:  1, CF:0.959863, Len: 10, Fitness_tra: 1
Rule 84: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 4142831bb2, Class:  1, CF:0.558134, Len: 10, Fitness_tra: 0
Rule 86: 1174491772, Class:  1, CF:0.599361, Len: 10, Fitness_tra: 266
Rule 87: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 12741f1b27, Class:  1, CF:0.999661, Len: 10, Fitness_tra: 0
Rule 89: bb42831712, Class:  1, CF:0.920571, Len: 10, Fitness_tra: 0
Rule 90: bb7b1eb442, Class:  1, CF:0.99812, Len: 10, Fitness_tra: 0
Rule 91: 7bbbd61224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 414711bb72, Class:  1, CF:0.980046, Len: 10, Fitness_tra: 0
Rule 93: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 27471a1227, Class:  1, CF:0.997065, Len: 10, Fitness_tra: 0
Rule 95: b244c17727, Class:  1, CF:0.990079, Len: 10, Fitness_tra: 0
Rule 96: 142b8a7177, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 212455b1b7, Class:  1, CF:0.92787, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:95.7023
------Result------
Miss_rate(tra)	:95.7023
Miss_rate(tst)	:92.3358
ARL				:8.06452

------Generation 0------
Rule  1: 1121f37111, Class:  1, CF:0.891686, Len: 10, Fitness_tra: 388
Rule  2: 121411b147, Class:  1, CF:0.826554, Len: 10, Fitness_tra: 1
Rule  3: 12742e1777, Class:  1, CF:0.387914, Len: 10, Fitness_tra: 0
Rule  4: 1174491772, Class:  1, CF:0.599361, Len: 10, Fitness_tra: 0
Rule  5: 182225bb41, Class:  1, CF:0.898757, Len: 10, Fitness_tra: 1
Rule  6: 21b1d11741, Class:  1, CF:0.983919, Len: 10, Fitness_tra: 25
Rule  7: 18b4ce1747, Class:  0, CF:0.614647, Len: 10, Fitness_tra: 0
Rule  8: b221f67bb4, Class:  1, CF:0.999972, Len: 10, Fitness_tra: 10
Rule  9: 7171724b41, Class:  1, CF:0.854235, Len: 10, Fitness_tra: 12
Rule 10: 24428e2bb1, Class:  1, CF:0.956944, Len: 10, Fitness_tra: 0
Rule 11: 181721bb74, Class:  1, CF:0.928642, Len: 10, Fitness_tra: 0
Rule 12: 1444817721, Class:  1, CF:0.914486, Len: 10, Fitness_tra: 0
Rule 13: b14b13442c, Class:  1, CF:0.999847, Len: 10, Fitness_tra: 2
Rule 14: 74112d7227, Class:  1, CF:0.97032, Len: 10, Fitness_tra: 0
Rule 15: 144251b7b1, Class:  1, CF:0.953556, Len: 10, Fitness_tra: 0
Rule 16: b2b129741b, Class:  1, CF:0.947925, Len: 10, Fitness_tra: 1
Rule 17: 27b2af1211, Class:  1, CF:0.99828, Len: 10, Fitness_tra: 0
Rule 18: 122b214b74, Class:  1, CF:0.959863, Len: 10, Fitness_tra: 0
Rule 19: 1412d6bb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7211a6b247, Class:  1, CF:0.999847, Len: 10, Fitness_tra: 0
Rule 21: 227151bbb7, Class:  1, CF:0.872493, Len: 10, Fitness_tra: 0
Rule 22: 772b8a412b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 7bb4ff7227, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2b2bfa2717, Class:  1, CF:0.999994, Len: 10, Fitness_tra: 0
Rule 26: 774415b2b1, Class:  1, CF:0.90219, Len: 10, Fitness_tra: 0
Rule 27: 4b215f7227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7214214b47, Class:  1, CF:0.970064, Len: 10, Fitness_tra: 0
Rule 29: 4bbb16422b, Class:  1, CF:0.999424, Len: 10, Fitness_tra: 0
Rule 30: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 14271f42bb, Class:  1, CF:0.999818, Len: 10, Fitness_tra: 0
Rule 32: b747112224, Class:  1, CF:0.962667, Len: 10, Fitness_tra: 0
Rule 33: 79711db1bb, Class:  1, CF:0.757814, Len: 10, Fitness_tra: 0
Rule 34: 484b5e2172, Class:  1, CF:0.936259, Len: 10, Fitness_tra: 0
Rule 35: bb241a1774, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 1
Rule 36: b214512272, Class:  1, CF:0.985891, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 41175141b4, Class:  1, CF:0.919441, Len: 10, Fitness_tra: 0
Rule 39: 24b11e7217, Class:  1, CF:0.978929, Len: 10, Fitness_tra: 0
Rule 40: 4422832471, Class:  1, CF:0.670585, Len: 10, Fitness_tra: 0
Rule 41: 74b78ab1b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 17b71a7271, Class:  1, CF:0.999308, Len: 10, Fitness_tra: 0
Rule 43: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2a4d594412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 7841232171, Class:  1, CF:0.986009, Len: 10, Fitness_tra: 1
Rule 47: 2c41f177bb, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 48: 11145a7bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 2442c141b2, Class:  1, CF:0.91296, Len: 10, Fitness_tra: 0
Rule 50: bb173322bb, Class:  1, CF:0.987732, Len: 10, Fitness_tra: 0
Rule 51: b4bb234147, Class:  1, CF:0.980113, Len: 10, Fitness_tra: 0
Rule 52: 11b4194742, Class:  1, CF:0.86375, Len: 10, Fitness_tra: 0
Rule 53: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 24bbdd1124, Class:  1, CF:0.946822, Len: 10, Fitness_tra: 0
