------Generation 0------
Rule  1: 29b2c97714, Class:  0, CF:0.490187, Len: 10, Fitness_tra: 0
Rule  2: 7417584224, Class:  1, CF:0.957757, Len: 10, Fitness_tra: 0
Rule  3: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1871c12114, Class:  1, CF:0.582758, Len: 10, Fitness_tra: 0
Rule  5: 227b44b124, Class:  1, CF:0.918142, Len: 10, Fitness_tra: 0
Rule  6: 2c12281b11, Class:  1, CF:0.0342553, Len: 10, Fitness_tra: 8
Rule  7: 24224ab214, Class:  1, CF:0.999906, Len: 10, Fitness_tra: 0
Rule  8: 43b1517227, Class:  1, CF:0.999412, Len: 10, Fitness_tra: 12
Rule  9: 42b222b21b, Class:  1, CF:0.908085, Len: 10, Fitness_tra: 0
Rule 10: 14273a4b42, Class:  1, CF:0.999947, Len: 10, Fitness_tra: 3
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 7a7c184441, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 4427e6b4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 42226f7224, Class:  1, CF:0.999985, Len: 10, Fitness_tra: 0
Rule 15: 42118142b2, Class:  1, CF:0.855576, Len: 10, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 45289117b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: b241952b17, Class:  1, CF:0.924619, Len: 10, Fitness_tra: 1
Rule 19: 77b71a721b, Class:  1, CF:0.999666, Len: 10, Fitness_tra: 0
Rule 20: b322154421, Class:  1, CF:0.973652, Len: 10, Fitness_tra: 0
Rule 21: 2174812b47, Class:  1, CF:0.790205, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 4b1ba17222, Class:  1, CF:0.999473, Len: 10, Fitness_tra: 0
Rule 24: 7b746fbb4b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: ba2cc14274, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 714dd57221, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 4111251b42, Class:  1, CF:0.915386, Len: 10, Fitness_tra: -441
Rule 28: 4b2723bbb2, Class:  1, CF:0.997059, Len: 10, Fitness_tra: 0
Rule 29: 7c741a74b7, Class:  1, CF:0.999739, Len: 10, Fitness_tra: 0
Rule 30: 274751b712, Class:  1, CF:0.901413, Len: 10, Fitness_tra: 0
Rule 31: 2717dfbb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 241713b711, Class:  1, CF:0.972812, Len: 10, Fitness_tra: 260
Rule 33: 17472544b4, Class:  1, CF:0.886441, Len: 10, Fitness_tra: 0
Rule 34: 112b5142b2, Class:  1, CF:0.910209, Len: 10, Fitness_tra: 0
Rule 35: 2b225a7114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b271214bb7, Class:  1, CF:0.89121, Len: 10, Fitness_tra: 4
Rule 38: 72221e7b2b, Class:  1, CF:0.57064, Len: 10, Fitness_tra: 0
Rule 39: 27441627b4, Class:  1, CF:0.999624, Len: 10, Fitness_tra: 0
Rule 40: 4224dfb474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21b4887224, Class:  1, CF:0.959357, Len: 10, Fitness_tra: 0
Rule 43: 2722ce2722, Class:  1, CF:0.969848, Len: 10, Fitness_tra: 0
Rule 44: 4274537b12, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 45: 42b4134747, Class:  1, CF:0.989968, Len: 10, Fitness_tra: 0
Rule 46: 1128317211, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 47: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 734b3f1212, Class:  1, CF:0.999921, Len: 10, Fitness_tra: 0
Rule 49: 12141514b7, Class:  0, CF:0.354203, Len: 10, Fitness_tra: 54
Rule 50: 77723a2bb7, Class:  1, CF:0.999773, Len: 10, Fitness_tra: 0
Rule 51: 22245f1127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 7771af122b, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 7
Rule 53: 72b4217b72, Class:  1, CF:0.911128, Len: 10, Fitness_tra: 0
Rule 54: b2b11ab7b2, Class:  1, CF:0.999872, Len: 10, Fitness_tra: 2
Rule 55: 13717142b1, Class:  1, CF:0.808777, Len: 10, Fitness_tra: 174
Rule 56: 19b55d72b1, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
