------Generation 0------
Rule  1: 12b12f7141, Class:  1, CF:0.998407, Len: 10, Fitness_tra: 6
Rule  2: 7f7251b472, Class:  1, CF:0.998809, Len: 10, Fitness_tra: 0
Rule  3: b3221d7bb7, Class:  1, CF:0.972113, Len: 10, Fitness_tra: 0
Rule  4: 722193b421, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 71471211c1, Class:  1, CF:0.990962, Len: 10, Fitness_tra: 13
Rule  6: 41721f1217, Class:  1, CF:0.999941, Len: 10, Fitness_tra: 0
Rule  7: 444733b127, Class:  1, CF:0.998477, Len: 10, Fitness_tra: 0
Rule  8: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b4121a7bbb, Class:  1, CF:0.999781, Len: 10, Fitness_tra: 0
Rule 10: bd11c12212, Class:  1, CF:0.948542, Len: 10, Fitness_tra: 2
Rule 11: 412b161124, Class:  1, CF:0.994689, Len: 10, Fitness_tra: 24
Rule 12: 77b4f31b7b, Class:  1, CF:0.98201, Len: 10, Fitness_tra: 0
Rule 13: 78141f1111, Class:  1, CF:0.982834, Len: 10, Fitness_tra: 38
Rule 14: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 2871ff7112, Class:  1, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 16: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2b7111142b, Class:  1, CF:0.994224, Len: 10, Fitness_tra: 112
Rule 18: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7cb751422b, Class:  1, CF:0.978646, Len: 10, Fitness_tra: 0
Rule 20: 11411c7717, Class:  1, CF:0.891521, Len: 10, Fitness_tra: -38
Rule 21: b77b6671b2, Class:  1, CF:0.997898, Len: 10, Fitness_tra: 0
Rule 22: 7274287b72, Class:  1, CF:0.944762, Len: 10, Fitness_tra: 0
Rule 23: 2124261447, Class:  1, CF:0.99862, Len: 10, Fitness_tra: 0
Rule 24: 47b71d1777, Class:  1, CF:0.871482, Len: 10, Fitness_tra: -75
Rule 25: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4214222727, Class:  1, CF:0.942187, Len: 10, Fitness_tra: 1
Rule 27: 741149b21b, Class:  1, CF:0.858051, Len: 10, Fitness_tra: 12
Rule 28: b4149e474b, Class:  1, CF:0.936228, Len: 10, Fitness_tra: 0
Rule 29: 71b4212777, Class:  1, CF:0.965004, Len: 10, Fitness_tra: 0
Rule 30: 7cbb462441, Class:  1, CF:0.999758, Len: 10, Fitness_tra: 0
Rule 31: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 13d7152115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 72241f77b2, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 42774d4b71, Class:  1, CF:0.949584, Len: 10, Fitness_tra: 10
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b1b441b411, Class:  1, CF:0.908262, Len: 10, Fitness_tra: 369
Rule 37: 41bbe34417, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 38: 744b237222, Class:  1, CF:0.997849, Len: 10, Fitness_tra: 0
Rule 39: b4716ab174, Class:  1, CF:0.999854, Len: 10, Fitness_tra: 2
Rule 40: 427b7e12bb, Class:  0, CF:0.867176, Len: 10, Fitness_tra: 12
Rule 41: 1b111f4241, Class:  1, CF:0.953952, Len: 10, Fitness_tra: 109
Rule 42: 112bc94744, Class:  1, CF:0.520978, Len: 10, Fitness_tra: 0
Rule 43: 27b75ab74b, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: b2222a7447, Class:  1, CF:0.99999, Len: 10, Fitness_tra: 0
Rule 45: 71422e141b, Class:  1, CF:0.920154, Len: 10, Fitness_tra: 2
Rule 46: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 41272d2127, Class:  1, CF:0.977207, Len: 10, Fitness_tra: 0
Rule 48: 2714cd2271, Class:  1, CF:0.790535, Len: 10, Fitness_tra: 0
Rule 49: 4214a17712, Class:  1, CF:0.981602, Len: 10, Fitness_tra: 0
