------Generation 0------
Rule  1: b11336195d525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 11111d174111a313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 15c9136313391c57, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 117512e1111651be, Class:  8, CF:  1, Len: 16, Fitness_tra: 0
Rule  5: 13166e3118111224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 21c3931ae3111127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b811136f16112542, Class:  8, CF:  1, Len: 16, Fitness_tra: 1
Rule  8: 4221131f9e13282b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 13133611512122a7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000008000d8, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4a0030000000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1316192135f11114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 41161311d1211462, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 500020400004d000, Class:  9, CF:0.0611641, Len:  5, Fitness_tra: 8
Rule 15: 11211d1511118111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1321752791a8a311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2396a15168115241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000060e008000000, Class:  4, CF:0.808578, Len:  3, Fitness_tra: 6
Rule 19: 132152124151a616, Class:  1, CF:  1, Len: 16, Fitness_tra: 2
Rule 20: 5621b52511319c52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21263339d5212232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 2e11571165368341, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a113131113353514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00600000f3000000, Class:  5, CF:0.344456, Len:  3, Fitness_tra: 7
Rule 25: 718fd11521723b37, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2f21294d11353267, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 235f9582722111f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0060005600000000, Class:  0, CF:0.32036, Len:  3, Fitness_tra: -13
Rule 29: 63d329b112113c12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 2625111127228136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1171c737f1665a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 3351c171156d183b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000050d007000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1f131611311122a5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 113a11e5e8312724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 16633f1611185741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13bd1792f5111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1111311115145b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3311191882212d61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 41163351541121f8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 131a931d22121262, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 900a0e0600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4926361518211b61, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f6131933331817b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1119593f13393597, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 231922576cae5149, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1611111a19313222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0900000000005d09, Class:  0, CF:0.0829191, Len:  4, Fitness_tra: -1
Rule 49: 1311331512121212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2f1e751111693591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 7153f63d52141165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 116a131e11611241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 500000500000a000, Class:  8, CF:0.569786, Len:  3, Fitness_tra: -2
Rule 54: 23115911b14b1432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 431161111bc44531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000f093800080500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0df9000000004005, Class:  8, CF:0.786257, Len:  5, Fitness_tra: 6
Rule 58: 73269695111412a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 13da11111712d565, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000060a0020b5c65, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 298f9335112252a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 2a3a1f1ed1185122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b6000e0000000208, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 111315111121131a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 0500060050000000, Class:  0, CF:0.953661, Len:  3, Fitness_tra: 61
Rule 66: 21119881781353a6, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 193a111514211169, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1683458115a53114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: b61a111935f25122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: b156131117115135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 112118cb45165161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000f000900040b00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 6313111361111222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 3113151c141155f3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1353235817b21136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
