------Generation 0------
Rule  1: 111f111121b7d212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 133f119512141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 531f19117111d1a4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2311279161331f71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1145411131139643, Class:  6, CF:0.99995, Len: 16, Fitness_tra: 1
Rule  6: 232ebd1535311211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1311715132141111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: c17d471b18135a4e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 16b12432611e5623, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1111321b12193a13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2f311125116154b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 135313553df4d4b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111393581221d118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 020000d00000000c, Class:  7, CF:0.413547, Len:  3, Fitness_tra: 23
Rule 15: 1133313521211211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 23163e33f1171442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 134e11d8f5a53834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1e53e1151224d132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 111311121475813f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: ba000e0000000802, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1551361fae659152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1a1e451865696211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2616b118ad151137, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 112932524241133f, Class:  7, CF:  1, Len: 16, Fitness_tra: 1
Rule 25: 9000000030090c00, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule 26: 2183163511171511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 6633c1124b175241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11134d1131313812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 05090a0e00000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 132cc21165161321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 21215a1955125117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 81b1149bf8f15f4e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 114115324415133f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7515336613e15c12, Class:  0, CF:0.484156, Len: 16, Fitness_tra: -3
Rule 35: 1112121115361f21, Class:  2, CF:  1, Len: 16, Fitness_tra: 1
Rule 36: 2315111b111583af, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1a23111d33511112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 3fd6297c14171821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1611251217325171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1313131115112242, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b356163152878161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1a1651512b1811a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 3a5145b257315271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7e261a3315121b34, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 8316211115151112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0500560000000000, Class:  8, CF:0.695358, Len:  3, Fitness_tra: 9
Rule 47: 1f2315425232d212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4e511611381c5427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 81bd2217a1611173, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: c3413111227353a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: a1d12575275b3128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 3f112d4211685212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 131eb29565151834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
