------Generation 0------
Rule  1: 313f21b122313c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 3633192227111cb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 211a3a3951211212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 23b1c4573c335f26, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 611a21151111111b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1111125b1119661f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 16131592247dca31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000080000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 21411132f5e12a11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 13115e1131a25727, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 132a1151121212f7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 111155574c1351f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 111d1114183111b3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a1164d7c11321141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 114911127141c61a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 168621b817a21211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 51e663e911122112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1f1375d16161e834, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1983395144225211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: b181131319d51c14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b6c631531c2792a2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d06000df0e000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 23511e359b81d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1121d822412e536a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b616518112421115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1f13492511151417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1116361311221111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 23255244b51156a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1a46211161313831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 6151213119311471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2953915277141134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2a7322121219e611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: a1162913a1a11424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1679215262a51a13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5311782432656611, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000e0070d00d0000, Class:  9, CF:0.0537432, Len:  4, Fitness_tra: -11
Rule 37: 0e00000000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1f412115111e1814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1a21451511a1981b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1a13131152111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
