------Generation 0------
Rule  1: b7748a2b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 22b11344b1, Class:  0, CF:0.425379, Len: 10, Fitness_tra: 1
Rule  3: 14b211b74b, Class:  1, CF:0.791357, Len: 10, Fitness_tra: 0
Rule  4: 27bb514744, Class:  1, CF:0.998645, Len: 10, Fitness_tra: 0
Rule  5: 71b4412222, Class:  1, CF:0.99442, Len: 10, Fitness_tra: 0
Rule  6: 242bc6442b, Class:  1, CF:0.782219, Len: 10, Fitness_tra: 0
Rule  7: 17222e4111, Class:  0, CF:0.536195, Len: 10, Fitness_tra: 285
Rule  8: 42b7262b12, Class:  0, CF:0.957707, Len: 10, Fitness_tra: 0
Rule  9: 44722a27b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 15b1111744, Class:  1, CF:0.911793, Len: 10, Fitness_tra: -296
Rule 11: 217416b222, Class:  0, CF:0.991063, Len: 10, Fitness_tra: 0
Rule 12: 18b82fbbb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b141132241, Class:  1, CF:0.67015, Len: 10, Fitness_tra: -1
Rule 14: 4c7481b2b4, Class:  1, CF:0.932644, Len: 10, Fitness_tra: 0
Rule 15: 7c22c57144, Class:  1, CF:0.978304, Len: 10, Fitness_tra: 0
Rule 16: 7442d31b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 72b1817bb1, Class:  1, CF:0.946502, Len: 10, Fitness_tra: -12
Rule 18: 714163b1b4, Class:  0, CF:0.964269, Len: 10, Fitness_tra: 33
Rule 19: 1b11d67744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 72228e2477, Class:  1, CF:0.967565, Len: 10, Fitness_tra: 0
Rule 21: b241261721, Class:  0, CF:0.977558, Len: 10, Fitness_tra: 8
Rule 22: 43111eb414, Class:  1, CF:0.999073, Len: 10, Fitness_tra: -1335
Rule 23: c0505d033d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 744419b724, Class:  1, CF:0.99301, Len: 10, Fitness_tra: 0
Rule 25: 124b132144, Class:  1, CF:0.917327, Len: 10, Fitness_tra: 0
Rule 26: 27b21a1414, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 22718171bb, Class:  1, CF:0.992214, Len: 10, Fitness_tra: 0
Rule 28: 4771c9b471, Class:  1, CF:0.998737, Len: 10, Fitness_tra: 0
Rule 29: 127413b172, Class:  0, CF:0.577289, Len: 10, Fitness_tra: 0
Rule 30: 17b75a1214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 21b4564bb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 48b81f2122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4d771a7b24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 1c7bc14442, Class:  1, CF:0.991545, Len: 10, Fitness_tra: 0
Rule 35: 241216b471, Class:  0, CF:0.674691, Len: 10, Fitness_tra: 0
Rule 36: 11bd5144b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 37: 764b41b212, Class:  1, CF:0.999111, Len: 10, Fitness_tra: 0
Rule 38: bb1119244b, Class:  1, CF:0.999798, Len: 10, Fitness_tra: 0
Rule 39: b122d91b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 41bb59bb4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: b771da24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: b44211b242, Class:  1, CF:0.994264, Len: 10, Fitness_tra: 0
Rule 43: 11c2c94288, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 771133447b, Class:  0, CF:0.0830027, Len: 10, Fitness_tra: 0
Rule 45: 22278a14bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 47b2562474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2474184412, Class:  1, CF:0.982388, Len: 10, Fitness_tra: 0
Rule 48: b14151bbb1, Class:  1, CF:0.988284, Len: 10, Fitness_tra: -19
Rule 49: 41b483b114, Class:  1, CF:0.893075, Len: 10, Fitness_tra: 0
Rule 50: b427567127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b2721a1b21, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 52: b11715747b, Class:  1, CF:0.978293, Len: 10, Fitness_tra: 0
Rule 53: 4472c94b42, Class:  1, CF:0.989527, Len: 10, Fitness_tra: 0
Rule 54: 1c71234122, Class:  0, CF:0.499323, Len: 10, Fitness_tra: 0
Rule 55: b4bb13471b, Class:  0, CF:0.280547, Len: 10, Fitness_tra: 0
Rule 56: 2224892442, Class:  1, CF:0.992446, Len: 10, Fitness_tra: 0
Rule 57: 1574d11411, Class:  0, CF:  1, Len: 10, Fitness_tra: 22
Rule 58: 11b441227b, Class:  1, CF:0.965906, Len: 10, Fitness_tra: 0
Rule 59: 17479eb12b, Class:  1, CF:0.962816, Len: 10, Fitness_tra: 0
Rule 60: 2524c3b142, Class:  1, CF:0.999976, Len: 10, Fitness_tra: 0
Rule 61: 1b4b834b72, Class:  1, CF:0.898725, Len: 10, Fitness_tra: 0
Rule 62: 24b4427777, Class:  1, CF:0.96174, Len: 10, Fitness_tra: 0
Rule 63: 221b13b2b4, Class:  0, CF:0.395147, Len: 10, Fitness_tra: 0
