------Generation 0------
Rule  1: 1412f6bb42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 17b7197271, Class:  1, CF:0.970607, Len: 10, Fitness_tra: 0
Rule  3: 1114597bb2, Class:  0, CF:0.460154, Len: 10, Fitness_tra: 0
Rule  4: 4144232412, Class:  1, CF:0.887706, Len: 10, Fitness_tra: 0
Rule  5: b241111477, Class:  1, CF:0.903479, Len: 10, Fitness_tra: -69
Rule  6: 14271d42bb, Class:  1, CF:0.794579, Len: 10, Fitness_tra: 0
Rule  7: 754119b1b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 24b11a7217, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  9: 1bb4ce1747, Class:  1, CF:0.993199, Len: 10, Fitness_tra: 0
Rule 10: 182225bb41, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 11: 24bbce1124, Class:  1, CF:0.984269, Len: 10, Fitness_tra: 0
Rule 12: 4b2b937b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 144241b7b1, Class:  1, CF:0.650832, Len: 10, Fitness_tra: -3
Rule 14: 7221c61172, Class:  1, CF:0.799103, Len: 10, Fitness_tra: 0
Rule 15: 12b41fbb24, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 497b81b174, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: 7221c5b247, Class:  1, CF:0.99718, Len: 10, Fitness_tra: 0
Rule 18: 427131bbb7, Class:  0, CF:0.473035, Len: 10, Fitness_tra: 0
Rule 19: 772b5a412b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7bb4ce7227, Class:  1, CF:0.999626, Len: 10, Fitness_tra: 0
Rule 21: b14b134424, Class:  1, CF:0.962911, Len: 10, Fitness_tra: 0
Rule 22: 2c2b862717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7b4416b2b1, Class:  0, CF:0.211616, Len: 10, Fitness_tra: 0
Rule 24: 4b212d7227, Class:  1, CF:0.999944, Len: 10, Fitness_tra: 0
Rule 25: 7414214b47, Class:  1, CF:0.812956, Len: 10, Fitness_tra: 0
Rule 26: 4cbb16422b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 12742e1777, Class:  0, CF:0.169938, Len: 10, Fitness_tra: 0
Rule 28: 121411b147, Class:  1, CF:0.21351, Len: 10, Fitness_tra: -46
Rule 29: b844112224, Class:  1, CF:0.999123, Len: 10, Fitness_tra: 2
Rule 30: 74112e7224, Class:  1, CF:0.999629, Len: 10, Fitness_tra: 0
Rule 31: 4b4b8e2172, Class:  1, CF:0.99821, Len: 10, Fitness_tra: 0
Rule 32: bb24161774, Class:  0, CF:0.995752, Len: 10, Fitness_tra: 0
Rule 33: b214812272, Class:  1, CF:0.98077, Len: 10, Fitness_tra: 0
Rule 34: 47221111b7, Class:  1, CF:0.726209, Len: 10, Fitness_tra: -10
Rule 35: 41175141b4, Class:  1, CF:0.961521, Len: 10, Fitness_tra: 0
Rule 36: b4b129741b, Class:  1, CF:0.998268, Len: 10, Fitness_tra: 1
Rule 37: 4422532471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 73b44eb1b1, Class:  1, CF:0.945626, Len: 10, Fitness_tra: -1
Rule 39: 1244817721, Class:  1, CF:0.821017, Len: 10, Fitness_tra: 0
Rule 40: 1121c37111, Class:  1, CF:0.989312, Len: 10, Fitness_tra: -57
Rule 41: 2747594412, Class:  1, CF:0.99581, Len: 10, Fitness_tra: 0
Rule 42: 7441532171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2d41c177b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 141721bb74, Class:  1, CF:0.451184, Len: 10, Fitness_tra: 0
