------Generation 0------
Rule  1: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 27218e4414, Class:  1, CF:0.999752, Len: 10, Fitness_tra: 0
Rule  3: 277b424142, Class:  1, CF:0.993873, Len: 10, Fitness_tra: 0
Rule  4: 1b22297127, Class:  1, CF:0.985782, Len: 10, Fitness_tra: -30
Rule  5: 4b428111b2, Class:  1, CF:0.99751, Len: 10, Fitness_tra: 0
Rule  6: b271131b12, Class:  0, CF:0.74095, Len: 10, Fitness_tra: 85
Rule  7: 78bb161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 122bc311b1, Class:  1, CF:0.580511, Len: 10, Fitness_tra: -3
Rule  9: 4c72ce4141, Class:  1, CF:0.816541, Len: 10, Fitness_tra: 0
Rule 10: 71b113b7b7, Class:  0, CF:0.268425, Len: 10, Fitness_tra: 0
Rule 11: b1bb2142b7, Class:  1, CF:0.977975, Len: 10, Fitness_tra: 0
Rule 12: b271282b2b, Class:  1, CF:0.978555, Len: 10, Fitness_tra: 0
Rule 13: b241517211, Class:  1, CF:0.995222, Len: 10, Fitness_tra: 0
Rule 14: bbb4a61724, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 15: 7b71c61427, Class:  1, CF:0.646516, Len: 10, Fitness_tra: 0
Rule 16: b2b731b714, Class:  1, CF:0.761434, Len: 10, Fitness_tra: 0
Rule 17: b5b119bbb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 44bbc67bb7, Class:  1, CF:0.782219, Len: 10, Fitness_tra: 0
Rule 19: 4214537b24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 4444114172, Class:  1, CF:0.870249, Len: 10, Fitness_tra: 0
Rule 21: b747212211, Class:  1, CF:0.955919, Len: 10, Fitness_tra: 0
Rule 22: 14b7812172, Class:  1, CF:0.931013, Len: 10, Fitness_tra: 0
Rule 23: 12225327b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 42b7862b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b22b29b422, Class:  1, CF:0.988868, Len: 10, Fitness_tra: 0
Rule 26: 77bb1e4417, Class:  1, CF:0.990913, Len: 10, Fitness_tra: 0
Rule 27: 124b554717, Class:  0, CF:0.577449, Len: 10, Fitness_tra: 52
Rule 28: 71111e11b2, Class:  1, CF:0.956515, Len: 10, Fitness_tra: -1972
Rule 29: 1247112b44, Class:  1, CF:0.0304366, Len: 10, Fitness_tra: 0
Rule 30: 1814117b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 49
Rule 31: 4421217bb1, Class:  1, CF:0.825847, Len: 10, Fitness_tra: -2
Rule 32: 47b75a1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4144c1b277, Class:  1, CF:0.995742, Len: 10, Fitness_tra: 0
Rule 34: 4171834411, Class:  1, CF:0.936806, Len: 10, Fitness_tra: 0
Rule 35: 2422c62127, Class:  1, CF:0.909077, Len: 10, Fitness_tra: 0
Rule 36: b2b25f7b47, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1224512bb2, Class:  1, CF:0.0955216, Len: 10, Fitness_tra: 0
Rule 38: b2428621b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b1118a7421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71448e277b, Class:  1, CF:0.685552, Len: 10, Fitness_tra: 0
Rule 41: 2747864b21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 21242371bb, Class:  1, CF:0.455062, Len: 10, Fitness_tra: 0
Rule 43: 2b423321bb, Class:  1, CF:0.459041, Len: 10, Fitness_tra: 0
Rule 44: 74bb534411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1cb2ca1b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: b2b789b271, Class:  1, CF:0.89853, Len: 10, Fitness_tra: 0
Rule 47: 41b223b772, Class:  1, CF:0.153636, Len: 10, Fitness_tra: 0
Rule 48: 427bc31147, Class:  1, CF:0.996668, Len: 10, Fitness_tra: 1
Rule 49: 4b71134217, Class:  1, CF:0.397772, Len: 10, Fitness_tra: 0
Rule 50: b414c87b47, Class:  1, CF:0.931336, Len: 10, Fitness_tra: 0
Rule 51: 21bb212271, Class:  1, CF:0.977003, Len: 10, Fitness_tra: 0
Rule 52: 1b72ca1774, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 71111621b4, Class:  0, CF:0.40994, Len: 10, Fitness_tra: 0
Rule 54: b74272bbb1, Class:  1, CF:0.819701, Len: 10, Fitness_tra: 0
Rule 55: 42b2462722, Class:  0, CF:0.994553, Len: 10, Fitness_tra: 0
Rule 56: b21113b7b4, Class:  0, CF:0.287358, Len: 10, Fitness_tra: 3
