------Generation 0------
Rule  1: 27b2c67b17, Class:  1, CF:0.918797, Len: 10, Fitness_tra: 0
Rule  2: 74175a4224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 1a71b12114, Class:  1, CF:0.969226, Len: 10, Fitness_tra: -1047
Rule  4: 224b49b124, Class:  1, CF:0.959854, Len: 10, Fitness_tra: 0
Rule  5: 2714291b11, Class:  1, CF:0.102183, Len: 10, Fitness_tra: -174
Rule  6: 2724c6b214, Class:  1, CF:0.918797, Len: 10, Fitness_tra: 0
Rule  7: 42b2517227, Class:  1, CF:0.992621, Len: 10, Fitness_tra: 0
Rule  8: 42b223b21b, Class:  1, CF:0.0665369, Len: 10, Fitness_tra: 0
Rule  9: 142b264b42, Class:  0, CF:0.989265, Len: 10, Fitness_tra: 1
Rule 10: 777b1a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 4427c6b4b4, Class:  1, CF:0.782162, Len: 10, Fitness_tra: 0
Rule 12: 41224f7224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 4211c142b1, Class:  1, CF:0.972315, Len: 10, Fitness_tra: -20
Rule 14: 44278117b1, Class:  1, CF:0.946851, Len: 10, Fitness_tra: -1
Rule 15: b441c52b17, Class:  1, CF:0.981924, Len: 10, Fitness_tra: 0
Rule 16: 77b71f721b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b222164421, Class:  0, CF:0.979036, Len: 10, Fitness_tra: 0
Rule 18: 2174812b47, Class:  1, CF:0.981455, Len: 10, Fitness_tra: 0
Rule 19: 7a1dd17122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7b746fbb4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: bb2bc14274, Class:  1, CF:0.998584, Len: 10, Fitness_tra: 0
Rule 22: 714bc57221, Class:  1, CF:0.994448, Len: 10, Fitness_tra: 0
Rule 23: 4111331b42, Class:  0, CF:0.198013, Len: 10, Fitness_tra: 19
Rule 24: 4b2721bbb2, Class:  1, CF:0.975494, Len: 10, Fitness_tra: 0
Rule 25: 7b771974b7, Class:  1, CF:0.995051, Len: 10, Fitness_tra: 0
Rule 26: 274751b712, Class:  1, CF:0.995303, Len: 10, Fitness_tra: 0
Rule 27: 2717cebb42, Class:  1, CF:0.990799, Len: 10, Fitness_tra: 0
Rule 28: 241715b711, Class:  1, CF:0.702695, Len: 10, Fitness_tra: -24
Rule 29: 1c4b2344b4, Class:  0, CF:0.724007, Len: 10, Fitness_tra: 0
Rule 30: 112b5142b2, Class:  1, CF:0.973731, Len: 10, Fitness_tra: 0
Rule 31: 2722567114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b271214bb7, Class:  1, CF:0.887861, Len: 10, Fitness_tra: 0
Rule 33: 72221c7b2b, Class:  1, CF:0.636325, Len: 10, Fitness_tra: 0
Rule 34: 27441627b4, Class:  0, CF:0.99397, Len: 10, Fitness_tra: 0
Rule 35: 42248eb474, Class:  1, CF:0.978792, Len: 10, Fitness_tra: 0
Rule 36: 21b4537114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2722ce2722, Class:  1, CF:0.999324, Len: 10, Fitness_tra: 0
Rule 38: 4274837b12, Class:  1, CF:0.604632, Len: 10, Fitness_tra: 0
Rule 39: 42b4244747, Class:  1, CF:0.969381, Len: 10, Fitness_tra: 0
Rule 40: 1227117211, Class:  1, CF:0.789394, Len: 10, Fitness_tra: -46
Rule 41: 787b2e1712, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 42: 12141314b7, Class:  0, CF:0.768763, Len: 10, Fitness_tra: 140
Rule 43: 7872252bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 2127291127, Class:  1, CF:0.987016, Len: 10, Fitness_tra: 0
Rule 45: 72718f122b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 72b4117b72, Class:  1, CF:0.530472, Len: 10, Fitness_tra: 0
Rule 47: b1b118b7b2, Class:  1, CF:0.990553, Len: 10, Fitness_tra: -2
Rule 48: 12718142b1, Class:  1, CF:0.972207, Len: 10, Fitness_tra: -3
Rule 49: 14b48a72b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2411c97b71, Class:  1, CF:0.927236, Len: 10, Fitness_tra: 0
Rule 51: 247b3f22b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 22bb13b142, Class:  0, CF:0.446289, Len: 10, Fitness_tra: 0
Rule 53: b417ce11b7, Class:  0, CF:0.305851, Len: 10, Fitness_tra: 0
Rule 54: 2b272e4712, Class:  1, CF:0.995524, Len: 10, Fitness_tra: 0
Rule 55: 171b8571b7, Class:  1, CF:0.390216, Len: 10, Fitness_tra: -4
Rule 56: b27211141b, Class:  1, CF:0.789448, Len: 10, Fitness_tra: -423
Rule 57: 1b47c52717, Class:  1, CF:0.977271, Len: 10, Fitness_tra: 0
Rule 58: 1d12737717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 7117434244, Class:  1, CF:0.974867, Len: 10, Fitness_tra: 0
Rule 60: b824161741, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 61: 1bb2cd1741, Class:  1, CF:0.98957, Len: 10, Fitness_tra: -154
Rule 62: b224231214, Class:  1, CF:0.994373, Len: 10, Fitness_tra: 1
Rule 63: 4c1b13b4b7, Class:  0, CF:0.755777, Len: 10, Fitness_tra: 0
Rule 64: 71b113b4b7, Class:  0, CF:0.241768, Len: 10, Fitness_tra: 0
Rule 65: 27b419472b, Class:  1, CF:0.978809, Len: 10, Fitness_tra: 0
Rule 66: 414421b12b, Class:  1, CF:0.975525, Len: 10, Fitness_tra: 0
Rule 67: 127711221b, Class:  1, CF:0.726777, Len: 10, Fitness_tra: 0
Rule 68: 717b137b42, Class:  0, CF:0.308954, Len: 10, Fitness_tra: 0
Rule 69: 74411e7172, Class:  1, CF:0.997721, Len: 10, Fitness_tra: 0
Rule 70: 1422217112, Class:  1, CF:0.708731, Len: 10, Fitness_tra: 0
Rule 71: 74b2514121, Class:  1, CF:0.985084, Len: 10, Fitness_tra: 0
Rule 72: 7117c914b4, Class:  1, CF:0.861244, Len: 10, Fitness_tra: 1
Rule 73: 7cb1537124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 72b175b472, Class:  1, CF:0.993111, Len: 10, Fitness_tra: 1
Rule 75: 217441b4bb, Class:  1, CF:0.969437, Len: 10, Fitness_tra: 0
Rule 76: 21141121b2, Class:  1, CF:0.829548, Len: 10, Fitness_tra: -1
Rule 77: b7bbc6b47b, Class:  1, CF:0.782276, Len: 10, Fitness_tra: 0
Rule 78: 211789742b, Class:  1, CF:0.99467, Len: 10, Fitness_tra: 0
Rule 79: 4244191211, Class:  1, CF:0.836882, Len: 10, Fitness_tra: -1
Rule 80: 4817c14721, Class:  1, CF:0.822868, Len: 10, Fitness_tra: 0
Rule 81: 77271e4224, Class:  1, CF:0.99966, Len: 10, Fitness_tra: 0
Rule 82: 1142d32b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 2b7481bb14, Class:  1, CF:0.991628, Len: 10, Fitness_tra: 0
Rule 84: bb7411b447, Class:  1, CF:0.989973, Len: 10, Fitness_tra: 0
Rule 85: 714189b177, Class:  1, CF:0.998775, Len: 10, Fitness_tra: 3
Rule 86: 4172432244, Class:  1, CF:0.961802, Len: 10, Fitness_tra: 0
Rule 87: 2447c17742, Class:  1, CF:0.990994, Len: 10, Fitness_tra: 0
Rule 88: 724b214721, Class:  1, CF:0.935211, Len: 10, Fitness_tra: 0
Rule 89: 172185b1b4, Class:  1, CF:0.982902, Len: 10, Fitness_tra: 0
Rule 90: 7241852474, Class:  1, CF:0.99877, Len: 10, Fitness_tra: 0
Rule 91: 71b715714b, Class:  1, CF:0.967684, Len: 10, Fitness_tra: 0
Rule 92: 1127c17b1b, Class:  1, CF:0.82621, Len: 10, Fitness_tra: 0
Rule 93: b4175f2147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 21421e1b27, Class:  1, CF:0.958791, Len: 10, Fitness_tra: 0
Rule 95: 78121f4714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 96: 11112e1b2b, Class:  0, CF:0.999818, Len: 10, Fitness_tra: 2685
Rule 97: b42be64427, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 41b22342bb, Class:  1, CF:0.228741, Len: 10, Fitness_tra: 0
Rule 99: b2721e744b, Class:  1, CF:0.956473, Len: 10, Fitness_tra: 0
Rule100: 7772937171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.6853
------Result------
Miss_rate(tra)	:41.6853
Miss_rate(tst)	:40.7678
ARL				:10

------Generation 0------
Rule  1: 11112e1b2b, Class:  0, CF:0.999818, Len: 10, Fitness_tra: 2708
Rule  2: 12141314b7, Class:  0, CF:0.768763, Len: 10, Fitness_tra: 182
Rule  3: 4111331b42, Class:  0, CF:0.198013, Len: 10, Fitness_tra: 124
Rule  4: 714189b177, Class:  1, CF:0.998775, Len: 10, Fitness_tra: 3
Rule  5: b824161741, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule  6: 142b264b42, Class:  0, CF:0.989265, Len: 10, Fitness_tra: 1
Rule  7: 7117c914b4, Class:  1, CF:0.861244, Len: 10, Fitness_tra: -347
Rule  8: 72b175b472, Class:  1, CF:0.993111, Len: 10, Fitness_tra: -3
Rule  9: b224231214, Class:  1, CF:0.994373, Len: 10, Fitness_tra: 1
Rule 10: 27b2c67b17, Class:  1, CF:0.918797, Len: 10, Fitness_tra: 0
Rule 11: 4427c6b4b4, Class:  1, CF:0.782162, Len: 10, Fitness_tra: 0
Rule 12: 41224f7224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 13: 7772937171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b2721e744b, Class:  1, CF:0.956473, Len: 10, Fitness_tra: 0
Rule 15: b441c52b17, Class:  1, CF:0.981924, Len: 10, Fitness_tra: -2
Rule 16: 77b71f721b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b222164421, Class:  0, CF:0.979036, Len: 10, Fitness_tra: 1
Rule 18: 2174812b47, Class:  1, CF:0.981455, Len: 10, Fitness_tra: 0
Rule 19: 7a1dd17122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7b746fbb4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 21: bb2bc14274, Class:  1, CF:0.998584, Len: 10, Fitness_tra: 0
Rule 22: 714bc57221, Class:  1, CF:0.994448, Len: 10, Fitness_tra: 1
Rule 23: 4b2721bbb2, Class:  1, CF:0.975494, Len: 10, Fitness_tra: 0
Rule 24: 7b771974b7, Class:  1, CF:0.995051, Len: 10, Fitness_tra: 0
