------Generation 0------
Rule  1: 12b12f7141, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  2: 7b7253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2221e7bbb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  4: 722283b421, Class:  1, CF:0.942788, Len: 10, Fitness_tra: 0
Rule  5: b1772612b2, Class:  0, CF:0.996222, Len: 10, Fitness_tra: 0
Rule  6: 41741f1217, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  7: 424411b127, Class:  1, CF:0.989411, Len: 10, Fitness_tra: 1
Rule  8: b412197bbb, Class:  0, CF:0.99968, Len: 10, Fitness_tra: 0
Rule  9: bb11c12212, Class:  1, CF:0.99854, Len: 10, Fitness_tra: -181
Rule 10: 412b161124, Class:  0, CF:0.999421, Len: 10, Fitness_tra: 1
Rule 11: 74b4c31b7b, Class:  1, CF:0.886291, Len: 10, Fitness_tra: 0
Rule 12: 7414161111, Class:  0, CF:0.781494, Len: 10, Fitness_tra: 92
Rule 13: 27b1cf7112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2c7111121b, Class:  1, CF:0.885727, Len: 10, Fitness_tra: -525
Rule 15: 77b721422b, Class:  1, CF:0.992843, Len: 10, Fitness_tra: 0
Rule 16: 11411f7717, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 17: b87b4571b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 72742a7b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 2124231447, Class:  1, CF:0.929955, Len: 10, Fitness_tra: 0
Rule 20: 7cb71e1774, Class:  1, CF:0.593073, Len: 10, Fitness_tra: 0
Rule 21: 4214252727, Class:  1, CF:0.786527, Len: 10, Fitness_tra: 0
Rule 22: 721156b21b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b517da4747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 72b4212777, Class:  1, CF:0.942674, Len: 10, Fitness_tra: 0
Rule 25: 7bbb862441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 24b7132214, Class:  0, CF:0.277898, Len: 10, Fitness_tra: 0
Rule 27: 72241f77b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 42777d4b71, Class:  1, CF:0.703195, Len: 10, Fitness_tra: 0
Rule 29: b1b453b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 41bbd34417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 744b167222, Class:  0, CF:0.998817, Len: 10, Fitness_tra: 0
Rule 32: b47159b174, Class:  1, CF:0.997842, Len: 10, Fitness_tra: 1
Rule 33: 427b8d12bb, Class:  1, CF:0.915361, Len: 10, Fitness_tra: 0
Rule 34: 17111e4241, Class:  1, CF:0.99515, Len: 10, Fitness_tra: -389
Rule 35: 112bb94744, Class:  1, CF:0.929717, Len: 10, Fitness_tra: 0
Rule 36: 27b756b74b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: b222297447, Class:  1, CF:0.983889, Len: 10, Fitness_tra: 0
Rule 38: 71422e141b, Class:  1, CF:0.975044, Len: 10, Fitness_tra: -2
Rule 39: 412789212b, Class:  1, CF:0.99187, Len: 10, Fitness_tra: 0
Rule 40: 2d14ce2271, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 41: 4217517712, Class:  1, CF:0.860524, Len: 10, Fitness_tra: 0
Rule 42: b74b83b71b, Class:  1, CF:0.780692, Len: 10, Fitness_tra: 0
Rule 43: 417b8a11b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 414471b442, Class:  1, CF:0.993284, Len: 10, Fitness_tra: 0
Rule 45: 1c1213b221, Class:  0, CF:0.708623, Len: 10, Fitness_tra: 4
Rule 46: 1b12517b74, Class:  1, CF:0.960124, Len: 10, Fitness_tra: 0
Rule 47: 7db11112b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 147
Rule 48: b11481bbb7, Class:  1, CF:0.946929, Len: 10, Fitness_tra: 0
Rule 49: b472831142, Class:  1, CF:0.849394, Len: 10, Fitness_tra: 0
Rule 50: 79b2ce71bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: b1b1214214, Class:  1, CF:0.99516, Len: 10, Fitness_tra: -77
Rule 52: b7b2164177, Class:  0, CF:0.952472, Len: 10, Fitness_tra: 0
Rule 53: b4271ebb47, Class:  0, CF:0.509078, Len: 10, Fitness_tra: 0
Rule 54: 26bb4d4174, Class:  1, CF:0.999462, Len: 10, Fitness_tra: 0
Rule 55: 77b7111772, Class:  1, CF:0.94384, Len: 10, Fitness_tra: -240
Rule 56: bc7b1ab217, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 111149bb77, Class:  1, CF:0.657233, Len: 10, Fitness_tra: -2748
Rule 58: 2427132772, Class:  0, CF:0.921967, Len: 10, Fitness_tra: 0
Rule 59: bb72267b14, Class:  0, CF:0.456567, Len: 10, Fitness_tra: 0
Rule 60: b741261241, Class:  0, CF:0.929939, Len: 10, Fitness_tra: 0
Rule 61: 28171347b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 62: b7122ab2b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 421722b777, Class:  1, CF:0.778385, Len: 10, Fitness_tra: -18
Rule 64: 18b4262214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 65: b1b11374bb, Class:  0, CF:0.261223, Len: 10, Fitness_tra: 0
Rule 66: 4271c5b771, Class:  1, CF:0.991384, Len: 10, Fitness_tra: -6
Rule 67: 7b72161244, Class:  0, CF:0.99577, Len: 10, Fitness_tra: 0
Rule 68: b27b834227, Class:  1, CF:0.996012, Len: 10, Fitness_tra: 0
