------Generation 0------
Rule  1: 217711147b, Class:  1, CF:0.934495, Len: 10, Fitness_tra: 0
Rule  2: 41b48a7772, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7447514221, Class:  1, CF:0.997189, Len: 10, Fitness_tra: 0
Rule  4: bdb1111241, Class:  1, CF:0.986307, Len: 10, Fitness_tra: -9
Rule  5: 2477212272, Class:  1, CF:0.98785, Len: 10, Fitness_tra: 0
Rule  6: b2bb8a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 4112114114, Class:  1, CF:0.778607, Len: 10, Fitness_tra: -24
Rule  8: bd471e7441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  9: 272b56b114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 221b247241, Class:  1, CF:0.980843, Len: 10, Fitness_tra: 0
Rule 11: 24275e4471, Class:  1, CF:0.98009, Len: 10, Fitness_tra: 0
Rule 12: 2b17d6b7b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21243612bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 14: 4b422141b7, Class:  1, CF:0.987311, Len: 10, Fitness_tra: 0
Rule 15: 2511152712, Class:  1, CF:0.578951, Len: 10, Fitness_tra: 0
Rule 16: 2277291421, Class:  1, CF:0.965783, Len: 10, Fitness_tra: 0
Rule 17: 17171e7271, Class:  1, CF:0.855383, Len: 10, Fitness_tra: -52
Rule 18: 2411c31721, Class:  1, CF:0.923395, Len: 10, Fitness_tra: -5
Rule 19: 11741a7127, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 42142e7b24, Class:  1, CF:0.440102, Len: 10, Fitness_tra: 0
Rule 21: 11b2597712, Class:  1, CF:0.636535, Len: 10, Fitness_tra: -1
Rule 22: 752b7327b2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: bc1483bb44, Class:  0, CF:0.29925, Len: 10, Fitness_tra: 0
Rule 24: 1b121171b2, Class:  1, CF:0.82142, Len: 10, Fitness_tra: -5
Rule 25: b1b1861174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 7a21b27721, Class:  1, CF:0.979631, Len: 10, Fitness_tra: 0
Rule 27: 7511152412, Class:  1, CF:0.871885, Len: 10, Fitness_tra: 0
Rule 28: 4111182411, Class:  1, CF:0.988242, Len: 10, Fitness_tra: -2329
Rule 29: 17171eb714, Class:  1, CF:0.61766, Len: 10, Fitness_tra: -148
Rule 30: 4174c6b21b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 727711422b, Class:  1, CF:0.996422, Len: 10, Fitness_tra: 2
Rule 32: 421783417b, Class:  1, CF:0.751974, Len: 10, Fitness_tra: 0
Rule 33: 7b776a4224, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 44bb5eb414, Class:  1, CF:0.982581, Len: 10, Fitness_tra: 0
Rule 35: 71b7214477, Class:  1, CF:0.990074, Len: 10, Fitness_tra: 0
Rule 36: 117b414741, Class:  1, CF:0.925076, Len: 10, Fitness_tra: -3
Rule 37: 712bd6b71b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7212cfb722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: b21b2a4441, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 4b745174b4, Class:  1, CF:0.99959, Len: 10, Fitness_tra: 0
Rule 41: 4b2281b2b4, Class:  1, CF:0.998467, Len: 10, Fitness_tra: 0
Rule 42: 14b4161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 31
Rule 43: 4b1186bb42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1172d12421, Class:  1, CF:0.98693, Len: 10, Fitness_tra: 0
Rule 45: b424721122, Class:  1, CF:0.979909, Len: 10, Fitness_tra: 2
Rule 46: b224831244, Class:  1, CF:0.999084, Len: 10, Fitness_tra: 0
Rule 47: 12723e4bbb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 48: 4141534721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 7b2183bbb2, Class:  1, CF:0.939705, Len: 10, Fitness_tra: 0
Rule 50: 2142317441, Class:  1, CF:0.897485, Len: 10, Fitness_tra: 0
Rule 51: 221b117271, Class:  1, CF:0.884004, Len: 10, Fitness_tra: -1
Rule 52: b211137477, Class:  0, CF:0.203536, Len: 10, Fitness_tra: 0
Rule 53: b421134744, Class:  0, CF:0.745213, Len: 10, Fitness_tra: 0
Rule 54: 27b4757742, Class:  1, CF:0.996287, Len: 10, Fitness_tra: 0
Rule 55: 4212c927b1, Class:  0, CF:0.850112, Len: 10, Fitness_tra: 0
Rule 56: b1b781b271, Class:  1, CF:0.992463, Len: 10, Fitness_tra: 0
Rule 57: b77223441b, Class:  1, CF:0.521822, Len: 10, Fitness_tra: 0
Rule 58: 2b72511b7b, Class:  1, CF:0.998414, Len: 10, Fitness_tra: 0
Rule 59: 42742122bb, Class:  1, CF:0.939102, Len: 10, Fitness_tra: 0
Rule 60: 217ba62b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 4117132414, Class:  1, CF:0.744862, Len: 10, Fitness_tra: 0
Rule 62: 412b161b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 63: 72b15d172b, Class:  1, CF:0.996649, Len: 10, Fitness_tra: 1
Rule 64: 14241e2711, Class:  1, CF:0.162082, Len: 10, Fitness_tra: -1
Rule 65: 724b81b444, Class:  1, CF:0.99633, Len: 10, Fitness_tra: 0
Rule 66: 1444452b72, Class:  1, CF:0.653506, Len: 10, Fitness_tra: 0
Rule 67: 4127114b72, Class:  1, CF:0.62628, Len: 10, Fitness_tra: 0
Rule 68: 4427831411, Class:  1, CF:0.743313, Len: 10, Fitness_tra: 0
Rule 69: 41141ab272, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: 1221227b2b, Class:  1, CF:0.803648, Len: 10, Fitness_tra: 0
Rule 71: b924251412, Class:  0, CF:0.178285, Len: 10, Fitness_tra: 0
Rule 72: b74183b427, Class:  1, CF:0.755547, Len: 10, Fitness_tra: 0
Rule 73: be4713bb71, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 74: 4b1b8db414, Class:  1, CF:0.99757, Len: 10, Fitness_tra: 0
Rule 75: 42725324b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: b942c54111, Class:  0, CF:0.939206, Len: 10, Fitness_tra: 21
Rule 77: 22bb21b127, Class:  1, CF:0.965121, Len: 10, Fitness_tra: 0
Rule 78: 4c411942b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 79: 774121bb4b, Class:  1, CF:0.97609, Len: 10, Fitness_tra: 0
Rule 80: 77278a7112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 27128a4bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 274216b442, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 7b24192244, Class:  1, CF:0.999908, Len: 10, Fitness_tra: 0
Rule 84: 114721b744, Class:  1, CF:0.973233, Len: 10, Fitness_tra: 0
Rule 85: 4211c6b222, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 86: 2421134171, Class:  0, CF:0.158001, Len: 10, Fitness_tra: 1
Rule 87: 282bca722b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 44b1867721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 71442e7bb7, Class:  0, CF:0.0244941, Len: 10, Fitness_tra: 0
Rule 90: b171117241, Class:  1, CF:0.97643, Len: 10, Fitness_tra: 0
Rule 91: 7b2b3f4714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 92: 4bb2567721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 42114e1bb4, Class:  1, CF:0.9028, Len: 10, Fitness_tra: -1146
Rule 94: b171c34141, Class:  1, CF:0.950506, Len: 10, Fitness_tra: -1
Rule 95: b47b851127, Class:  1, CF:0.974512, Len: 10, Fitness_tra: 2
Rule 96: 4127482447, Class:  1, CF:0.995222, Len: 10, Fitness_tra: 0
Rule 97: b172111142, Class:  1, CF:0.94759, Len: 10, Fitness_tra: -1
Rule 98: 217b8142b2, Class:  1, CF:0.994235, Len: 10, Fitness_tra: 0
Rule 99: 221111147b, Class:  1, CF:0.928453, Len: 10, Fitness_tra: -996
Rule100: 472bee2772, Class:  1, CF:0.971101, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:98.3753
------Result------
Miss_rate(tra)	:98.3753
Miss_rate(tst)	:97.9927
ARL				:10

------Generation 0------
Rule  1: 14b4161717, Class:  0, CF:  1, Len: 10, Fitness_tra: 83
Rule  2: b942c54111, Class:  0, CF:0.939206, Len: 10, Fitness_tra: 0
Rule  3: b47b851127, Class:  1, CF:0.974512, Len: 10, Fitness_tra: -164
Rule  4: b424721122, Class:  1, CF:0.979909, Len: 10, Fitness_tra: -1892
Rule  5: 412b161b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 4
Rule  6: 727711422b, Class:  1, CF:0.996422, Len: 10, Fitness_tra: 2
Rule  7: 72b15d172b, Class:  1, CF:0.996649, Len: 10, Fitness_tra: -16
Rule  8: 2421134171, Class:  0, CF:0.158001, Len: 10, Fitness_tra: 6
Rule  9: 217711147b, Class:  1, CF:0.934495, Len: 10, Fitness_tra: -78
Rule 10: 221b247241, Class:  1, CF:0.980843, Len: 10, Fitness_tra: -5
Rule 11: 24275e4471, Class:  1, CF:0.98009, Len: 10, Fitness_tra: 0
Rule 12: 2b17d6b7b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 21243612bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 14: 4b422141b7, Class:  1, CF:0.987311, Len: 10, Fitness_tra: 0
Rule 15: 2511152712, Class:  1, CF:0.578951, Len: 10, Fitness_tra: 0
Rule 16: 2277291421, Class:  1, CF:0.965783, Len: 10, Fitness_tra: -2
