------Generation 0------
Rule  1: 1244134b21, Class:  0, CF:0.290507, Len: 10, Fitness_tra: 0
Rule  2: 4522c34121, Class:  1, CF:0.999437, Len: 10, Fitness_tra: 0
Rule  3: 447b2521b4, Class:  1, CF:0.770802, Len: 10, Fitness_tra: 0
Rule  4: 711221b114, Class:  1, CF:0.884443, Len: 10, Fitness_tra: -718
Rule  5: 71b41171b2, Class:  1, CF:0.86289, Len: 10, Fitness_tra: 0
Rule  6: 144b25444b, Class:  1, CF:0.943896, Len: 10, Fitness_tra: 0
Rule  7: b71b18b227, Class:  1, CF:0.988914, Len: 10, Fitness_tra: 0
Rule  8: 7c4429b724, Class:  1, CF:0.921096, Len: 10, Fitness_tra: 0
Rule  9: 7744434442, Class:  1, CF:0.13564, Len: 10, Fitness_tra: 0
Rule 10: b114212712, Class:  1, CF:0.954519, Len: 10, Fitness_tra: 0
Rule 11: 17b7211212, Class:  1, CF:0.926933, Len: 10, Fitness_tra: -981
Rule 12: b822411bb1, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 13: 4717162174, Class:  0, CF:0.57148, Len: 10, Fitness_tra: 0
Rule 14: 1b12c64247, Class:  1, CF:0.946216, Len: 10, Fitness_tra: 0
Rule 15: 72472e7741, Class:  1, CF:0.926149, Len: 10, Fitness_tra: 0
Rule 16: bb2b2147b7, Class:  1, CF:0.987739, Len: 10, Fitness_tra: 0
Rule 17: 21b11ab44b, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 18: b4273322bb, Class:  0, CF:0.719059, Len: 10, Fitness_tra: 0
Rule 19: 71b1254bb1, Class:  1, CF:0.960922, Len: 10, Fitness_tra: -6
Rule 20: 22718e27b4, Class:  1, CF:0.960864, Len: 10, Fitness_tra: 0
Rule 21: 1124232274, Class:  1, CF:0.43708, Len: 10, Fitness_tra: 0
Rule 22: be2b111141, Class:  1, CF:0.889163, Len: 10, Fitness_tra: -95
Rule 23: 12b28a1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b411e9b742, Class:  1, CF:0.985159, Len: 10, Fitness_tra: 0
Rule 25: 2b17517441, Class:  1, CF:0.998088, Len: 10, Fitness_tra: 0
Rule 26: 111b89b71b, Class:  0, CF:0.042528, Len: 10, Fitness_tra: 3
