------Generation 0------
Rule  1: 7424831224, Class:  1, CF:0.996, Len: 10, Fitness_tra: 1
Rule  2: 11b7261424, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: 4214661771, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule  4: 77bb19472b, Class:  1, CF:0.976531, Len: 10, Fitness_tra: 0
Rule  5: 1b215a1271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1c72131221, Class:  0, CF:0.825715, Len: 10, Fitness_tra: 0
Rule  7: 14b183441b, Class:  1, CF:0.706944, Len: 10, Fitness_tra: 0
Rule  8: b27213212b, Class:  1, CF:0.84665, Len: 10, Fitness_tra: 0
Rule  9: 141b231121, Class:  1, CF:0.105345, Len: 10, Fitness_tra: -267
Rule 10: 14b4567111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 717725b471, Class:  1, CF:0.992091, Len: 10, Fitness_tra: -2
Rule 12: 1b2b11b711, Class:  1, CF:0.924617, Len: 10, Fitness_tra: -1
Rule 13: 71bb8e74b4, Class:  1, CF:0.977098, Len: 10, Fitness_tra: 0
Rule 14: 42b115b242, Class:  1, CF:0.997343, Len: 10, Fitness_tra: 0
Rule 15: 2411167b42, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 151b311217, Class:  0, CF:0.104505, Len: 10, Fitness_tra: 62
Rule 17: 72119374b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 471791b241, Class:  1, CF:0.996356, Len: 10, Fitness_tra: 0
Rule 19: 21748d47b7, Class:  1, CF:0.987749, Len: 10, Fitness_tra: 0
Rule 20: 1b74d674b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bc2781b124, Class:  1, CF:0.977892, Len: 10, Fitness_tra: 0
Rule 22: 7d47591727, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 7a41d12422, Class:  1, CF:0.999853, Len: 10, Fitness_tra: 0
Rule 24: 22b113771b, Class:  0, CF:0.32538, Len: 10, Fitness_tra: 0
Rule 25: 12442247b7, Class:  1, CF:0.00987366, Len: 10, Fitness_tra: 0
Rule 26: 214b1eb1b1, Class:  1, CF:0.790867, Len: 10, Fitness_tra: 0
Rule 27: b272ce7717, Class:  1, CF:0.805225, Len: 10, Fitness_tra: 0
Rule 28: 2172214242, Class:  1, CF:0.995593, Len: 10, Fitness_tra: 0
Rule 29: 7472311b14, Class:  0, CF:0.312666, Len: 10, Fitness_tra: 2
Rule 30: 14249672b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 7bb2d3722b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 27114fb47b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 33: 4717267b77, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 34: 47144172b2, Class:  1, CF:0.972583, Len: 10, Fitness_tra: 0
Rule 35: 7b24cf4b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4b1b1174b1, Class:  1, CF:0.961482, Len: 10, Fitness_tra: 0
Rule 37: 44148177b4, Class:  1, CF:0.949898, Len: 10, Fitness_tra: 0
Rule 38: 42442e2427, Class:  1, CF:0.958011, Len: 10, Fitness_tra: 0
Rule 39: 2b7b164242, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: b447134477, Class:  0, CF:0.758782, Len: 10, Fitness_tra: 0
Rule 41: 17471d1244, Class:  1, CF:0.971754, Len: 10, Fitness_tra: 0
Rule 42: 11b7297742, Class:  1, CF:0.933871, Len: 10, Fitness_tra: 0
Rule 43: bb428e24b2, Class:  1, CF:0.997443, Len: 10, Fitness_tra: 0
Rule 44: 4272214442, Class:  1, CF:0.995685, Len: 10, Fitness_tra: 0
Rule 45: 241b164714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 46: 44b78f7211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 41b13f1421, Class:  0, CF:  1, Len: 10, Fitness_tra: 13
Rule 48: b1b2d11111, Class:  1, CF:0.965025, Len: 10, Fitness_tra: -34
Rule 49: b24b21b472, Class:  1, CF:0.980273, Len: 10, Fitness_tra: 0
Rule 50: b4422fb172, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 51: b1121a7b72, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 52: 721bbd11bb, Class:  0, CF:0.938118, Len: 10, Fitness_tra: 2069
Rule 53: 1127817742, Class:  1, CF:0.983562, Len: 10, Fitness_tra: 0
Rule 54: 2242a3b7b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 55: 217b111421, Class:  1, CF:0.970175, Len: 10, Fitness_tra: -4
Rule 56: 721b1a14b4, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 57: b5b25e7121, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: b242261b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 59: 124219bb12, Class:  1, CF:0.0541097, Len: 10, Fitness_tra: 0
Rule 60: 754b411424, Class:  1, CF:0.999207, Len: 10, Fitness_tra: 4
Rule 61: 2d24217741, Class:  1, CF:0.940696, Len: 10, Fitness_tra: 0
