------Generation 0------
Rule  1: b4bb51b447, Class:  1, CF:0.997174, Len: 10, Fitness_tra: 0
Rule  2: 1b74597477, Class:  1, CF:0.995943, Len: 10, Fitness_tra: 0
Rule  3: 73275d7211, Class:  1, CF:0.998081, Len: 10, Fitness_tra: 0
Rule  4: 44771f1b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: bc2b864411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b4b48141bb, Class:  1, CF:0.963948, Len: 10, Fitness_tra: 0
Rule  7: 4277891741, Class:  1, CF:0.898296, Len: 10, Fitness_tra: -1
Rule  8: b471231772, Class:  0, CF:0.993726, Len: 10, Fitness_tra: 0
Rule  9: 412113b414, Class:  1, CF:0.529027, Len: 10, Fitness_tra: -2
Rule 10: b471ef712b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2144167b17, Class:  0, CF:0.942322, Len: 10, Fitness_tra: 0
Rule 12: 4141414b17, Class:  1, CF:0.952601, Len: 10, Fitness_tra: -1
Rule 13: 7177214772, Class:  1, CF:0.979939, Len: 10, Fitness_tra: 0
Rule 14: 7c7481477b, Class:  1, CF:0.926425, Len: 10, Fitness_tra: 0
Rule 15: 7141c144b1, Class:  1, CF:0.993289, Len: 10, Fitness_tra: -2
Rule 16: 4442117b4b, Class:  1, CF:0.499693, Len: 10, Fitness_tra: 0
Rule 17: 2141c37744, Class:  0, CF:0.00914248, Len: 10, Fitness_tra: 0
Rule 18: 7177512b17, Class:  1, CF:0.961958, Len: 10, Fitness_tra: 0
Rule 19: 71b1d11111, Class:  1, CF:0.995679, Len: 10, Fitness_tra: -286
Rule 20: 411b864224, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b114ce4b11, Class:  1, CF:0.403394, Len: 10, Fitness_tra: -120
Rule 22: 7b47811121, Class:  1, CF:0.997326, Len: 10, Fitness_tra: 0
Rule 23: 1271d57424, Class:  1, CF:0.997302, Len: 10, Fitness_tra: 0
Rule 24: 72b29a7141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 712113b127, Class:  1, CF:0.618851, Len: 10, Fitness_tra: 0
Rule 26: 284119141b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 72772e222b, Class:  1, CF:0.991264, Len: 10, Fitness_tra: 0
Rule 28: 124b117174, Class:  1, CF:0.602829, Len: 10, Fitness_tra: 0
Rule 29: 4471c1442b, Class:  1, CF:0.997377, Len: 10, Fitness_tra: 0
Rule 30: 7121c12277, Class:  1, CF:0.998582, Len: 10, Fitness_tra: 0
Rule 31: 1112412421, Class:  1, CF:0.917245, Len: 10, Fitness_tra: -1
Rule 32: 224459b412, Class:  1, CF:0.959511, Len: 10, Fitness_tra: 0
Rule 33: 4127954b12, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
