------Generation 0------
Rule  1: 14418e7bb7, Class:  1, CF:0.414065, Len: 10, Fitness_tra: 0
Rule  2: 2441214b11, Class:  1, CF:0.887791, Len: 10, Fitness_tra: -2
Rule  3: 74411e4412, Class:  1, CF:0.999064, Len: 10, Fitness_tra: 0
Rule  4: 44b7417b74, Class:  1, CF:0.789708, Len: 10, Fitness_tra: 0
Rule  5: 124b534b17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7774c1141b, Class:  1, CF:0.975881, Len: 10, Fitness_tra: -127
Rule  7: 214b4321b7, Class:  1, CF:0.626313, Len: 10, Fitness_tra: 0
Rule  8: 7b74212711, Class:  1, CF:0.979158, Len: 10, Fitness_tra: 0
Rule  9: 24b211b124, Class:  1, CF:0.956842, Len: 10, Fitness_tra: 0
Rule 10: 1bb4137142, Class:  1, CF:0.908436, Len: 10, Fitness_tra: 0
Rule 11: b8214d7b74, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 17bbce44bb, Class:  0, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 13: 422b192b77, Class:  1, CF:0.108089, Len: 10, Fitness_tra: 0
Rule 14: 75b7212742, Class:  1, CF:0.969536, Len: 10, Fitness_tra: 0
Rule 15: 711713717c, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: bb7b8a1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 184783444b, Class:  1, CF:0.800643, Len: 10, Fitness_tra: 0
Rule 18: 21bb252222, Class:  1, CF:0.999047, Len: 10, Fitness_tra: 0
Rule 19: 1477332bb4, Class:  0, CF:0.507144, Len: 10, Fitness_tra: 0
Rule 20: 1114131717, Class:  0, CF:0.172097, Len: 10, Fitness_tra: 190
Rule 21: 2441251744, Class:  1, CF:0.997226, Len: 10, Fitness_tra: -91
Rule 22: 7224ca74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 24215fb712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 114156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2abb437b41, Class:  1, CF:0.980208, Len: 10, Fitness_tra: 0
Rule 26: 2b445114b2, Class:  1, CF:0.998952, Len: 10, Fitness_tra: 0
Rule 27: 71111347b7, Class:  1, CF:0.563857, Len: 10, Fitness_tra: 0
Rule 28: b874c17111, Class:  1, CF:0.601484, Len: 10, Fitness_tra: -29
Rule 29: 144b13b2b4, Class:  0, CF:0.36587, Len: 10, Fitness_tra: 0
Rule 30: bc71c62b21, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 7b441abbb1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 7221c61b72, Class:  1, CF:0.553336, Len: 10, Fitness_tra: 0
Rule 33: b41451b744, Class:  1, CF:0.971105, Len: 10, Fitness_tra: 0
Rule 34: 42772517b4, Class:  1, CF:0.242169, Len: 10, Fitness_tra: -5
Rule 35: b1148a4b22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 77125f2147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2bb72eb7b2, Class:  1, CF:0.983388, Len: 10, Fitness_tra: 0
Rule 38: 47b7ca1b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
