------Generation 0------
Rule  1: b5122544bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule  2: 72b4137224, Class:  0, CF:0.647777, Len: 10, Fitness_tra: 0
Rule  3: 1142214274, Class:  1, CF:0.969499, Len: 10, Fitness_tra: 0
Rule  4: 1417df24b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 144b1e7741, Class:  1, CF:0.753742, Len: 10, Fitness_tra: -21
Rule  6: 7412a1142b, Class:  0, CF:  1, Len: 10, Fitness_tra: 61
Rule  7: b1b71a17b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 722b112224, Class:  1, CF:0.999555, Len: 10, Fitness_tra: 2
Rule  9: 42744517b2, Class:  1, CF:0.279993, Len: 10, Fitness_tra: 0
Rule 10: 212185bb21, Class:  1, CF:0.983133, Len: 10, Fitness_tra: 0
Rule 11: 244b162174, Class:  0, CF:0.993858, Len: 10, Fitness_tra: 0
Rule 12: b24451271b, Class:  1, CF:0.883698, Len: 10, Fitness_tra: 0
Rule 13: 7b1259bb47, Class:  1, CF:0.367208, Len: 10, Fitness_tra: 0
Rule 14: 124b117242, Class:  1, CF:0.996556, Len: 10, Fitness_tra: 1
Rule 15: 417725b1b4, Class:  1, CF:0.892504, Len: 10, Fitness_tra: 0
Rule 16: 117281b717, Class:  1, CF:0.913671, Len: 10, Fitness_tra: -25
Rule 17: 47221a4414, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 18: 41721e1441, Class:  1, CF:0.992393, Len: 10, Fitness_tra: 0
Rule 19: 772b5141b1, Class:  1, CF:0.950692, Len: 10, Fitness_tra: 0
Rule 20: 2147891121, Class:  1, CF:0.979688, Len: 10, Fitness_tra: -7
Rule 21: b211137174, Class:  0, CF:0.0354055, Len: 10, Fitness_tra: 6
Rule 22: 4bb18a7b72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: bbb483727b, Class:  1, CF:0.887675, Len: 10, Fitness_tra: 0
Rule 24: 1142214717, Class:  1, CF:0.850456, Len: 10, Fitness_tra: -1
Rule 25: 4217234b1b, Class:  1, CF:0.536508, Len: 10, Fitness_tra: -8
Rule 26: 187126472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 78b2114bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 28: 24225327b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 742b1f2bb1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 7b71137247, Class:  0, CF:0.0607388, Len: 10, Fitness_tra: 0
Rule 31: 241756b174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18748e4444, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 33: 72728fb22b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 73b21e2b7c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: b17bc8b247, Class:  1, CF:0.995406, Len: 10, Fitness_tra: 0
Rule 36: 72b7857bb7, Class:  1, CF:0.103702, Len: 10, Fitness_tra: 0
Rule 37: bc72c111b7, Class:  0, CF:0.527584, Len: 10, Fitness_tra: 29
Rule 38: 11142f44bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 39: 25411972b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 7272162b74, Class:  0, CF:0.999003, Len: 10, Fitness_tra: 0
Rule 41: 441223271b, Class:  1, CF:0.579998, Len: 10, Fitness_tra: 0
Rule 42: 727b1eb771, Class:  1, CF:0.739019, Len: 10, Fitness_tra: 0
Rule 43: 141b1f1712, Class:  0, CF:  1, Len: 10, Fitness_tra: 20
Rule 44: 7bb18ab1b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1b12181241, Class:  1, CF:0.772474, Len: 10, Fitness_tra: -2211
Rule 46: 4144ca2177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 12b4864227, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 272bc34b77, Class:  1, CF:0.847293, Len: 10, Fitness_tra: 0
Rule 49: 711b5f4117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: b717c3b714, Class:  1, CF:0.932618, Len: 10, Fitness_tra: 0
Rule 51: 2124132141, Class:  1, CF:0.416398, Len: 10, Fitness_tra: -1
Rule 52: 22241f4b1b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 53: bd711e4bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 54: 222b214112, Class:  1, CF:0.949782, Len: 10, Fitness_tra: 0
Rule 55: b271864442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: bd2b297b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 4514164221, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 58: 717bc67417, Class:  1, CF:0.965826, Len: 10, Fitness_tra: 0
Rule 59: 1b711e41b7, Class:  1, CF:0.953995, Len: 10, Fitness_tra: -164
Rule 60: 241726441b, Class:  0, CF:0.702426, Len: 10, Fitness_tra: 0
Rule 61: 4bbb111b77, Class:  1, CF:0.957484, Len: 10, Fitness_tra: -8
Rule 62: 4c172e74b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 63: 472b29774b, Class:  1, CF:0.988524, Len: 10, Fitness_tra: 0
Rule 64: bb71ce1b41, Class:  1, CF:0.998969, Len: 10, Fitness_tra: -22
Rule 65: 4117284474, Class:  1, CF:0.985462, Len: 10, Fitness_tra: 0
Rule 66: 21442a2b11, Class:  0, CF:  1, Len: 10, Fitness_tra: 3
Rule 67: 4b17261724, Class:  0, CF:0.928905, Len: 10, Fitness_tra: 0
Rule 68: 224b1a7721, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 69: 11bbd67172, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 72bb5e7247, Class:  1, CF:0.993518, Len: 10, Fitness_tra: 0
Rule 71: 42bb51b742, Class:  1, CF:0.960249, Len: 10, Fitness_tra: 0
Rule 72: 4b11512242, Class:  1, CF:0.999933, Len: 10, Fitness_tra: 0
Rule 73: 2227211772, Class:  1, CF:0.829934, Len: 10, Fitness_tra: -1
Rule 74: 1b27c14224, Class:  1, CF:0.994941, Len: 10, Fitness_tra: 0
Rule 75: 41141312b7, Class:  1, CF:0.0788699, Len: 10, Fitness_tra: 0
Rule 76: 7c742e7114, Class:  1, CF:0.502623, Len: 10, Fitness_tra: 0
Rule 77: 1721137444, Class:  0, CF:0.102761, Len: 10, Fitness_tra: 0
Rule 78: b5b7111442, Class:  1, CF:0.975074, Len: 10, Fitness_tra: -68
Rule 79: 7414c91141, Class:  1, CF:0.525423, Len: 10, Fitness_tra: -1836
Rule 80: 1814f64411, Class:  0, CF:  1, Len: 10, Fitness_tra: 2
Rule 81: 24148377bb, Class:  1, CF:0.504791, Len: 10, Fitness_tra: 0
Rule 82: 784c217b44, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 83: 71b7864b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b117f12414, Class:  0, CF:  1, Len: 10, Fitness_tra: 6
Rule 85: b2b1214271, Class:  1, CF:0.966099, Len: 10, Fitness_tra: -5
Rule 86: 4224134171, Class:  0, CF:0.50858, Len: 10, Fitness_tra: 1
Rule 87: 11b283bb71, Class:  1, CF:0.691003, Len: 10, Fitness_tra: -2
Rule 88: 741451741b, Class:  1, CF:0.958288, Len: 10, Fitness_tra: 0
Rule 89: 4c41191771, Class:  1, CF:0.946535, Len: 10, Fitness_tra: -45
