------Generation 0------
Rule  1: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b927811471, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  3: 4117264414, Class:  1, CF:0.126096, Len: 10, Fitness_tra: 0
Rule  4: 747156b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2871197222, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  6: b17b16b141, Class:  1, CF:0.0374432, Len: 10, Fitness_tra: 0
Rule  7: 24b2efb122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2bb4834471, Class:  1, CF:0.848923, Len: 10, Fitness_tra: 0
Rule  9: 117b211721, Class:  1, CF:0.906635, Len: 10, Fitness_tra: -559
Rule 10: b2218e4442, Class:  1, CF:0.999765, Len: 10, Fitness_tra: 0
Rule 11: b34211b147, Class:  1, CF:0.991257, Len: 10, Fitness_tra: 0
Rule 12: 2221ce424b, Class:  0, CF:0.999998, Len: 10, Fitness_tra: 0
Rule 13: 4b1b617271, Class:  1, CF:0.821102, Len: 10, Fitness_tra: 0
Rule 14: 2112361211, Class:  0, CF:0.199984, Len: 10, Fitness_tra: 72
Rule 15: 4bbb8e7b14, Class:  1, CF:0.984448, Len: 10, Fitness_tra: 0
Rule 16: 7211b2b214, Class:  1, CF:0.991135, Len: 10, Fitness_tra: -1
Rule 17: 2417797717, Class:  1, CF:0.511808, Len: 10, Fitness_tra: 0
Rule 18: 7b242f2b27, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 1d11294424, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 20: 1142291111, Class:  0, CF:0.572321, Len: 10, Fitness_tra: 3557
Rule 21: 21b41a4774, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 22: 2744c1b442, Class:  1, CF:0.99625, Len: 10, Fitness_tra: 0
Rule 23: 121716b24b, Class:  0, CF:0.973147, Len: 10, Fitness_tra: 0
Rule 24: 7212211172, Class:  1, CF:0.532882, Len: 10, Fitness_tra: -105
Rule 25: b244f1bb2b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 26: 14711a7744, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 27: 7b4b19217b, Class:  1, CF:0.986053, Len: 10, Fitness_tra: 0
Rule 28: 1b1483724b, Class:  1, CF:0.920825, Len: 10, Fitness_tra: 0
Rule 29: 47b4cf224b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 44178317b2, Class:  1, CF:0.733846, Len: 10, Fitness_tra: 0
Rule 31: b24453b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4172861221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b372791441, Class:  1, CF:0.99823, Len: 10, Fitness_tra: 2
Rule 34: 74411a472b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: 41bb112177, Class:  1, CF:0.925703, Len: 10, Fitness_tra: 0
Rule 36: 1121c3211b, Class:  1, CF:0.969664, Len: 10, Fitness_tra: -11
Rule 37: 21b22e717c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 38: 41778e4412, Class:  1, CF:0.995941, Len: 10, Fitness_tra: 0
Rule 39: 74b75abb27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 771781227b, Class:  1, CF:0.995096, Len: 10, Fitness_tra: 0
Rule 41: b4475ab121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 41b419bbb4, Class:  1, CF:0.681434, Len: 10, Fitness_tra: 0
Rule 43: 7141152828, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 1121c924b2, Class:  1, CF:0.894675, Len: 10, Fitness_tra: 0
Rule 45: b72111b724, Class:  1, CF:0.986682, Len: 10, Fitness_tra: 0
Rule 46: 7bb12674b7, Class:  0, CF:0.549179, Len: 10, Fitness_tra: 0
Rule 47: 2211114217, Class:  1, CF:0.982982, Len: 10, Fitness_tra: 0
Rule 48: b4bb8fb71b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 441113b241, Class:  1, CF:0.740581, Len: 10, Fitness_tra: -3
