------Generation 0------
Rule  1: 111c, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1111, Class:  1, CF:0.0279963, Len:  4, Fitness_tra: 0
Rule  3: 4346, Class:  1, CF:0.249474, Len:  4, Fitness_tra: 5
Rule  4: 0454, Class:  2, CF:0.0550975, Len:  3, Fitness_tra: 0
Rule  5: 0340, Class:  2, CF:0.142582, Len:  2, Fitness_tra: 3
Rule  6: 0600, Class:  2, CF:0.0732792, Len:  1, Fitness_tra: 2
Rule  7: b411, Class:  0, CF:0.0626063, Len:  4, Fitness_tra: 0
Rule  8: 0040, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0005, Class:  2, CF:0.0375324, Len:  1, Fitness_tra: -2
Rule 10: 1112, Class:  2, CF:0.0735352, Len:  4, Fitness_tra: 0
Rule 11: 0050, Class:  2, CF:0.0833185, Len:  1, Fitness_tra: 1
Rule 12: 5233, Class:  0, CF:0.991494, Len:  4, Fitness_tra: 3
Rule 13: b151, Class:  2, CF:0.460162, Len:  4, Fitness_tra: 4
Rule 14: 5312, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1119, Class:  2, CF:0.457201, Len:  4, Fitness_tra: 7
Rule 16: 6006, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 6431, Class:  1, CF:0.404203, Len:  4, Fitness_tra: 10
Rule 18: 1646, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0006, Class:  0, CF:0.126878, Len:  1, Fitness_tra: -2
Rule 20: 3152, Class:  2, CF:0.975247, Len:  4, Fitness_tra: 18
Rule 21: 1431, Class:  1, CF:0.0638141, Len:  4, Fitness_tra: 0
Rule 22: 6435, Class:  2, CF:0.186513, Len:  4, Fitness_tra: 0
Rule 23: b550, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 0540, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1113, Class:  1, CF:0.0954297, Len:  4, Fitness_tra: 0
