------Generation 0------
Rule  1: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 27218e4414, Class:  1, CF:0.99457, Len: 10, Fitness_tra: 0
Rule  3: 00000c0000, Class:  1, CF:0.0799244, Len:  1, Fitness_tra: -255
Rule  4: 74b7451421, Class:  1, CF:0.828566, Len: 10, Fitness_tra: 0
Rule  5: b222c91274, Class:  1, CF:0.35924, Len: 10, Fitness_tra: 0
Rule  6: b427211b27, Class:  1, CF:0.878691, Len: 10, Fitness_tra: 0
Rule  7: 481121b127, Class:  1, CF:0.866862, Len: 10, Fitness_tra: 0
Rule  8: 77b2c17171, Class:  1, CF:0.448424, Len: 10, Fitness_tra: 0
Rule  9: 41bb111b14, Class:  1, CF:0.754984, Len: 10, Fitness_tra: 0
Rule 10: b72bd61417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d112e7b77, Class:  1, CF:0.336466, Len: 10, Fitness_tra: 0
Rule 12: 2bb2122b7b, Class:  1, CF:0.906721, Len: 10, Fitness_tra: 0
Rule 13: 4714d3b2bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24141a211b, Class:  1, CF:0.990557, Len: 10, Fitness_tra: 0
Rule 15: bb47517247, Class:  1, CF:0.99647, Len: 10, Fitness_tra: 0
Rule 16: b71b51427b, Class:  1, CF:0.917616, Len: 10, Fitness_tra: 0
Rule 17: 28721e7147, Class:  0, CF:0.290808, Len: 10, Fitness_tra: 0
Rule 18: 7c128fbb24, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4bbb89bb74, Class:  1, CF:0.907725, Len: 10, Fitness_tra: 0
Rule 20: 41442eb244, Class:  1, CF:0.983679, Len: 10, Fitness_tra: 0
Rule 21: 444116172b, Class:  1, CF:0.998248, Len: 10, Fitness_tra: 1
Rule 22: 7472132111, Class:  1, CF:0.985485, Len: 10, Fitness_tra: 0
Rule 23: 4c77131721, Class:  1, CF:0.984521, Len: 10, Fitness_tra: 0
Rule 24: 2224237b24, Class:  1, CF:0.984674, Len: 10, Fitness_tra: 0
Rule 25: 4c7751b77b, Class:  1, CF:0.344498, Len: 10, Fitness_tra: 0
Rule 26: 42b28e4247, Class:  1, CF:0.923747, Len: 10, Fitness_tra: 0
Rule 27: bcb1c54171, Class:  1, CF:0.624691, Len: 10, Fitness_tra: 0
Rule 28: 2374257174, Class:  1, CF:0.938885, Len: 10, Fitness_tra: 0
Rule 29: 1121c11b41, Class:  1, CF:0.607108, Len: 10, Fitness_tra: 0
Rule 30: 247113b441, Class:  1, CF:0.994957, Len: 10, Fitness_tra: 0
Rule 31: 714116b114, Class:  1, CF:0.998698, Len: 10, Fitness_tra: 1
Rule 32: 721436bb24, Class:  1, CF:0.999454, Len: 10, Fitness_tra: 0
Rule 33: 7c74c11114, Class:  1, CF:0.15242, Len: 10, Fitness_tra: 0
Rule 34: 144b1e2774, Class:  1, CF:0.147809, Len: 10, Fitness_tra: 0
Rule 35: 1417234112, Class:  1, CF:0.933812, Len: 10, Fitness_tra: 0
Rule 36: 722bd3127b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 4b27dab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 424413bb2b, Class:  1, CF:0.994523, Len: 10, Fitness_tra: 0
Rule 39: 2427531b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 112b894217, Class:  1, CF:0.546252, Len: 10, Fitness_tra: 0
Rule 41: 1447c177b2, Class:  1, CF:0.104308, Len: 10, Fitness_tra: 0
Rule 42: 7477c5b212, Class:  1, CF:0.833214, Len: 10, Fitness_tra: 0
Rule 43: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1242261bb2, Class:  1, CF:0.9967, Len: 10, Fitness_tra: 0
Rule 45: b422231bb7, Class:  1, CF:0.968426, Len: 10, Fitness_tra: 0
Rule 46: 4bb4254111, Class:  1, CF:0.397278, Len: 10, Fitness_tra: -1
Rule 47: b72b81b77b, Class:  1, CF:0.903124, Len: 10, Fitness_tra: 0
Rule 48: 2b7bcf2714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 1b245f7724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 0000400000, Class:  0, CF:0.178802, Len:  1, Fitness_tra: 3747
Rule 51: 7cb411474b, Class:  1, CF:0.922845, Len: 10, Fitness_tra: 0
Rule 52: 71122117b4, Class:  1, CF:0.575838, Len: 10, Fitness_tra: 0
Rule 53: 12bb5f4721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 7b2121721b, Class:  1, CF:0.984645, Len: 10, Fitness_tra: 0
Rule 55: 72b7167471, Class:  1, CF:0.999803, Len: 10, Fitness_tra: 0
Rule 56: 112721b4b7, Class:  1, CF:0.712005, Len: 10, Fitness_tra: 0
Rule 57: 42b4ceb142, Class:  1, CF:0.352563, Len: 10, Fitness_tra: 0
Rule 58: b2471a22b2, Class:  1, CF:0.999973, Len: 10, Fitness_tra: 0
Rule 59: 1114d6b4c7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 23474e222c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 42111544b2, Class:  1, CF:0.782539, Len: 10, Fitness_tra: 0
Rule 63: 127156bb1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 114116212b, Class:  1, CF:0.998835, Len: 10, Fitness_tra: 0
Rule 65: b922211147, Class:  1, CF:0.793216, Len: 10, Fitness_tra: 0
Rule 66: 724b3f7472, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 67: 27112ab421, Class:  1, CF:0.999942, Len: 10, Fitness_tra: 0
Rule 68: 24141dbb44, Class:  1, CF:0.836698, Len: 10, Fitness_tra: 0
Rule 69: 722b2eb42b, Class:  1, CF:0.860031, Len: 10, Fitness_tra: 0
Rule 70: 42272f1424, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 71: 727b111421, Class:  1, CF:0.944988, Len: 10, Fitness_tra: 0
Rule 72: bb141e11bb, Class:  0, CF:0.19184, Len: 10, Fitness_tra: 0
Rule 73: 2874812711, Class:  1, CF:0.718555, Len: 10, Fitness_tra: 0
Rule 74: 1442211b41, Class:  1, CF:0.476516, Len: 10, Fitness_tra: 0
Rule 75: 42b1232421, Class:  1, CF:0.979878, Len: 10, Fitness_tra: 0
Rule 76: 2b4713b241, Class:  1, CF:0.977333, Len: 10, Fitness_tra: 0
Rule 77: 47bb2d7272, Class:  1, CF:0.977804, Len: 10, Fitness_tra: 0
Rule 78: 7cb41e2221, Class:  1, CF:0.408002, Len: 10, Fitness_tra: 0
Rule 79: 71478ab127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 4421c3b214, Class:  1, CF:0.335469, Len: 10, Fitness_tra: 0
Rule 82: 712b151147, Class:  1, CF:0.693252, Len: 10, Fitness_tra: 0
Rule 83: b5222e2111, Class:  1, CF:0.995134, Len: 10, Fitness_tra: 0
Rule 84: 18b11d27bb, Class:  1, CF:0.819028, Len: 10, Fitness_tra: 0
Rule 85: bc4286bb21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 114b1117b2, Class:  1, CF:0.665188, Len: 10, Fitness_tra: 0
Rule 87: bf119141bb, Class:  0, CF:0.980597, Len: 10, Fitness_tra: 0
Rule 88: 1311511247, Class:  1, CF:0.984261, Len: 10, Fitness_tra: 0
Rule 89: 4147232741, Class:  1, CF:0.968018, Len: 10, Fitness_tra: 0
Rule 90: 197bc5bbb4, Class:  0, CF:0.513397, Len: 10, Fitness_tra: 0
Rule 91: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: b2b211b217, Class:  1, CF:0.904857, Len: 10, Fitness_tra: 0
Rule 93: 1d724e7b1b, Class:  1, CF:0.0940478, Len: 10, Fitness_tra: 0
Rule 94: 247156117b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 124181bbb2, Class:  1, CF:0.436536, Len: 10, Fitness_tra: 0
Rule 96: 2742232411, Class:  1, CF:0.955476, Len: 10, Fitness_tra: 0
Rule 97: b22111222b, Class:  1, CF:0.996641, Len: 10, Fitness_tra: 0
Rule 98: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 214b167124, Class:  1, CF:0.998852, Len: 10, Fitness_tra: 0
Rule100: 2212c3b17b, Class:  1, CF:0.300613, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:15.4924
------Result------
Miss_rate(tra)	:15.4924
Miss_rate(tst)	:16.819
ARL				:9.775

------Generation 0------
Rule  1: 0000400000, Class:  0, CF:0.178802, Len:  1, Fitness_tra: 4001
Rule  2: 444116172b, Class:  1, CF:0.998248, Len: 10, Fitness_tra: 0
Rule  3: 714116b114, Class:  1, CF:0.998698, Len: 10, Fitness_tra: 0
Rule  4: 7771ca1472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b222c91274, Class:  1, CF:0.35924, Len: 10, Fitness_tra: 0
Rule  6: b427211b27, Class:  1, CF:0.878691, Len: 10, Fitness_tra: 0
Rule  7: 481121b127, Class:  1, CF:0.866862, Len: 10, Fitness_tra: 0
Rule  8: 77b2c17171, Class:  1, CF:0.448424, Len: 10, Fitness_tra: 0
Rule  9: 41bb111b14, Class:  1, CF:0.754984, Len: 10, Fitness_tra: 0
Rule 10: b72bd61417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1d112e7b77, Class:  1, CF:0.336466, Len: 10, Fitness_tra: 0
Rule 12: 2bb2122b7b, Class:  1, CF:0.906721, Len: 10, Fitness_tra: 0
Rule 13: 4714d3b2bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24141a211b, Class:  1, CF:0.990557, Len: 10, Fitness_tra: 0
Rule 15: bb47517247, Class:  1, CF:0.99647, Len: 10, Fitness_tra: 0
Rule 16: b71b51427b, Class:  1, CF:0.917616, Len: 10, Fitness_tra: 0
