------Generation 0------
Rule  1: b4bb51b447, Class:  1, CF:0.955414, Len: 10, Fitness_tra: 0
Rule  2: 1b74597477, Class:  1, CF:0.913562, Len: 10, Fitness_tra: 0
Rule  3: 73275d7211, Class:  1, CF:0.964625, Len: 10, Fitness_tra: 0
Rule  4: 44771f1b4b, Class:  1, CF:0.999934, Len: 10, Fitness_tra: 0
Rule  5: bc2b864411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: b4b48141bb, Class:  1, CF:0.506951, Len: 10, Fitness_tra: 0
Rule  7: 4277891741, Class:  1, CF:0.691551, Len: 10, Fitness_tra: 0
Rule  8: b471231772, Class:  1, CF:0.983307, Len: 10, Fitness_tra: 0
Rule  9: 412113b414, Class:  1, CF:0.995957, Len: 10, Fitness_tra: 0
Rule 10: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b271ce712b, Class:  0, CF:0.999958, Len: 10, Fitness_tra: 0
Rule 12: 2244197b17, Class:  1, CF:0.074325, Len: 10, Fitness_tra: 0
Rule 13: 4141514b17, Class:  1, CF:0.933184, Len: 10, Fitness_tra: 0
Rule 14: 7177214772, Class:  1, CF:0.906772, Len: 10, Fitness_tra: 0
Rule 15: 7b7481477b, Class:  1, CF:0.981573, Len: 10, Fitness_tra: 0
Rule 16: 7141c144b1, Class:  1, CF:0.861491, Len: 10, Fitness_tra: 0
Rule 17: 4442117b4b, Class:  1, CF:0.927692, Len: 10, Fitness_tra: 0
Rule 18: 2141d37744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7277512b17, Class:  1, CF:0.800166, Len: 10, Fitness_tra: 0
Rule 20: 71b1811111, Class:  1, CF:0.84794, Len: 10, Fitness_tra: 0
Rule 21: 411bc94224, Class:  1, CF:0.875837, Len: 10, Fitness_tra: 0
Rule 22: b114dd4b11, Class:  1, CF:0.832501, Len: 10, Fitness_tra: 0
Rule 23: 0000800000, Class:  1, CF:0.385372, Len:  1, Fitness_tra: -234
Rule 24: b477111211, Class:  1, CF:0.838621, Len: 10, Fitness_tra: 0
Rule 25: 2417864247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4c27891417, Class:  0, CF:0.107317, Len: 10, Fitness_tra: 0
Rule 27: 12111e1272, Class:  1, CF:0.427648, Len: 10, Fitness_tra: 0
Rule 28: 72112141b4, Class:  1, CF:0.807016, Len: 10, Fitness_tra: 0
