------Generation 0------
Rule  1: 12b12f7141, Class:  1, CF:0.999404, Len: 10, Fitness_tra: 5
Rule  2: 7b7253b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2221e7bbb, Class:  1, CF:0.040864, Len: 10, Fitness_tra: 0
Rule  4: 722283b421, Class:  1, CF:0.210191, Len: 10, Fitness_tra: 0
Rule  5: b1772612b2, Class:  1, CF:0.996327, Len: 10, Fitness_tra: 0
Rule  6: 41741f1217, Class:  1, CF:0.999793, Len: 10, Fitness_tra: 0
Rule  7: 0000090000, Class:  1, CF:0.132383, Len:  1, Fitness_tra: -3015
Rule  8: 447229127b, Class:  1, CF:0.604475, Len: 10, Fitness_tra: 0
Rule  9: 4121c9bbbb, Class:  0, CF:0.998771, Len: 10, Fitness_tra: 0
Rule 10: b117132124, Class:  1, CF:0.975614, Len: 10, Fitness_tra: -2
Rule 11: 11b1511247, Class:  1, CF:0.983841, Len: 10, Fitness_tra: 1
Rule 12: 744b21b4b4, Class:  1, CF:0.899072, Len: 10, Fitness_tra: 0
Rule 13: b141c12222, Class:  1, CF:0.992991, Len: 10, Fitness_tra: 0
Rule 14: 781bc91122, Class:  0, CF:0.998399, Len: 10, Fitness_tra: 0
Rule 15: b7111142b7, Class:  1, CF:0.970482, Len: 10, Fitness_tra: -7
Rule 16: bb741622b1, Class:  1, CF:0.997493, Len: 10, Fitness_tra: 0
Rule 17: 1211b9717b, Class:  0, CF:0.919968, Len: 10, Fitness_tra: 0
Rule 18: 77b45a1b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 444286b722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2242414477, Class:  1, CF:0.934864, Len: 10, Fitness_tra: 0
Rule 21: bc71c17774, Class:  1, CF:0.652842, Len: 10, Fitness_tra: -1
Rule 22: 2142517277, Class:  1, CF:0.976844, Len: 10, Fitness_tra: 0
Rule 23: 41148f217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 417bc674b7, Class:  0, CF:0.054959, Len: 10, Fitness_tra: 0
Rule 25: 2b44117777, Class:  1, CF:0.980522, Len: 10, Fitness_tra: 0
Rule 26: bbb7514412, Class:  1, CF:0.990028, Len: 10, Fitness_tra: 0
Rule 27: 4b71332147, Class:  1, CF:0.994742, Len: 10, Fitness_tra: 0
Rule 28: 2241bd7b24, Class:  1, CF:0.976914, Len: 10, Fitness_tra: 0
Rule 29: 2777c6b71b, Class:  1, CF:0.0290956, Len: 10, Fitness_tra: 0
Rule 30: 1b441a4114, Class:  1, CF:0.992993, Len: 10, Fitness_tra: -2
Rule 31: 1bbb564177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 44b259422b, Class:  1, CF:0.962643, Len: 10, Fitness_tra: 0
Rule 33: 44148d1742, Class:  1, CF:0.471266, Len: 10, Fitness_tra: 1
Rule 34: 24b7c12bb1, Class:  0, CF:0.263091, Len: 10, Fitness_tra: -1
Rule 35: b111b52411, Class:  1, CF:0.53132, Len: 10, Fitness_tra: -643
Rule 36: 12bbd67442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 7b748974bb, Class:  1, CF:0.951034, Len: 10, Fitness_tra: 0
Rule 38: 2222864477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1422c141b4, Class:  1, CF:0.00279693, Len: 10, Fitness_tra: 0
Rule 40: 2277811272, Class:  1, CF:0.821923, Len: 10, Fitness_tra: 0
Rule 41: b14bd12714, Class:  1, CF:0.896873, Len: 10, Fitness_tra: 0
Rule 42: 21771a712b, Class:  1, CF:0.999677, Len: 10, Fitness_tra: 1
Rule 43: 72b72f71b4, Class:  1, CF:0.999902, Len: 10, Fitness_tra: 0
Rule 44: 25b7411b14, Class:  1, CF:0.472491, Len: 10, Fitness_tra: -173
Rule 45: 224b1f4421, Class:  1, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 46: b1212f2211, Class:  1, CF:0.999784, Len: 10, Fitness_tra: 0
Rule 47: b12415b744, Class:  1, CF:0.906848, Len: 10, Fitness_tra: 0
Rule 48: bb11112b2b, Class:  1, CF:0.965218, Len: 10, Fitness_tra: 0
Rule 49: 11471fbb7b, Class:  1, CF:0.999931, Len: 10, Fitness_tra: 0
Rule 50: 4e2721122c, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 51: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 4b2bd91bbb, Class:  0, CF:0.998531, Len: 10, Fitness_tra: 0
Rule 53: 2c2413214b, Class:  1, CF:0.993553, Len: 10, Fitness_tra: 0
Rule 54: 7f2145177c, Class:  1, CF:  1, Len: 10, Fitness_tra: 1
Rule 55: 4271ceb472, Class:  1, CF:0.79402, Len: 10, Fitness_tra: 0
Rule 56: 4cb4d31777, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: bc7111772b, Class:  1, CF:0.982841, Len: 10, Fitness_tra: 5
Rule 58: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: b4b18f21b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 21174eb772, Class:  1, CF:0.533758, Len: 10, Fitness_tra: 0
Rule 61: 417111771b, Class:  1, CF:0.98215, Len: 10, Fitness_tra: -95
Rule 62: b7224ab17b, Class:  1, CF:0.999878, Len: 10, Fitness_tra: 0
Rule 63: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7512812412, Class:  1, CF:0.797204, Len: 10, Fitness_tra: 0
Rule 65: 7171537b1b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 71228e2b14, Class:  1, CF:0.344329, Len: 10, Fitness_tra: 0
Rule 67: 21744e7771, Class:  1, CF:0.727825, Len: 10, Fitness_tra: 0
Rule 68: bb4253214b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1d11294bb4, Class:  1, CF:0.395321, Len: 10, Fitness_tra: 0
Rule 70: 27175f7717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: b42181244b, Class:  1, CF:0.973497, Len: 10, Fitness_tra: 0
Rule 72: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 27b7252274, Class:  1, CF:0.96972, Len: 10, Fitness_tra: 0
Rule 74: 2d4721b741, Class:  1, CF:0.91877, Len: 10, Fitness_tra: 0
Rule 75: b2221647b2, Class:  1, CF:0.999915, Len: 10, Fitness_tra: 1
Rule 76: b1b2112777, Class:  1, CF:0.960525, Len: 10, Fitness_tra: 0
Rule 77: 114786bb72, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 77428e4114, Class:  1, CF:0.685695, Len: 10, Fitness_tra: 0
Rule 79: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: b227212bb7, Class:  1, CF:0.872346, Len: 10, Fitness_tra: 0
Rule 82: 2471452717, Class:  1, CF:0.873199, Len: 10, Fitness_tra: 0
Rule 83: 2274134144, Class:  1, CF:0.995827, Len: 10, Fitness_tra: 0
Rule 84: 1774511474, Class:  1, CF:0.823474, Len: 10, Fitness_tra: 0
Rule 85: 12b4831772, Class:  0, CF:0.641112, Len: 10, Fitness_tra: -1
Rule 86: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 241bce7771, Class:  0, CF:0.913926, Len: 10, Fitness_tra: 0
Rule 88: 1114217722, Class:  1, CF:0.643464, Len: 10, Fitness_tra: 12
Rule 89: 11b2714bb2, Class:  1, CF:0.777367, Len: 10, Fitness_tra: 0
Rule 90: 2114861422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1271114222, Class:  1, CF:0.996146, Len: 10, Fitness_tra: 4
Rule 93: b3b1254227, Class:  1, CF:0.999733, Len: 10, Fitness_tra: 0
Rule 94: 2b425171bb, Class:  1, CF:0.960764, Len: 10, Fitness_tra: 0
Rule 95: 77421ab1b7, Class:  1, CF:0.999371, Len: 10, Fitness_tra: 0
Rule 96: bc74c9421b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 97: 2117832127, Class:  0, CF:0.0288796, Len: 10, Fitness_tra: 0
Rule 98: 724b81227b, Class:  1, CF:0.850913, Len: 10, Fitness_tra: 0
Rule 99: 71bb217727, Class:  1, CF:0.934758, Len: 10, Fitness_tra: 0
Rule100: b4bb51b2b1, Class:  1, CF:0.874615, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:90.1726
------Result------
Miss_rate(tra)	:90.1726
Miss_rate(tst)	:90.4936
ARL				:9.88462

------Generation 0------
Rule  1: 1114217722, Class:  1, CF:0.643464, Len: 10, Fitness_tra: 0
Rule  2: 12b12f7141, Class:  1, CF:0.999404, Len: 10, Fitness_tra: 2
Rule  3: bc7111772b, Class:  1, CF:0.982841, Len: 10, Fitness_tra: -73
Rule  4: 1271114222, Class:  1, CF:0.996146, Len: 10, Fitness_tra: -133
Rule  5: 44148d1742, Class:  1, CF:0.471266, Len: 10, Fitness_tra: -29
Rule  6: 21771a712b, Class:  1, CF:0.999677, Len: 10, Fitness_tra: 0
Rule  7: 4e2721122c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: 7f2145177c, Class:  1, CF:  1, Len: 10, Fitness_tra: 2
Rule  9: 11b1511247, Class:  1, CF:0.983841, Len: 10, Fitness_tra: -125
Rule 10: b2221647b2, Class:  1, CF:0.999915, Len: 10, Fitness_tra: 0
Rule 11: b2221e7bbb, Class:  1, CF:0.040864, Len: 10, Fitness_tra: 0
Rule 12: 744b21b4b4, Class:  1, CF:0.899072, Len: 10, Fitness_tra: 0
Rule 13: b141c12222, Class:  1, CF:0.992991, Len: 10, Fitness_tra: 0
Rule 14: 781bc91122, Class:  0, CF:0.998399, Len: 10, Fitness_tra: 4
Rule 15: b4bb51b2b1, Class:  1, CF:0.874615, Len: 10, Fitness_tra: 0
Rule 16: bb741622b1, Class:  1, CF:0.997493, Len: 10, Fitness_tra: 0
Rule 17: 1211b9717b, Class:  0, CF:0.919968, Len: 10, Fitness_tra: 2929
Rule 18: 77b45a1b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 444286b722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2242414477, Class:  1, CF:0.934864, Len: 10, Fitness_tra: 0
Rule 21: 71bb217727, Class:  1, CF:0.934758, Len: 10, Fitness_tra: 0
Rule 22: 2142517277, Class:  1, CF:0.976844, Len: 10, Fitness_tra: 0
Rule 23: 41148f217b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 417bc674b7, Class:  0, CF:0.054959, Len: 10, Fitness_tra: 0
Rule 25: 2b44117777, Class:  1, CF:0.980522, Len: 10, Fitness_tra: 0
Rule 26: bbb7514412, Class:  1, CF:0.990028, Len: 10, Fitness_tra: 0
Rule 27: 4b71332147, Class:  1, CF:0.994742, Len: 10, Fitness_tra: 0
Rule 28: 2241bd7b24, Class:  1, CF:0.976914, Len: 10, Fitness_tra: 0
Rule 29: 2777c6b71b, Class:  1, CF:0.0290956, Len: 10, Fitness_tra: 0
Rule 30: 1bbb564177, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 44b259422b, Class:  1, CF:0.962643, Len: 10, Fitness_tra: 0
Rule 32: b1772612b2, Class:  1, CF:0.996327, Len: 10, Fitness_tra: 0
Rule 33: 12bbd67442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 7b748974bb, Class:  1, CF:0.951034, Len: 10, Fitness_tra: 0
Rule 35: 2222864477, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1422c141b4, Class:  1, CF:0.00279693, Len: 10, Fitness_tra: 0
Rule 37: 2277811272, Class:  1, CF:0.821923, Len: 10, Fitness_tra: 0
Rule 38: b14bd12714, Class:  1, CF:0.896873, Len: 10, Fitness_tra: 0
Rule 39: 41741f1217, Class:  1, CF:0.999793, Len: 10, Fitness_tra: 0
Rule 40: 72b72f71b4, Class:  1, CF:0.999902, Len: 10, Fitness_tra: 0
Rule 41: 224b1f4421, Class:  1, CF:0.999981, Len: 10, Fitness_tra: 0
Rule 42: b1212f2211, Class:  1, CF:0.999784, Len: 10, Fitness_tra: 0
Rule 43: b12415b744, Class:  1, CF:0.906848, Len: 10, Fitness_tra: 0
Rule 44: bb11112b2b, Class:  1, CF:0.965218, Len: 10, Fitness_tra: -545
Rule 45: 11471fbb7b, Class:  1, CF:0.999931, Len: 10, Fitness_tra: 0
Rule 46: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
