------Generation 0------
Rule  1: 222b161171, Class:  1, CF:0.995944, Len: 10, Fitness_tra: -6
Rule  2: bb741314bb, Class:  1, CF:0.997021, Len: 10, Fitness_tra: 0
Rule  3: 1277232711, Class:  1, CF:0.972255, Len: 10, Fitness_tra: 7
Rule  4: 11bb3f2742, Class:  1, CF:0.998955, Len: 10, Fitness_tra: 0
Rule  5: 7212d174b7, Class:  1, CF:0.85886, Len: 10, Fitness_tra: 0
Rule  6: 11b4f141b7, Class:  1, CF:0.889582, Len: 10, Fitness_tra: 1
Rule  7: 1b71114772, Class:  1, CF:0.974736, Len: 10, Fitness_tra: 0
Rule  8: 214113b4b4, Class:  1, CF:0.996843, Len: 10, Fitness_tra: 2
Rule  9: 71bbce4727, Class:  1, CF:0.82933, Len: 10, Fitness_tra: 0
Rule 10: 4112511421, Class:  1, CF:0.832109, Len: 10, Fitness_tra: -5
Rule 11: 74b2534714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 12b24e7b1b, Class:  1, CF:0.314791, Len: 10, Fitness_tra: 1
Rule 13: 1714567b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: b24723411b, Class:  1, CF:0.972364, Len: 10, Fitness_tra: 0
Rule 15: 72b4217447, Class:  1, CF:0.921203, Len: 10, Fitness_tra: 0
Rule 16: 4b14167b14, Class:  1, CF:0.999008, Len: 10, Fitness_tra: 0
Rule 17: be71214412, Class:  1, CF:0.995679, Len: 10, Fitness_tra: 0
Rule 18: 4177c31b72, Class:  0, CF:0.977866, Len: 10, Fitness_tra: 0
Rule 19: 187b8ebbb4, Class:  1, CF:0.402287, Len: 10, Fitness_tra: 0
Rule 20: b71113b277, Class:  1, CF:0.993629, Len: 10, Fitness_tra: 4
Rule 21: 1242c11b17, Class:  0, CF:0.102381, Len: 10, Fitness_tra: 0
Rule 22: 712b131474, Class:  1, CF:0.996098, Len: 10, Fitness_tra: 0
Rule 23: 1224831471, Class:  0, CF:0.553134, Len: 10, Fitness_tra: 0
Rule 24: 42b42a21b2, Class:  1, CF:0.999318, Len: 10, Fitness_tra: 0
Rule 25: 447129b127, Class:  1, CF:0.97442, Len: 10, Fitness_tra: 0
Rule 26: bb7b837441, Class:  0, CF:0.78375, Len: 10, Fitness_tra: 0
Rule 27: b42b234172, Class:  1, CF:0.975119, Len: 10, Fitness_tra: 0
Rule 28: 0000080004, Class:  0, CF:0.40241, Len:  2, Fitness_tra: 3802
Rule 29: 1242134222, Class:  1, CF:0.99907, Len: 10, Fitness_tra: 0
Rule 30: b14b8912b7, Class:  1, CF:0.313116, Len: 10, Fitness_tra: 0
Rule 31: bf7115714b, Class:  1, CF:0.906899, Len: 10, Fitness_tra: 0
Rule 32: 1bbb59b142, Class:  1, CF:0.823576, Len: 10, Fitness_tra: 48
Rule 33: 4d1b594747, Class:  1, CF:0.626487, Len: 10, Fitness_tra: 0
Rule 34: 7772117417, Class:  1, CF:0.939381, Len: 10, Fitness_tra: 0
Rule 35: b14bca1711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
