------Generation 0------
Rule  1: bb718a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: b927811471, Class:  1, CF:0.758054, Len: 10, Fitness_tra: 0
Rule  3: 4117264414, Class:  1, CF:0.994939, Len: 10, Fitness_tra: 0
Rule  4: 747156b112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 2871197222, Class:  0, CF:0.763214, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b17b16b141, Class:  1, CF:0.99403, Len: 10, Fitness_tra: 0
Rule  8: 24b28eb122, Class:  1, CF:0.853046, Len: 10, Fitness_tra: 0
Rule  9: 2db4734471, Class:  1, CF:0.977112, Len: 10, Fitness_tra: 0
Rule 10: 117b511721, Class:  1, CF:0.584313, Len: 10, Fitness_tra: 0
Rule 11: 000000000b, Class:  0, CF:0.46076, Len:  1, Fitness_tra: 4000
Rule 12: 421bc5742b, Class:  1, CF:0.131697, Len: 10, Fitness_tra: 0
Rule 13: 74423f17b2, Class:  1, CF:0.999988, Len: 10, Fitness_tra: 0
Rule 14: 411bf622b4, Class:  1, CF:0.997901, Len: 10, Fitness_tra: 0
Rule 15: b1b4192712, Class:  1, CF:0.794645, Len: 10, Fitness_tra: 0
Rule 16: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2122214114, Class:  1, CF:0.751939, Len: 10, Fitness_tra: 1
Rule 18: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: bdb74eb142, Class:  0, CF:0.550146, Len: 10, Fitness_tra: 0
Rule 20: 211b2e2142, Class:  1, CF:0.636052, Len: 10, Fitness_tra: 0
Rule 21: 71bb867174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b24241b271, Class:  1, CF:0.837801, Len: 10, Fitness_tra: 0
Rule 24: b114854271, Class:  1, CF:0.848804, Len: 10, Fitness_tra: 0
Rule 25: 1422611112, Class:  1, CF:0.00422136, Len: 10, Fitness_tra: -2
Rule 26: 1741c67742, Class:  0, CF:0.136008, Len: 10, Fitness_tra: 0
Rule 27: 744b1e4421, Class:  1, CF:0.879826, Len: 10, Fitness_tra: 0
Rule 28: 41718e24b7, Class:  1, CF:0.973552, Len: 10, Fitness_tra: 0
Rule 29: 412221172b, Class:  1, CF:0.877092, Len: 10, Fitness_tra: 0
Rule 30: 244b1eb2b1, Class:  1, CF:0.462451, Len: 10, Fitness_tra: 0
Rule 31: 47118a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: b2b15317b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b1242524b2, Class:  1, CF:0.73895, Len: 10, Fitness_tra: 0
Rule 34: 774bc124b4, Class:  1, CF:0.777998, Len: 10, Fitness_tra: 0
Rule 35: 4177217b2b, Class:  1, CF:0.816788, Len: 10, Fitness_tra: 0
Rule 36: 25241e1224, Class:  0, CF:0.89593, Len: 10, Fitness_tra: 0
Rule 37: 192781221c, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
