------Generation 0------
Rule  1: b221cd471b, Class:  1, CF:0.834688, Len: 10, Fitness_tra: 0
Rule  2: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: b2211f7774, Class:  1, CF:0.999999, Len: 10, Fitness_tra: 2
Rule  5: 1241412114, Class:  1, CF:0.775632, Len: 10, Fitness_tra: -181
Rule  6: 4c1bc1b272, Class:  1, CF:0.448492, Len: 10, Fitness_tra: 0
Rule  7: b7b7292414, Class:  1, CF:0.917584, Len: 10, Fitness_tra: 0
Rule  8: 74b22ab1b2, Class:  1, CF:0.999534, Len: 10, Fitness_tra: 0
Rule  9: 11b19314b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 777b514b41, Class:  1, CF:0.70012, Len: 10, Fitness_tra: 0
Rule 11: b57419421b, Class:  1, CF:0.372977, Len: 10, Fitness_tra: 0
Rule 12: 4b221324b1, Class:  1, CF:0.978723, Len: 10, Fitness_tra: 0
Rule 13: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000c0000, Class:  1, CF:0.0595609, Len:  1, Fitness_tra: -1626
Rule 15: 7c171e24b2, Class:  0, CF:0.286764, Len: 10, Fitness_tra: 0
Rule 16: 22212e2472, Class:  1, CF:0.979699, Len: 10, Fitness_tra: 0
Rule 17: 72745172b7, Class:  1, CF:0.921649, Len: 10, Fitness_tra: 0
Rule 18: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 18b4164742, Class:  1, CF:0.998103, Len: 10, Fitness_tra: 0
Rule 20: 71bb517b22, Class:  1, CF:0.794461, Len: 10, Fitness_tra: 0
Rule 21: 7124d6bb74, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 22b2d1bb44, Class:  1, CF:0.831209, Len: 10, Fitness_tra: 0
Rule 23: bb72217742, Class:  1, CF:0.974404, Len: 10, Fitness_tra: 0
Rule 24: 4544161b47, Class:  1, CF:0.9997, Len: 10, Fitness_tra: 0
Rule 25: 74172ab442, Class:  1, CF:0.999858, Len: 10, Fitness_tra: 0
Rule 26: 78242e2422, Class:  1, CF:0.390192, Len: 10, Fitness_tra: 0
Rule 27: 42141a4b2b, Class:  1, CF:0.999506, Len: 10, Fitness_tra: 0
Rule 28: 7bb4137772, Class:  1, CF:0.991358, Len: 10, Fitness_tra: 0
Rule 29: 21b181727b, Class:  1, CF:0.983466, Len: 10, Fitness_tra: 0
Rule 30: 1d1215bbb1, Class:  1, CF:0.651673, Len: 10, Fitness_tra: 10
Rule 31: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4a21d57272, Class:  1, CF:0.999129, Len: 10, Fitness_tra: 0
Rule 33: 114bc97441, Class:  1, CF:0.178229, Len: 10, Fitness_tra: 24
Rule 34: 74bbce71b1, Class:  0, CF:0.98506, Len: 10, Fitness_tra: 0
Rule 35: 17b2231224, Class:  1, CF:0.901788, Len: 10, Fitness_tra: 0
Rule 36: 74b1212b77, Class:  1, CF:0.906506, Len: 10, Fitness_tra: 0
Rule 37: 7117ce1111, Class:  0, CF:0.92855, Len: 10, Fitness_tra: 1973
Rule 38: 47222172b4, Class:  1, CF:0.904823, Len: 10, Fitness_tra: 0
Rule 39: 7417c122b7, Class:  1, CF:0.414151, Len: 10, Fitness_tra: 0
Rule 40: 2b7b51b72b, Class:  1, CF:0.992386, Len: 10, Fitness_tra: 0
Rule 41: 7cb42e2711, Class:  1, CF:0.545246, Len: 10, Fitness_tra: 1
Rule 42: 4747212741, Class:  1, CF:0.865976, Len: 10, Fitness_tra: 0
Rule 43: 11272fb77b, Class:  1, CF:0.999849, Len: 10, Fitness_tra: 0
Rule 44: 71b1892772, Class:  1, CF:0.983071, Len: 10, Fitness_tra: 0
Rule 45: 24215a1714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 41441e7717, Class:  1, CF:0.496721, Len: 10, Fitness_tra: 0
Rule 47: b1472a4b12, Class:  1, CF:0.999826, Len: 10, Fitness_tra: 0
Rule 48: 252b8e7724, Class:  1, CF:0.820862, Len: 10, Fitness_tra: 0
Rule 49: b274c32174, Class:  0, CF:0.308383, Len: 10, Fitness_tra: 0
Rule 50: 7b4b13b112, Class:  1, CF:0.950925, Len: 10, Fitness_tra: 0
Rule 51: b171462772, Class:  1, CF:0.999837, Len: 10, Fitness_tra: 0
Rule 52: 2b2b8e4421, Class:  1, CF:0.994137, Len: 10, Fitness_tra: 0
Rule 53: 4212462bbb, Class:  1, CF:0.999324, Len: 10, Fitness_tra: 0
Rule 54: 212b494712, Class:  1, CF:0.789675, Len: 10, Fitness_tra: 0
Rule 55: 4121c5474b, Class:  1, CF:0.944915, Len: 10, Fitness_tra: 0
Rule 56: 122b71b4b7, Class:  1, CF:0.717708, Len: 10, Fitness_tra: 0
Rule 57: b47bc3bb21, Class:  0, CF:0.613442, Len: 10, Fitness_tra: 0
Rule 58: 2211411472, Class:  1, CF:0.919112, Len: 10, Fitness_tra: -261
Rule 59: 4511452244, Class:  1, CF:0.778084, Len: 10, Fitness_tra: 0
Rule 60: b14b86744b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 271281bb72, Class:  1, CF:0.556697, Len: 10, Fitness_tra: 0
Rule 62: 2141891742, Class:  1, CF:0.994708, Len: 10, Fitness_tra: -2
Rule 63: 7b27162774, Class:  1, CF:0.999354, Len: 10, Fitness_tra: 0
Rule 64: 47b1891744, Class:  1, CF:0.995118, Len: 10, Fitness_tra: -27
Rule 65: 2411162471, Class:  1, CF:0.999515, Len: 10, Fitness_tra: 8
Rule 66: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 71421eb1b4, Class:  0, CF:0.0748359, Len: 10, Fitness_tra: 0
Rule 68: 212743b442, Class:  1, CF:0.989215, Len: 10, Fitness_tra: 0
Rule 69: be14c5b411, Class:  1, CF:0.840934, Len: 10, Fitness_tra: 0
Rule 70: 174b3f4b1b, Class:  1, CF:0.99896, Len: 10, Fitness_tra: 0
Rule 71: b812134b21, Class:  1, CF:0.982166, Len: 10, Fitness_tra: 0
Rule 72: b477117bb2, Class:  1, CF:0.924073, Len: 10, Fitness_tra: 0
Rule 73: 182b4e72b1, Class:  1, CF:0.645412, Len: 10, Fitness_tra: 7
Rule 74: b127531b77, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 7222d11271, Class:  1, CF:0.909461, Len: 10, Fitness_tra: 0
Rule 76: 2b2b11b27b, Class:  1, CF:0.978889, Len: 10, Fitness_tra: 0
Rule 77: b11253b271, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 4b1b25274b, Class:  1, CF:0.835856, Len: 10, Fitness_tra: 0
Rule 79: 12b1c52447, Class:  1, CF:0.741062, Len: 10, Fitness_tra: 0
Rule 80: 7c1bd34b42, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 7221234171, Class:  1, CF:0.984864, Len: 10, Fitness_tra: 0
Rule 82: 1442cf277b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 222bca7bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: b2bb757421, Class:  1, CF:0.727365, Len: 10, Fitness_tra: 0
Rule 85: b241d3472b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 21119611b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 2714c34474, Class:  0, CF:0.127219, Len: 10, Fitness_tra: 0
Rule 88: 11b156b7b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 74772117b1, Class:  1, CF:0.784355, Len: 10, Fitness_tra: 1
Rule 90: 24418a7447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 127451bb77, Class:  1, CF:0.877998, Len: 10, Fitness_tra: 0
Rule 92: 4411c941b7, Class:  0, CF:0.765238, Len: 10, Fitness_tra: 0
Rule 93: 742713117b, Class:  1, CF:0.970907, Len: 10, Fitness_tra: -3
Rule 94: 14112a7122, Class:  1, CF:0.997993, Len: 10, Fitness_tra: 0
Rule 95: 14bb517127, Class:  1, CF:0.637775, Len: 10, Fitness_tra: 0
Rule 96: 741719212b, Class:  0, CF:0.122602, Len: 10, Fitness_tra: 10
Rule 97: 2221237222, Class:  1, CF:0.999723, Len: 10, Fitness_tra: 1
Rule 98: 1414c6b2b2, Class:  1, CF:0.519236, Len: 10, Fitness_tra: 0
Rule 99: 4b17852417, Class:  1, CF:0.879635, Len: 10, Fitness_tra: 0
