------Generation 0------
Rule  1: b217152b41, Class:  1, CF:0.978746, Len: 10, Fitness_tra: 0
Rule  2: 721125b222, Class:  1, CF:0.986742, Len: 10, Fitness_tra: 1
Rule  3: 7172cfb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172c17714, Class:  1, CF:0.64285, Len: 10, Fitness_tra: 0
Rule  5: b77261bbb7, Class:  1, CF:0.987194, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7bbb562441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112834411, Class:  1, CF:0.440762, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 24128342b4, Class:  0, CF:0.758511, Len: 10, Fitness_tra: 0
Rule 11: 7711ce7742, Class:  1, CF:0.978293, Len: 10, Fitness_tra: 0
Rule 12: b711217b2b, Class:  1, CF:0.890622, Len: 10, Fitness_tra: -3
Rule 13: 2177234b4b, Class:  1, CF:0.967811, Len: 10, Fitness_tra: 0
Rule 14: b2b4167b12, Class:  1, CF:0.997521, Len: 10, Fitness_tra: 0
Rule 15: 21b1831111, Class:  1, CF:0.619327, Len: 10, Fitness_tra: 0
Rule 16: 247b46b447, Class:  1, CF:0.999845, Len: 10, Fitness_tra: 0
Rule 17: 1447ce2722, Class:  0, CF:0.292811, Len: 10, Fitness_tra: 0
Rule 18: 4c24c92422, Class:  0, CF:0.671961, Len: 10, Fitness_tra: 0
Rule 19: 43711c7721, Class:  1, CF:0.918403, Len: 10, Fitness_tra: 4
Rule 20: 4e72192722, Class:  1, CF:0.432126, Len: 10, Fitness_tra: 0
Rule 21: 1247112711, Class:  1, CF:0.97429, Len: 10, Fitness_tra: -79
Rule 22: b227231b72, Class:  1, CF:0.993545, Len: 10, Fitness_tra: 2
Rule 23: 27441922bb, Class:  1, CF:0.555122, Len: 10, Fitness_tra: 0
Rule 24: 4771134bb7, Class:  1, CF:0.994384, Len: 10, Fitness_tra: 2
Rule 25: bb44431271, Class:  1, CF:0.973351, Len: 10, Fitness_tra: 0
Rule 26: 1447ca24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1b2b514212, Class:  1, CF:0.946871, Len: 10, Fitness_tra: 0
Rule 28: b5111d4147, Class:  1, CF:0.808455, Len: 10, Fitness_tra: -76
Rule 29: 412b13b722, Class:  1, CF:0.998429, Len: 10, Fitness_tra: 0
Rule 30: 7447232b27, Class:  1, CF:0.970635, Len: 10, Fitness_tra: 0
Rule 31: 2b2b1f4411, Class:  1, CF:0.357138, Len: 10, Fitness_tra: 0
Rule 32: 7442561714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b44bdfb447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b327412b4c, Class:  1, CF:0.959468, Len: 10, Fitness_tra: 0
Rule 35: b241461222, Class:  1, CF:0.999578, Len: 10, Fitness_tra: 1
Rule 36: 1cb11e2147, Class:  0, CF:0.47035, Len: 10, Fitness_tra: 3
Rule 37: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2b2119422b, Class:  1, CF:0.999473, Len: 10, Fitness_tra: 0
Rule 39: 711413b744, Class:  1, CF:0.977859, Len: 10, Fitness_tra: 0
Rule 40: 14111e7242, Class:  1, CF:0.90583, Len: 10, Fitness_tra: -9
Rule 41: b1412ab277, Class:  1, CF:0.999992, Len: 10, Fitness_tra: 0
Rule 42: 7542c37124, Class:  1, CF:0.999863, Len: 10, Fitness_tra: 0
Rule 43: 4422264bb1, Class:  1, CF:0.99969, Len: 10, Fitness_tra: 0
Rule 44: 71b7861b27, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
