------Generation 0------
Rule  1: 14418e7bb7, Class:  1, CF:0.0641991, Len: 10, Fitness_tra: 0
Rule  2: 2441214b11, Class:  1, CF:0.879582, Len: 10, Fitness_tra: 8
Rule  3: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 72411e4412, Class:  1, CF:0.952568, Len: 10, Fitness_tra: 0
Rule  5: 44b7817b74, Class:  1, CF:0.326281, Len: 10, Fitness_tra: 0
Rule  6: 144b234b17, Class:  1, CF:0.950732, Len: 10, Fitness_tra: 0
Rule  7: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 7774c1141b, Class:  1, CF:0.594651, Len: 10, Fitness_tra: -59
Rule 10: 214bc121b7, Class:  1, CF:0.504497, Len: 10, Fitness_tra: 0
Rule 11: 7c74112711, Class:  1, CF:0.972675, Len: 10, Fitness_tra: 0
Rule 12: 24b211b124, Class:  1, CF:0.908328, Len: 10, Fitness_tra: 0
Rule 13: 1bb4137142, Class:  1, CF:0.8908, Len: 10, Fitness_tra: 0
Rule 14: b9218d7b74, Class:  1, CF:0.793329, Len: 10, Fitness_tra: 0
Rule 15: 1abb7944bc, Class:  1, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 422b1a2b77, Class:  1, CF:0.999946, Len: 10, Fitness_tra: 0
Rule 17: 74b7212742, Class:  1, CF:0.884032, Len: 10, Fitness_tra: 0
Rule 18: 711711717b, Class:  1, CF:0.692277, Len: 10, Fitness_tra: -616
Rule 19: b7775a1422, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1d4743444b, Class:  1, CF:0.952043, Len: 10, Fitness_tra: 0
Rule 21: 21bb252222, Class:  1, CF:0.983525, Len: 10, Fitness_tra: 0
Rule 22: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 177b332bb4, Class:  1, CF:0.982904, Len: 10, Fitness_tra: 0
Rule 24: 111413171b, Class:  1, CF:0.570921, Len: 10, Fitness_tra: -133
Rule 25: 2a41291744, Class:  1, CF:0.996305, Len: 10, Fitness_tra: 1
Rule 26: 7427da74b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 24215fb714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 114145b7b2, Class:  1, CF:0.66708, Len: 10, Fitness_tra: 0
Rule 29: 27bb837b71, Class:  1, CF:0.131194, Len: 10, Fitness_tra: 0
Rule 30: 2c445114b2, Class:  0, CF:0.110417, Len: 10, Fitness_tra: 0
Rule 31: 71111347b7, Class:  1, CF:0.982761, Len: 10, Fitness_tra: 0
Rule 32: b474c17111, Class:  1, CF:0.689414, Len: 10, Fitness_tra: -67
Rule 33: 144b13b2b4, Class:  1, CF:0.982136, Len: 10, Fitness_tra: 0
Rule 34: bb71c52b21, Class:  1, CF:0.869078, Len: 10, Fitness_tra: 0
Rule 35: 7c4416bbb1, Class:  1, CF:0.999916, Len: 10, Fitness_tra: 0
Rule 36: 7221c61b72, Class:  0, CF:0.728625, Len: 10, Fitness_tra: 0
Rule 37: b41451b744, Class:  1, CF:0.719834, Len: 10, Fitness_tra: 0
Rule 38: 42772617b4, Class:  1, CF:0.994005, Len: 10, Fitness_tra: 0
Rule 39: b112ff4b22, Class:  1, CF:0.999338, Len: 10, Fitness_tra: 0
Rule 40: 78124d2147, Class:  1, CF:0.461317, Len: 10, Fitness_tra: 0
Rule 41: 2db71db7b1, Class:  1, CF:0.756876, Len: 10, Fitness_tra: 0
Rule 42: 2bb7fa1b2b, Class:  1, CF:0.99997, Len: 10, Fitness_tra: 0
Rule 43: 41b18117b7, Class:  1, CF:0.867461, Len: 10, Fitness_tra: -21
Rule 44: 7212814174, Class:  1, CF:0.664025, Len: 10, Fitness_tra: 0
Rule 45: 47b1492b44, Class:  1, CF:0.974394, Len: 10, Fitness_tra: 0
Rule 46: 222b194141, Class:  1, CF:0.541333, Len: 10, Fitness_tra: 0
Rule 47: 1b1b261147, Class:  1, CF:0.865029, Len: 10, Fitness_tra: 0
Rule 48: 1b175e2147, Class:  1, CF:0.196878, Len: 10, Fitness_tra: 0
Rule 49: 172413bb17, Class:  1, CF:0.968508, Len: 10, Fitness_tra: 0
Rule 50: b4411f14b1, Class:  1, CF:0.999963, Len: 10, Fitness_tra: 5
Rule 51: 741113141b, Class:  1, CF:0.961906, Len: 10, Fitness_tra: 27
Rule 52: b714ce1277, Class:  1, CF:0.513403, Len: 10, Fitness_tra: 0
Rule 53: 7b721a217b, Class:  1, CF:0.999971, Len: 10, Fitness_tra: 0
Rule 54: 1122114177, Class:  1, CF:0.713584, Len: 10, Fitness_tra: 0
Rule 55: 114b81bb21, Class:  1, CF:0.573209, Len: 10, Fitness_tra: 0
Rule 56: 11b12a7221, Class:  1, CF:0.999913, Len: 10, Fitness_tra: 0
Rule 57: 4771c1b212, Class:  1, CF:0.936325, Len: 10, Fitness_tra: 0
Rule 58: bb22531741, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
