------Generation 0------
Rule  1: 000c60c000500, Class:  1, CF:0.178576, Len:  4, Fitness_tra: -4
Rule  2: 0200900000040, Class:  7, CF:0.0904332, Len:  3, Fitness_tra: -44
Rule  3: 1515c536182c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000080d0d53, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: f9bcd852151c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0004000000de0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1aa2511e121c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 171118353511d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11ad5111c52d6, Class:  4, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 0000e0000800c, Class:  7, CF:0.352233, Len:  3, Fitness_tra: 12
Rule 11: 0000005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000c0002, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3312211d15113, Class:  2, CF:0.160255, Len: 13, Fitness_tra: 0
Rule 14: 6aad5d31d5c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 161d11113981e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000000008, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000830030570, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000080e000000, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0002000400e0e, Class:  6, CF:0.878754, Len:  4, Fitness_tra: 2
Rule 23: 000d5000058e0, Class:  6, CF:  1, Len:  5, Fitness_tra: 0
Rule 24: 0009006004000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 22b11311c5915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: f97d525181832, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000400000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3979512125321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0004000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000ec400000cd, Class:  3, CF:0.510168, Len:  5, Fitness_tra: 0
Rule 34: 000c000c80000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: a663152515129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 61125d11ad515, Class:  7, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 00000000900d0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000005040ed0, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 03070f6200539, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000c0e0000e00, Class:  6, CF:0.998381, Len:  3, Fitness_tra: 3
Rule 41: 000080e90000c, Class:  9, CF:0.981218, Len:  4, Fitness_tra: 6
Rule 42: 000d00000e000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
