------Generation 0------
Rule  1: ffa5893d2112a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 216249115e111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 396819e911281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 472c231331215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 28f2233615123, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  6: b411133c82316, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1365921515c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7c111185511d8, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 16f21319d84cf, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b42e121121151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 4c7371d165942, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 28a51569621c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1c75d3e1519d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 19131c151d315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11b9555581118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 6115291311115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 31621119c2153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 42a7936822199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7261354121125, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 20: 36f11a1515223, Class:  1, CF:0.994359, Len: 13, Fitness_tra: -1
Rule 21: 141312e5a5128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f57111a515d17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 317942e111311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: f345588159dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f111328851525, Class:  0, CF:0.995147, Len: 13, Fitness_tra: 0
Rule 26: 331d29e152211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 11212435111d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 28: 6165a1855551d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 214ac111a354c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: f12948196151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b478c5ede8188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 24b8c83511d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 2118299139825, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1162566d11199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 7148d59835311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 742342386512c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1512198911182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: f1b115e939528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 11a1152151811, Class:  1, CF:0.71824, Len: 13, Fitness_tra: 0
Rule 40: b11525939828e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 2cb3721169152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 412153d815191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b221158111211, Class:  1, CF:  1, Len: 13, Fitness_tra: 39
Rule 44: 72b1181111e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
