------Generation 0------
Rule  1: fd71745559ed2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 79115a3511835, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 4312555155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3348118211191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: ae15c16115928, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 551111ee38121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a1115d511811a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 631ce5121e515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 33b1e21511dd1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 35b3818115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 221125151158c, Class:  0, CF:0.996741, Len: 13, Fitness_tra: 0
Rule 13: bcf8912511182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: f31515155d551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 78f291d1c1814, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1164533911533, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111111e31411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 753846e1e5421, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 61a1e81293511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 221151c121515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 21: b1f1291199455, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 7421111139121, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 482e25838d15c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1131211351129, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 3e22251d12151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 71321111d9215, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: f145188511d32, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 28: 2d61df1121591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 121d3211811d1, Class:  0, CF:0.733701, Len: 13, Fitness_tra: 2
Rule 30: 0205000000005, Class:  0, CF:0.595653, Len:  3, Fitness_tra: 71
Rule 31: 19b31535e3511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: a3f545ee38481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: aa1138cd5182e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0009550000500, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 35: 61f515ee82813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11b3729111158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0200000000005, Class:  1, CF:0.136244, Len:  2, Fitness_tra: 92
Rule 38: f3f8311185229, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: bc11255e91211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 126219e6de47d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: a1b5511119151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 12162c1de9ed2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 161e78e96194c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 75354d1f55281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 4cb119d8d15e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1141271869318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1a35912139283, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1eb38c5519972, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 13651313d1211, Class:  0, CF:0.435889, Len: 13, Fitness_tra: -43
Rule 50: 113d9c1153211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 613c35511d911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: f941518113112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 427a741531115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b2b3d311c1531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 216dd531135dc, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 56: 221e88d119151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 3ffd5c1185c23, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 58: 131595392112a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 714112153e311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: af6213e95c216, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: f13d911d11185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: f3b5ee14211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1d38585511581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 2c23721115e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 31199c5151521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b1b3519cd1959, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1211313211115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 68: b539218381511, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 69: 1e11d5d125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 112518931132c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 33b18211a31c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 63b841396558c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 217112d1e1118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: f6a215195d51e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: a13515c113d18, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 76: 000d0050a000d, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule 77: 69712231533d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2445415165128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 1115291e12151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: b1b1451899198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 2cb5595c51391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: f52e811518d95, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: b565d18151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
