------Generation 0------
Rule  1: 312d121161dcc, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 41313d4115821, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 391111d919185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3a311d1988811, Class:  1, CF:  1, Len: 13, Fitness_tra: 22
Rule  5: b8f151d51d811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2475231211135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: b5a1beee98285, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0005000070000, Class:  0, CF:0.98937, Len:  2, Fitness_tra: 327
Rule  9: 131153152c151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 651211e1188d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: f1a15995c1881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4d32511d51925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 16a5d5d151c56, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 15b5d11119125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 19ac31751152d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 7cbce5e411119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2871231d11913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 7122131153111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 6a3155152d259, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 31f1354116d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 21: aeb5d82525185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3e22419369122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2123232815d99, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 13f7df6315813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: f1bce55215135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1e492c3969911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 19616d13ddd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1145112825915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4b2122ed18121, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 30: b2651d1555151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1243591118e39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: f66181352c113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 3313c51111511, Class:  0, CF:0.993379, Len: 13, Fitness_tra: 12
Rule 34: a3b9112151531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b121315819593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
