------Generation 0------
Rule  1: 31f8c13111421, Class:  0, CF:  1, Len: 13, Fitness_tra: 57
Rule  2: 11112131d125a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 242e25c1599dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0900000000006, Class:  0, CF:0.0801812, Len:  2, Fitness_tra: -18
Rule  5: 111cd19321111, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule  6: 7c3181131994d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: a5232ce96d948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1343113135948, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b711181d31118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: f921111d19312, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 11: 48612e3e51153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 28111116d1413, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 13: 3945c1313551c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: aaf1951915d41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000d00008000d, Class:  0, CF:0.18856, Len:  3, Fitness_tra: 69
Rule 16: 41a1115116215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15a243ee12181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111115991e225, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 313d9c1515221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: f3fc861911813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1818b69191483, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 21a1c19151c89, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 71182e131d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: af1bd3e91c153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 13f81e5551113, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: a3758c3d111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 35b1d91211931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b17344dd69e25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 414a279d1e11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 24432c1115652, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 714c115e338c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7221458191391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3af511119c4d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 6e49553189852, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 15f1c11e19243, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: a3232c9155315, Class:  1, CF:0.991013, Len: 13, Fitness_tra: 32
Rule 37: 18a119e651c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 2c4111583d651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 414f773561941, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 112d185111925, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: a941551281315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1eb312d583151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: bda151612c511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 3162c13912213, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: b2ac11138151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0d0000200de3d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 11a149e111111, Class:  0, CF:0.905108, Len: 13, Fitness_tra: 4
Rule 48: 69212295e3352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 41a1251119189, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7d3111d585126, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 116211131d111, Class:  0, CF:0.709426, Len: 13, Fitness_tra: -13
Rule 52: 4c15853111125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b21291d119213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 281d11218ed12, Class:  1, CF:0.999993, Len: 13, Fitness_tra: 15
Rule 55: 44212415ae312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3175159d31542, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 41112d915e429, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3143155211111, Class:  1, CF:  1, Len: 13, Fitness_tra: 30
Rule 59: 45f1113911145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 28118919115cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
