------Generation 0------
Rule  1: 6fa1559988113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 6321413133111, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule  3: 21a4611151121, Class:  1, CF:0.838289, Len: 13, Fitness_tra: 163
Rule  4: 1aa121312155e, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  5: 53a121393cc21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 77714e5193821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 22a8419e31151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 19255181c2191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 7135113613115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 721811d255513, Class:  1, CF:  1, Len: 13, Fitness_tra: 11
Rule 11: 61f51185118cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 31b211d551911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b56b13a521253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 7d11331214199, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: f3f5156192c21, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 16: 15bd256333188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: ae62198155118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: bc6543359cc26, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1c211312c2551, Class:  0, CF:  1, Len: 13, Fitness_tra: 11
Rule 20: 723249e915211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 392d281d11121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 6375229915518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7445c11138d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a32e511853152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 44419d928e161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11311a3128819, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b1b5cd38ed155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: a6f1152d19523, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: faa2311d15211, Class:  1, CF:0.623812, Len: 13, Fitness_tra: 68
Rule 30: 2162911175d3e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 111d221813c1e, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 32: 36f1912196112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
