------Generation 0------
Rule  1: 15f18a6312851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 75f21151de141, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  3: 2114133658811, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule  4: 63a1318151115, Class:  0, CF:0.196776, Len: 13, Fitness_tra: 4
Rule  5: 36a8d31322c15, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 1921851d13341, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  7: 1a1216152c226, Class:  0, CF:0.975816, Len: 13, Fitness_tra: 0
Rule  8: 7231433915215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: b5f57551334d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 22455118153d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4429911881e53, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1841b1999e918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a118e11113551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 12164413e5958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1da15121c9945, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: bcf579e391121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 74b12ee3e1512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 111221e525826, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 21be418dee198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 6e73459519512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 3a18ceee91151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 714c811193815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 69b2111831315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 22f1259e11473, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 0000500000e50, Class:  0, CF:  1, Len:  3, Fitness_tra: 13
Rule 26: 15b955111155c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2c3d451938c59, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 33498525111d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 78a3111d135c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 71292c2525d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 43f2133942111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 7115311285e28, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule 33: 1511111513158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a6a92391ec421, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 0f00000000000, Class:  1, CF:0.0808381, Len:  1, Fitness_tra: -119
Rule 36: 75f111595518c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0000305000000, Class:  1, CF:0.838756, Len:  2, Fitness_tra: 554
Rule 38: 2ca2c5318e71d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a119d9921281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 7162d11575899, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0e0dc00000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 67
Rule 42: 351155dc81135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11f216611c813, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 44: f1434815e9118, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 71b153e281119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1b75c199e3521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 114181d258515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 151d13e155159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 117322353e915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3a18411ed2c81, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 7216211211115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 6e1c1565e981c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 12282d619d51c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 483c352951d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: b128d11111951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 7b12cd3595511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: b818119333181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 1172e15151115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
