------Generation 0------
Rule  1: 1213c4ed6117c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7175181111938, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 7cb1515111231, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3e23111155512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 391d51d955512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: af1b8339118d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1919d5dd15591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: a1223981111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 551111531351d, Class:  0, CF:  1, Len: 13, Fitness_tra: 3
Rule 10: 31112511192d1, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 11: 7131d51123129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 4158c353d9c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f1a58211d3859, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a348151dee888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 28a5211a9eb89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: f9225a15d1226, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 3a3d1dd51d126, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: b441581d15d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 4ca1189312213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2121419113118, Class:  1, CF:0.37242, Len: 13, Fitness_tra: 109
Rule 21: 12783e1883111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 4126129c95511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 222378113ee11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 72f5b9e1182de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 33151895f3148, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1325289331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b741165331c4d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2d12533125211, Class:  0, CF:  1, Len: 13, Fitness_tra: 46
Rule 29: 722381526538d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1c21131812511, Class:  0, CF:0.580508, Len: 13, Fitness_tra: 21
Rule 31: 1131938111182, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 32: a571511555121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 31f11e318188a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: f171821da9315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41f151818d111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
