------Generation 0------
Rule  1: 000000000000d000000a000200000555d00f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000000005e0e0000005006000000000000000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000000050000000d00000000000000000000000000, Class:  0, CF:0.160627, Len:  2, Fitness_tra: -7
Rule  4: 00000000000000500000000000000000000000000000, Class:  0, CF:0.14089, Len:  1, Fitness_tra: -6
Rule  5: 005000600e09000000000000a0a60009500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000000000000005000000000000000000f00f, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule  7: 1111111111331911111e11311111119e115133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 113e3113111313111311111111111131111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 96161191111331111113119511331163191111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000f000600905000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 66399931a11116e31611333e113319315e3111331133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000000000000000000000e00000000, Class:  0, CF:0.114374, Len:  1, Fitness_tra: -2
Rule 13: 951511111111e133139e69113365313e15313131111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule 15: 00000e00e00000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e11315336133339e1e51e115dd111136993911911151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15511111113119111511113111112211111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11159d3331199531139111131963e111151331116e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000000000000000000000090000000f00060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000000000000000a000000000000900050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1111511111111351111191111111c1131e8111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e111313111311393113113391111911311313333e113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 113e6311111133313311991133391111111111113613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: e31315e1136a1115111311115513e1e3133113339551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00590000000050000000000500000090000a0a000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000d0000000000000000000000000000090000, Class:  0, CF:0.309981, Len:  2, Fitness_tra: -11
Rule 30: 1131e3e1111311111111131915111113991e36131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 191111331131511136111111111311331116339e9151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 31319513616163e16311139191e11e161e133e131551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 31191113313331111313111111311313911111911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000e000000f6e000e050005000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 3e1111366136111e133911e113113161331111111151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 38: 1111113331e311116111111221311311113113911181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: e0090000a00000000090000000e00e0000ee00090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 60e000006e0a00000000000000006000000000000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 11915d36111613133113139993e9e336133613193515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 0000a00000a000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000000000000000000000000000600e00000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 4
Rule 44: 00000000000000f000000000000000000000000f0f0f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 000000006e0f09e0000000500d00000f0000000000d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 9191111163611131311133951e1361133116e331613e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00000000000000e00000000000000000000000000000, Class:  0, CF:0.187759, Len:  1, Fitness_tra: -4
Rule 48: 111115111211311111131311113111111e1111111113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 11111111113111111211119311111111111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000d000e050000990000000900000000000000000900, Class:  0, CF:0.520817, Len:  7, Fitness_tra: 0
Rule 51: 00000000000000000000000000009000000000090000, Class:  0, CF:0.359978, Len:  2, Fitness_tra: -5
Rule 52: 00000d00a006e0000000000000000666000090000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 00000000ff90a0000000500000000000000fd0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000d0500000000000000000000000000a000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0000000000000000000000000000000000000a00000f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0005000000000000000000000000000000000e000000, Class:  0, CF:0.235694, Len:  2, Fitness_tra: -5
Rule 57: 0000000000000000000000000000000000000000a000, Class:  1, CF:  1, Len:  1, Fitness_tra: 7
Rule 58: 00d00000000005000000000000000000000000000000, Class:  0, CF:0.211565, Len:  2, Fitness_tra: -19
Rule 59: e35113133113e311f119113131191319511193311311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1119111135161111115313311111111e1311131d1111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000a0050000e0000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 13111513313113131151311391313e315531111111e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000d00000000900000000000006000e9000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000a00090000e00000000000000000000009550, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 11111111111111511113319151111113115111111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00000000000000009500000000500000000000000900, Class:  0, CF:0.292222, Len:  4, Fitness_tra: 0
Rule 68: 3135153363a61133a35e313113e133361e3613161311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 33131111633113151195311115311113159ee1391151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000000000000f00000500000000000000000d090000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule 71: 00000000000000000000000000006090000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 72: 959005e0a0000000000000000000000050a0000000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000000000e0000000009000000060000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 74: 000090090e00000000000000000000a0000000000050, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 75: 1991e5e6333a133361113e31551113611e3333663911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 0000e5e0000000000e0000e00000000e000e00000000, Class:  0, CF:0.440412, Len:  7, Fitness_tra: 0
Rule 77: 00000000000000005d00000000000000000000000000, Class:  0, CF:0.103881, Len:  2, Fitness_tra: -3
Rule 78: 00000000000000000000000000000000000009000000, Class:  0, CF:0.101519, Len:  1, Fitness_tra: -2
Rule 79: 1111351111613133311313913161111e311131111313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000e0000590090000005900000550000000000, Class:  0, CF:0.730913, Len:  8, Fitness_tra: 0
Rule 81: 000000000e000000000e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 550500000909000000000000000000e00000d5000000, Class:  0, CF:0.379795, Len:  8, Fitness_tra: 0
Rule 83: 00505d0e0000000000000000000e0000050000000000, Class:  0, CF:0.360736, Len:  6, Fitness_tra: 0
Rule 84: 13311166133a39311e131e3151311131113616131113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 13115111111311116111331151111111116311191111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 500e0060000000000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 3111e5e3331333111e1113331335131131e3133913d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 95131111313611111111311111111113111111111121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000000000000000000000000000000000050000, Class:  0, CF:0.182484, Len:  1, Fitness_tra: -31
Rule 90: 13161133333611131e93313935353163311331331551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000000000000000000e00000000000000e000000000, Class:  0, CF:0.183658, Len:  2, Fitness_tra: -1
Rule 92: 00000000000000000000000000000000000000009000, Class:  0, CF:0.236929, Len:  1, Fitness_tra: -29
Rule 93: 000000000000000000000000000000000900009e0000, Class:  0, CF:0.61073, Len:  3, Fitness_tra: 1
Rule 94: 31191119131131116313111115111111133111391551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 1191113663111111333131913539366613111111e351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 111151121131311111131e1111111111115811211155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 000000000000000000d0050000000ea0000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 1133113313f131113159311311191136391111331122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 9e09550000e0000e000600000900e0e009ee06000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00900000000e000000000000a0a6000e000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:72.0833
------Result------
Miss_rate(tra)	:72.0833
Miss_rate(tst)	:74.0741
ARL				:2.93103

------Generation 0------
Rule  1: 0000000000000000000000000000000000000000a000, Class:  1, CF:  1, Len:  1, Fitness_tra: 8
Rule  2: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule  3: 00000000000000000000000000000000600e00000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 4
Rule  4: 00000000000000000000000000006090000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 4
Rule  5: 000000000000000000000000000000000900009e0000, Class:  0, CF:0.61073, Len:  3, Fitness_tra: 1
Rule  6: 000000000000d000000a000200000555d00f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1111111111331911111e11311111119e115133111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 113e3113111313111311111111111131111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 96161191111331111113119511331163191111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000000000f000600905000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 66399931a11116e31611333e113319315e3111331133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00900000000e000000000000a0a6000e000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 951511111111e133139e69113365313e15313131111e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000005e0e0000005006000000000000000a00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000e00e00000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e11315336133339e1e51e115dd111136993911911151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15511111113119111511113111112211111111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 11159d3331199531139111131963e111151331116e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000000000000000000000000090000000f00060, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000000000000000a000000000000900050000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1111511111111351111191111111c1131e8111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e111313111311393113113391111911311313333e113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 113e6311111133313311991133391111111111113613, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: e31315e1136a1115111311115513e1e3133113339551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00590000000050000000000500000090000a0a000005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
