------Generation 0------
Rule  1: 3e31191e31131111331111911191111333111e115181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000900000000500000000500a00000000000000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule  3: 11131d31333613113631111115131e11136113133115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000d09000009050050a00000000000000060000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000000000000000000000000000000000000000, Class:  0, CF:2.77556e-16, Len:  0, Fitness_tra: 0
Rule  6: 31169116111133936e961313111113119363131e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1113111131131121151311112211111e111111911222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00006e00e00000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000005000000000900000000000000000e000909, Class:  0, CF:0.635482, Len:  5, Fitness_tra: 0
Rule 10: 00000000000000000000005500000000000000000000, Class:  0, CF:0.234028, Len:  2, Fitness_tra: -11
Rule 11: 00590000000050000000000500000090000a0a000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000000000000000000000000000000, Class:  0, CF:2.77556e-16, Len:  0, Fitness_tra: 0
Rule 13: 11311116e313331669133931ee313133e11113313311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 31111111111311113111111111111133111113311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000000a000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 16: 00000000000e00000000000000000000000000000000, Class:  0, CF:0.0547334, Len:  1, Fitness_tra: -1
Rule 17: 000000000000000000000000000000000000000f0000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule 18: 31555d6136a61611113ee91139351336313131161111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000050f00000000000000fa00000060a000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 661135e1a33631e1139611113319611339169131e515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 15111111121153111111111111112811331111111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 22: 00000000000000000000000000000000000000e00050, Class:  0, CF:0.407625, Len:  2, Fitness_tra: -8
Rule 23: 05000000000000000000000000000900000000090000, Class:  0, CF:0.404027, Len:  3, Fitness_tra: -4
Rule 24: 0000000000a0050000e0000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11115112113111511211113111312211118111211155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000000000000000000000000a00000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule 27: e319113e131131931e11313515e1331631e311331111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11111511111131111211311111111111111211111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 29: 0000000000a060000000006000000060e00000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 311115113131151e3631333113e31113511113111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 600000000e0000000000000a00000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 33: 1113e5613e163111e1511151111511611e1311e11911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000e00000000000000000a00000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000da000000000000000000000000005090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 11111111121113111111113111111211111111121115, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 37: 00000000000000000000000000000000000000f00060, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 38: 06000006060000000000000000f0000a000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000d0090000005e000006005006000ee550000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000000000000000000000005000000000000000, Class:  0, CF:0.136323, Len:  1, Fitness_tra: -33
Rule 41: 00000000000000000000000000000a00000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 42: 000000000000000000000050000000000000000e0000, Class:  0, CF:0.431735, Len:  2, Fitness_tra: -9
Rule 43: 000000000e0000590090000005900000550000000000, Class:  0, CF:0.742002, Len:  8, Fitness_tra: 0
Rule 44: 00000009000000000000e90000000e00000000000000, Class:  0, CF:0.362079, Len:  4, Fitness_tra: 0
Rule 45: 0000000000000000000e00000000000000e000000000, Class:  0, CF:0.205669, Len:  2, Fitness_tra: -2
Rule 46: 000000000000000000009000000000000000000f0000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 47: 33313131353311111113311551351111111133151211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
