------Generation 0------
Rule  1: 113131e36913311133113311133111139561e333135e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule  3: ef000060000f000900e0000050000000000a0a060000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 06000000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule  5: 0000000000009e000900000000000000000000000000, Class:  0, CF:0.261983, Len:  3, Fitness_tra: -3
Rule  6: 1111551112313e1111111119111111111e5111111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1633e511a66fe13e6311619395353e33136313111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 16361133613311933311111115619111316631135511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11111111319111116311111211111111113311111111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 10: 00000d0e000009050050a00000000000000060000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0e09000000000000f000e00000000000006000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000e0000550090000005900000550000000000, Class:  0, CF:0.759438, Len:  8, Fitness_tra: 0
Rule 13: 11131111111125111511111111111119111199111121, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 14: 00000000000000000000000000000000060000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule 15: 39111531316111151911311111351111131113311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000000000000000000000000fa000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 550500000909000000000000000000e00000d5000000, Class:  0, CF:0.430483, Len:  8, Fitness_tra: 0
Rule 19: 9e1113136e1663313696331313116191193391116131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1116113319331115131111151511111319131e111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 11111211e11111116151111111111111111111111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000d000000a000000000050d00f00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000000000000d00006000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 24: 00000000000000000000000000000000000000f00060, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 25: 1116e113631fe1111e11311111391e1a111333131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000e0000e0000000500d00000f0000000900d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000000a600000000000e00000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000000050000000000000000000000000000000, Class:  0, CF:0.0848653, Len:  1, Fitness_tra: -2
Rule 30: 00600000000000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 31: 9e09550000e0000e00060000090090e009ee06000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1e159511611131311199111111151313313133113353, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000a0000000000000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 4
Rule 34: e111153313a33113613111e113319111113311191151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: e000e56000000000a600000000000e00000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 331111366131131e639113331533e11339e311931111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 13311133911a11111319115121119191593311111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 11151131111351511611111111111111113131311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000000000009500000000000000000000000000, Class:  0, CF:0.0214451, Len:  2, Fitness_tra: 0
Rule 40: 11113111913311113311111211311111111611111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000000000a000000a00000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00005000000000000000000000000000000000000000, Class:  0, CF:0.121749, Len:  1, Fitness_tra: -11
Rule 43: 3e13111331a611351351133915653166331311311521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1111151663a3131111e3133131e31133111191113515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 19315131111111991311e19151111111311311111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0e0000000000000005e0006300000000000500000950, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 31131111e13119551311319151111113311931151521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000000000000005e6000000000000000000000050, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0000000000000000000000000000000005000005e000, Class:  0, CF:0.486368, Len:  3, Fitness_tra: 4
Rule 50: 00000000000000000000000000000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 00000000000000000000000000000a00000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 52: 3115111331311311631111191111e61139313e311191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 3113111133163113331111319131313111639e113195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 00000000000000000000000000000000060000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 0
Rule 55: 11116e11511131361193313333111113111315113391, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0a0000050f0000000000050dfa00000060f000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 333131311e6611131311511511913111311393131191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000000000000e00000000000000000000000000000, Class:  0, CF:0.19939, Len:  1, Fitness_tra: -16
