------Generation 0------
Rule  1: a5a2, Class:  1, CF:0.618074, Len:  4, Fitness_tra: 14
Rule  2: 0620, Class:  0, CF:0.30965, Len:  2, Fitness_tra: -3
Rule  3: 1e31, Class:  0, CF:0.867358, Len:  4, Fitness_tra: 14
Rule  4: 15f1, Class:  0, CF:0.600656, Len:  4, Fitness_tra: 2
Rule  5: 0250, Class:  1, CF:0.101173, Len:  2, Fitness_tra: 0
Rule  6: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2161, Class:  0, CF:0.402094, Len:  4, Fitness_tra: 0
Rule  8: 12b1, Class:  1, CF:0.061792, Len:  4, Fitness_tra: 0
Rule  9: 5050, Class:  1, CF:0.134878, Len:  2, Fitness_tra: 0
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0040, Class:  1, CF:0.0610379, Len:  1, Fitness_tra: 9
Rule 12: 4161, Class:  0, CF:0.0388423, Len:  4, Fitness_tra: 0
Rule 13: 6055, Class:  0, CF:0.976668, Len:  3, Fitness_tra: 20
Rule 14: 6126, Class:  1, CF:0.0521169, Len:  4, Fitness_tra: 0
Rule 15: 2271, Class:  0, CF:0.42446, Len:  4, Fitness_tra: -1
Rule 16: 21a1, Class:  0, CF:0.490286, Len:  4, Fitness_tra: 4
Rule 17: 1111, Class:  1, CF:0.402877, Len:  4, Fitness_tra: 16
Rule 18: 1212, Class:  1, CF:0.173945, Len:  4, Fitness_tra: 0
Rule 19: 2213, Class:  0, CF:0.721213, Len:  4, Fitness_tra: 16
Rule 20: 2212, Class:  0, CF:0.14386, Len:  4, Fitness_tra: 0
Rule 21: 0030, Class:  0, CF:0.0377612, Len:  1, Fitness_tra: 0
Rule 22: 13e5, Class:  0, CF:0.995722, Len:  4, Fitness_tra: 4
Rule 23: 5030, Class:  0, CF:0.619111, Len:  2, Fitness_tra: 46
Rule 24: 0005, Class:  0, CF:0.109138, Len:  1, Fitness_tra: -17
Rule 25: 2132, Class:  0, CF:0.155466, Len:  4, Fitness_tra: 0
Rule 26: 4345, Class:  0, CF:0.777541, Len:  4, Fitness_tra: 15
Rule 27: 1234, Class:  1, CF:0.193315, Len:  4, Fitness_tra: 3
Rule 28: 7113, Class:  1, CF:0.482742, Len:  4, Fitness_tra: 11
Rule 29: 5000, Class:  0, CF:0.162703, Len:  1, Fitness_tra: -10
Rule 30: c000, Class:  0, CF:0.0138408, Len:  1, Fitness_tra: 0
Rule 31: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0200, Class:  1, CF:0.0134921, Len:  1, Fitness_tra: 0
