------Generation 0------
Rule  1: 55ff212, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  2: 0000030, Class:  0, CF:0.879682, Len:  1, Fitness_tra: 0
Rule  3: 251f511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 226a531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000, Class:  0, CF:0.881188, Len:  0, Fitness_tra: 266
Rule  6: 0000004, Class:  0, CF:0.889403, Len:  1, Fitness_tra: 0
Rule  7: e5fa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  8: 0000600, Class:  0, CF:0.928647, Len:  1, Fitness_tra: 1
Rule  9: 93a1218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 28ff1c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0000500, Class:  0, CF:0.554618, Len:  1, Fitness_tra: 0
Rule 12: 111131b, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 13: 1516132, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 14: 12aa581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 851f581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 111a923, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:0.881188, Len:  0, Fitness_tra: 0
Rule 18: 1113185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 15f651c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: b513d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 111a931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1116111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 1d1a916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 5116721, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 25: 59a6511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1dfa121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 27: d166d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 313115c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
