------Generation 0------
Rule  1: 11aa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  2: 6df61e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000d0, Class:  0, CF:0.938433, Len:  1, Fitness_tra: 10
Rule  4: 157a131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 18a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1daf111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 1161131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  8: 2233181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: d1ffd55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d136112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 252
Rule 12: 116113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1171931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 113a334, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 5000500, Class:  0, CF:0.305732, Len:  2, Fitness_tra: 0
Rule 16: 116311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15a3113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 18: 06000d0, Class:  0, CF:0.940563, Len:  2, Fitness_tra: 0
Rule 19: 73f6131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1d1a93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 15a3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 1213dc5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b163121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e936111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22a1512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2766121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 27: 11a1d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 81a1121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 1d31d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11a6155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 11a6512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 0
Rule 33: 59af361, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 0000020, Class:  0, CF:0.897989, Len:  1, Fitness_tra: 1
Rule 35: d1aa521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1533dd3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 36f6d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000004, Class:  0, CF:0.899259, Len:  1, Fitness_tra: 2
Rule 39: 31ff311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 2131121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 41: c1f3d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 811a1c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 11f3593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 0
Rule 45: 1d61113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 46: 0000e00, Class:  1, CF:0.509615, Len:  1, Fitness_tra: 0
Rule 47: 3136111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1536111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 49: 11a1e33, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1361515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3531961, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1511411, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 53: 8231882, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000600, Class:  0, CF:0.921683, Len:  1, Fitness_tra: 1
Rule 55: 15fa518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 3a63152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1df6d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11a3e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 156a511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 2bf3585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 15139e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 141f911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1dff512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 211f131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 65: 2216d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 81a6d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: e13f181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 68: 1516911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 0
Rule 70: 21a191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 11a69e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 111a181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 73: 1161211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 74: 2561125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1136511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 13611d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 3d6f9e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1116115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 11af319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1dff111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 81: 3131933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1131e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 31a1911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 113a155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 6531131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 7163d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 11aa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 88: 113f913, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 0
Rule 90: 31f3933, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 153a173, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 92: 8233581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 12fa131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 94: 15af112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 95: 51333ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 0000d00, Class:  0, CF:0.803781, Len:  1, Fitness_tra: 0
Rule 97: 15fa112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 98: 5563151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1361521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1d161e9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:5.96026
------Result------
Miss_rate(tra)	:5.96026
Miss_rate(tst)	:5.88235
ARL				:4.81081

------Generation 0------
Rule  1: 11aa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  2: 6df61e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000d0, Class:  0, CF:0.938433, Len:  1, Fitness_tra: 10
Rule  4: 157a131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 18a1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1daf111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 1161131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  8: 2233181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: d1ffd55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d136112, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 252
Rule 12: 116113e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1171931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 113a334, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 5000500, Class:  0, CF:0.305732, Len:  2, Fitness_tra: 0
Rule 16: 116311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15a3113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 18: 06000d0, Class:  0, CF:0.940563, Len:  2, Fitness_tra: 0
Rule 19: 73f6131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1d1a93e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 15a3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 22: 1213dc5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b163121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: e936111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 22a1512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2766121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 27: 11a1d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 81a1121, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 29: 1d31d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11a6155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 11a6512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000000, Class:  0, CF:0.880795, Len:  0, Fitness_tra: 0
