<CommandLineArguments>
ImbalancedDataset_FGBML.exe yeast-2class(minor-7) 1 FGBML_SMOTE 20 17 5 n 
<HyperParameter>
NUM_MEMBERSHIP_FUNC = 15
POPULATION_SIZE = 100
NUM_ITERATION = 5000
PROB_CROSSOVER = 0.900000
PER_REPLACEMENT = 20
SEED = 1234
INTERVAL_GRAPH = 100
IS_SELECT_PARENTS_ONLY_FROM_WINNER_RULE = 0
NUM_TRIAL = 20

<RUNNING_SECOND>
3038 [s]

<Evaluation>
PER MISS TRA:30.4049
PER MISS TST:17.5676
LEN OF RULE:1.5
Confusion Matrix tra:
1812, 779
17, 10
Confusion Matrix tst:
121, 24
2, 1

<BestRules> [att, class, weight]
000000d0, 1, 0.077795
000c0000, 0, 0.625873
000000c0, 0, 0.305127
0d000000, 1, 0.185426
60000000, 0, 0.523712
00080000, 0, 0.811834
0000000d, 0, 1.000000
000001dc, 0, 0.319618
00d00000, 0, 1.000000
e0000000, 0, 0.760155
00102000, 0, 1.000000
c0800100, 0, 0.239503
0000020a, 0, 1.000000
00090000, 0, 1.000000
00000060, 0, 1.000000
00000005, 0, 1.000000
20000050, 1, 0.155383
001000dc, 0, 0.298292
0e000000, 0, 0.308254
00000630, 0, 1.000000

<Prediction> [generation][index_pattern]
Training:
