------Generation 0------
Rule  1: d24bb, Class:  1, CF:0.359845, Len:  5, Fitness_tra: 0
Rule  2: 15121, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: e2211, Class:  0, CF:0.573408, Len:  5, Fitness_tra: 0
Rule  4: 12412, Class:  1, CF:0.0377338, Len:  5, Fitness_tra: 0
Rule  5: 1c147, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: 9122b, Class:  1, CF:0.979836, Len:  5, Fitness_tra: 0
Rule  7: 15c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  8: 98bbb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9111b, Class:  1, CF:0.914652, Len:  5, Fitness_tra: 1
Rule 10: 81c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 11: 11124, Class:  1, CF:0.957619, Len:  5, Fitness_tra: 1
Rule 12: d11b1, Class:  1, CF:0.874127, Len:  5, Fitness_tra: 5
Rule 13: 12177, Class:  1, CF:0.556837, Len:  5, Fitness_tra: 0
Rule 14: 98441, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 215b7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 16: 5527b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 15421, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 18: 12122, Class:  1, CF:0.900318, Len:  5, Fitness_tra: 0
Rule 19: a4000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 20: 9c411, Class:  0, CF:0.998807, Len:  5, Fitness_tra: 3
Rule 21: 151b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 22: 1124b, Class:  1, CF:0.668985, Len:  5, Fitness_tra: 0
Rule 23: d1112, Class:  1, CF:0.88086, Len:  5, Fitness_tra: 4
Rule 24: 181b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 12221, Class:  0, CF:0.597099, Len:  5, Fitness_tra: 0
Rule 26: 12c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 11142, Class:  1, CF:0.967248, Len:  5, Fitness_tra: 0
Rule 28: 12111, Class:  0, CF:0.77344, Len:  5, Fitness_tra: 96
Rule 29: 118b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 30: 31127, Class:  0, CF:0.297375, Len:  5, Fitness_tra: 0
Rule 31: 13512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11221, Class:  1, CF:0.3337, Len:  5, Fitness_tra: 0
Rule 33: d54b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 551b2, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 35: 98c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 36: 55217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 37: 31241, Class:  0, CF:0.909759, Len:  5, Fitness_tra: 0
Rule 38: 5821b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 39: 1d44b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 40: 58714, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 41: 19122, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 42: 152bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 43: e1c77, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 5112b, Class:  1, CF:0.98136, Len:  5, Fitness_tra: 0
Rule 45: 00c00, Class:  0, CF:  1, Len:  1, Fitness_tra: 15
Rule 46: d1417, Class:  1, CF:0.385009, Len:  5, Fitness_tra: 0
Rule 47: 321b2, Class:  0, CF:0.679777, Len:  5, Fitness_tra: 0
Rule 48: 9c472, Class:  0, CF:0.43383, Len:  5, Fitness_tra: 0
Rule 49: 51141, Class:  1, CF:0.951416, Len:  5, Fitness_tra: 3
Rule 50: 31211, Class:  0, CF:0.932786, Len:  5, Fitness_tra: 0
Rule 51: 95217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 52: 15522, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 53: 181b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 0b000, Class:  1, CF:0.020154, Len:  1, Fitness_tra: 0
Rule 55: 13277, Class:  1, CF:0.84117, Len:  5, Fitness_tra: 0
Rule 56: 5511b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 57: 38171, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 58: d1117, Class:  1, CF:0.696198, Len:  5, Fitness_tra: -1
Rule 59: d17b2, Class:  1, CF:0.978073, Len:  5, Fitness_tra: 0
Rule 60: d81b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 61: 554b4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 62: d1744, Class:  1, CF:0.953061, Len:  5, Fitness_tra: 0
Rule 63: 52147, Class:  1, CF:0.900379, Len:  5, Fitness_tra: 0
Rule 64: 52447, Class:  1, CF:0.787431, Len:  5, Fitness_tra: 0
Rule 65: d1c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 66: 18224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 67: 81771, Class:  1, CF:0.515067, Len:  5, Fitness_tra: 0
Rule 68: 51174, Class:  1, CF:0.984791, Len:  5, Fitness_tra: 1
Rule 69: 13174, Class:  1, CF:0.960875, Len:  5, Fitness_tra: 0
Rule 70: 5c777, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: 98444, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 72: 11547, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 73: e81b1, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 74: 1c121, Class:  0, CF:0.993677, Len:  5, Fitness_tra: 0
Rule 75: 52411, Class:  0, CF:0.675762, Len:  5, Fitness_tra: 1
Rule 76: 15242, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 77: 512b1, Class:  1, CF:0.792115, Len:  5, Fitness_tra: 0
Rule 78: 15c42, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 98174, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 11277, Class:  1, CF:0.723332, Len:  5, Fitness_tra: 0
Rule 81: 04008, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule 82: 12b11, Class:  0, CF:0.843638, Len:  5, Fitness_tra: 34
Rule 83: dc212, Class:  0, CF:0.922588, Len:  5, Fitness_tra: 0
Rule 84: 115b7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 85: d52b4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 86: 95421, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 87: 6bb21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 15c1b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 89: 11427, Class:  1, CF:0.827913, Len:  5, Fitness_tra: 0
Rule 90: 14221, Class:  0, CF:0.390929, Len:  5, Fitness_tra: 0
Rule 91: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 92: 111b7, Class:  1, CF:0.85151, Len:  5, Fitness_tra: 0
Rule 93: 12211, Class:  0, CF:0.930705, Len:  5, Fitness_tra: 4
Rule 94: 31771, Class:  0, CF:0.805286, Len:  5, Fitness_tra: 0
Rule 95: 187b4, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 96: 1c412, Class:  0, CF:0.967329, Len:  5, Fitness_tra: 0
Rule 97: d5112, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 98: ec241, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 99: 91214, Class:  1, CF:0.840337, Len:  5, Fitness_tra: 0
Rule100: ec424, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:6.21762
------Result------
Miss_rate(tra)	:6.21762
Miss_rate(tst)	:18.1818
ARL				:4.80612

------Generation 0------
Rule  1: 12111, Class:  0, CF:0.77344, Len:  5, Fitness_tra: 83
Rule  2: 12b11, Class:  0, CF:0.843638, Len:  5, Fitness_tra: 24
Rule  3: 00c00, Class:  0, CF:  1, Len:  1, Fitness_tra: 15
Rule  4: d11b1, Class:  1, CF:0.874127, Len:  5, Fitness_tra: 3
Rule  5: 12211, Class:  0, CF:0.930705, Len:  5, Fitness_tra: 4
Rule  6: d1112, Class:  1, CF:0.88086, Len:  5, Fitness_tra: 8
Rule  7: 9c411, Class:  0, CF:0.998807, Len:  5, Fitness_tra: 3
Rule  8: 51141, Class:  1, CF:0.951416, Len:  5, Fitness_tra: 2
Rule  9: 11124, Class:  1, CF:0.957619, Len:  5, Fitness_tra: 1
Rule 10: 9111b, Class:  1, CF:0.914652, Len:  5, Fitness_tra: 2
Rule 11: 51174, Class:  1, CF:0.984791, Len:  5, Fitness_tra: 2
Rule 12: 52411, Class:  0, CF:0.675762, Len:  5, Fitness_tra: 0
