------Generation 0------
Rule  1: 1851b79c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 15811738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 11111a91, Class:  0, CF:0.947619, Len:  8, Fitness_tra: 0
Rule  4: 81211432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5d54b132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 29122718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 112824e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: e11242e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 81822731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d121b21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 152c275d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 23487b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 55514438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 85d2b461, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 112c7212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 52117131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: d1232791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1581b431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 111c1a92, Class:  0, CF:0.955663, Len:  8, Fitness_tra: 0
Rule 20: c81c7214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: c1111458, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 11117491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2c287b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: c151229c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 8557bb5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: cd2cb131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 93c14be4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 91214111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 551d423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1821bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5d8c1795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 85244751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: c511271c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: cd4c4238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00000000, Class:  0, CF:0.931138, Len:  0, Fitness_tra: 1244
Rule 36: 1512b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000, Class:  0, CF:0.931138, Len:  0, Fitness_tra: 0
Rule 38: 185c2454, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: d5112b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 53812b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 5dc114e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 51214b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 52112b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 00000000, Class:  0, CF:0.931138, Len:  0, Fitness_tra: 0
Rule 45: 18224418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
