------Generation 0------
Rule  1: 000d0d0, Class:  0, CF:0.896305, Len:  2, Fitness_tra: 0
Rule  2: 4cb1412, Class:  0, CF:0.25855, Len:  7, Fitness_tra: 0
Rule  3: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1c24111, Class:  1, CF:0.243087, Len:  7, Fitness_tra: 0
Rule  5: 1312131, Class:  1, CF:0.894619, Len:  7, Fitness_tra: 0
Rule  6: 33e1119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 0000050, Class:  0, CF:0.645666, Len:  1, Fitness_tra: 4
Rule  8: 0600000, Class:  1, CF:0.783853, Len:  1, Fitness_tra: 0
Rule  9: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d15556d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d61116d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 03000d0, Class:  1, CF:0.965329, Len:  2, Fitness_tra: 0
Rule 13: 2211114, Class:  0, CF:0.32954, Len:  7, Fitness_tra: 0
Rule 14: 00f0000, Class:  1, CF:0.836083, Len:  1, Fitness_tra: 28
Rule 15: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1181111, Class:  0, CF:0.479437, Len:  7, Fitness_tra: 0
Rule 17: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 5355531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2274447, Class:  0, CF:0.595556, Len:  7, Fitness_tra: 0
Rule 21: 0000060, Class:  1, CF:0.827606, Len:  1, Fitness_tra: 2
Rule 22: 0300000, Class:  1, CF:0.852336, Len:  1, Fitness_tra: 6
Rule 23: d152111, Class:  0, CF:0.314947, Len:  7, Fitness_tra: 0
Rule 24: 215476d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 4040004, Class:  0, CF:0.683451, Len:  3, Fitness_tra: 23
Rule 26: 1171721, Class:  0, CF:0.0691442, Len:  7, Fitness_tra: 0
