------Generation 0------
Rule  1: 19c2b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 04000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 67184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 31447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 21141, Class:  0, CF:0.826699, Len:  5, Fitness_tra: 51
Rule  6: 8e1b2, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  7: 11142, Class:  0, CF:0.951575, Len:  5, Fitness_tra: 0
Rule  8: 55777, Class:  1, CF:0.872967, Len:  5, Fitness_tra: 0
Rule  9: a1122, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: f3000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 32717, Class:  1, CF:0.592948, Len:  5, Fitness_tra: 0
Rule 12: 11172, Class:  0, CF:0.943861, Len:  5, Fitness_tra: 8
Rule 13: 547b1, Class:  0, CF:0.191636, Len:  5, Fitness_tra: 0
Rule 14: 1552b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 18172, Class:  2, CF:0.081092, Len:  5, Fitness_tra: 0
Rule 16: 1652b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 12221, Class:  1, CF:0.602669, Len:  5, Fitness_tra: 0
Rule 18: 1d172, Class:  1, CF:0.805249, Len:  5, Fitness_tra: 0
Rule 19: d144b, Class:  0, CF:0.898788, Len:  5, Fitness_tra: 0
Rule 20: 62787, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1742, Class:  0, CF:0.970427, Len:  5, Fitness_tra: 5
Rule 23: 51441, Class:  0, CF:0.789103, Len:  5, Fitness_tra: 0
Rule 24: 5e2b4, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 25: 95222, Class:  1, CF:0.997323, Len:  5, Fitness_tra: 0
Rule 26: 15872, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: 13441, Class:  0, CF:0.600581, Len:  5, Fitness_tra: 0
Rule 28: 18122, Class:  2, CF:0.081092, Len:  5, Fitness_tra: 0
