------Generation 0------
Rule  1: d405, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0530, Class:  0, CF:0.616974, Len:  2, Fitness_tra: 38
Rule  3: 5940, Class:  0, CF:0.746921, Len:  3, Fitness_tra: 23
Rule  4: c151, Class:  2, CF:0.149961, Len:  4, Fitness_tra: 0
Rule  5: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2006, Class:  0, CF:0.443359, Len:  2, Fitness_tra: 43
Rule  7: 5080, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0620, Class:  2, CF:0.426387, Len:  2, Fitness_tra: 13
Rule  9: 4212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 415b, Class:  2, CF:0.272457, Len:  4, Fitness_tra: 0
Rule 11: 4115, Class:  2, CF:0.131403, Len:  4, Fitness_tra: 0
Rule 12: 9000, Class:  0, CF:0.152379, Len:  1, Fitness_tra: 5
Rule 13: 4604, Class:  2, CF:0.0682894, Len:  3, Fitness_tra: 0
Rule 14: 0500, Class:  0, CF:0.0485194, Len:  1, Fitness_tra: 0
Rule 15: 9157, Class:  1, CF:0.0260479, Len:  4, Fitness_tra: 0
Rule 16: 0350, Class:  2, CF:0.568803, Len:  2, Fitness_tra: 9
Rule 17: 6340, Class:  2, CF:0.660425, Len:  3, Fitness_tra: 4
Rule 18: 4534, Class:  0, CF:0.955909, Len:  4, Fitness_tra: 4
Rule 19: 7171, Class:  1, CF:0.304924, Len:  4, Fitness_tra: 17
Rule 20: 6532, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1e19, Class:  1, CF:0.128612, Len:  4, Fitness_tra: 0
Rule 23: 14a3, Class:  0, CF:0.871327, Len:  4, Fitness_tra: 10
Rule 24: 5000, Class:  0, CF:0.0772417, Len:  1, Fitness_tra: -3
Rule 25: 1111, Class:  1, CF:0.0433374, Len:  4, Fitness_tra: 0
Rule 26: 11b1, Class:  1, CF:0.207299, Len:  4, Fitness_tra: 3
Rule 27: 0404, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0540, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0600, Class:  2, CF:0.0826748, Len:  1, Fitness_tra: -1
Rule 30: 1511, Class:  0, CF:0.448544, Len:  4, Fitness_tra: 0
Rule 31: 1111, Class:  1, CF:0.0433374, Len:  4, Fitness_tra: 0
Rule 32: 5611, Class:  0, CF:0.238743, Len:  4, Fitness_tra: 0
Rule 33: 3c11, Class:  1, CF:0.0850156, Len:  4, Fitness_tra: 0
Rule 34: 0600, Class:  2, CF:0.0826748, Len:  1, Fitness_tra: 0
Rule 35: 21f1, Class:  0, CF:0.624926, Len:  4, Fitness_tra: 13
Rule 36: 0505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0040, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6000, Class:  2, CF:0.137786, Len:  1, Fitness_tra: -10
Rule 40: 3356, Class:  2, CF:0.755819, Len:  4, Fitness_tra: 3
Rule 41: 2211, Class:  0, CF:0.650865, Len:  4, Fitness_tra: 12
Rule 42: 0055, Class:  2, CF:0.616967, Len:  2, Fitness_tra: 22
Rule 43: 4064, Class:  0, CF:0.1548, Len:  3, Fitness_tra: 0
Rule 44: a002, Class:  2, CF:0.552336, Len:  2, Fitness_tra: 37
Rule 45: 3002, Class:  2, CF:0.399037, Len:  2, Fitness_tra: -4
Rule 46: 3291, Class:  2, CF:0.0698142, Len:  4, Fitness_tra: 0
Rule 47: 1511, Class:  0, CF:0.448544, Len:  4, Fitness_tra: 0
Rule 48: 1311, Class:  1, CF:0.122271, Len:  4, Fitness_tra: 0
Rule 49: b211, Class:  0, CF:0.229776, Len:  4, Fitness_tra: 2
Rule 50: 5045, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3221, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 0005, Class:  2, CF:0.0661826, Len:  1, Fitness_tra: -1
Rule 53: 1145, Class:  2, CF:0.721765, Len:  4, Fitness_tra: 5
Rule 54: 0060, Class:  0, CF:0.157476, Len:  1, Fitness_tra: -6
Rule 55: 0300, Class:  2, CF:0.0221412, Len:  1, Fitness_tra: 0
Rule 56: 0053, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 2515, Class:  0, CF:0.322842, Len:  4, Fitness_tra: -5
Rule 58: 1561, Class:  0, CF:0.792649, Len:  4, Fitness_tra: 1
Rule 59: 4550, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 0044, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 0050, Class:  2, CF:0.0715921, Len:  1, Fitness_tra: -10
Rule 62: 0609, Class:  2, CF:0.652717, Len:  2, Fitness_tra: 13
Rule 63: 4311, Class:  1, CF:0.086263, Len:  4, Fitness_tra: 0
Rule 64: 1161, Class:  1, CF:0.0186532, Len:  4, Fitness_tra: 0
Rule 65: 0502, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 1911, Class:  0, CF:0.574463, Len:  4, Fitness_tra: 8
Rule 67: 2000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 1244, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 0020, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 3154, Class:  2, CF:0.918104, Len:  4, Fitness_tra: 11
Rule 71: 6113, Class:  1, CF:0.220182, Len:  4, Fitness_tra: 4
Rule 72: 6a96, Class:  2, CF:0.997677, Len:  4, Fitness_tra: 1
Rule 73: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1111, Class:  1, CF:0.0433374, Len:  4, Fitness_tra: 0
Rule 75: 3126, Class:  2, CF:0.0463653, Len:  4, Fitness_tra: 0
Rule 76: 34d0, Class:  2, CF:0.251267, Len:  3, Fitness_tra: -4
Rule 77: 4145, Class:  2, CF:0.468695, Len:  4, Fitness_tra: -3
Rule 78: 133b, Class:  1, CF:0.114012, Len:  4, Fitness_tra: 0
Rule 79: 0040, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1211, Class:  0, CF:0.129866, Len:  4, Fitness_tra: 0
Rule 81: 0005, Class:  2, CF:0.0661826, Len:  1, Fitness_tra: 0
Rule 82: 2514, Class:  0, CF:0.673745, Len:  4, Fitness_tra: 2
Rule 83: 3030, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0050, Class:  2, CF:0.0715921, Len:  1, Fitness_tra: 0
Rule 85: 3555, Class:  2, CF:0.866497, Len:  4, Fitness_tra: 2
Rule 86: 1d41, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0053, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 3325, Class:  2, CF:0.991659, Len:  4, Fitness_tra: 2
Rule 90: 0040, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: e054, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1111, Class:  1, CF:0.0433374, Len:  4, Fitness_tra: 0
Rule 93: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0202, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 3000, Class:  2, CF:0.0518175, Len:  1, Fitness_tra: 0
Rule 96: 0565, Class:  0, CF:0.326786, Len:  3, Fitness_tra: 0
Rule 97: 2035, Class:  0, CF:0.118699, Len:  3, Fitness_tra: 0
Rule 98: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 1213, Class:  0, CF:0.389159, Len:  4, Fitness_tra: 3
Rule100: 0035, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.027
------Result------
Miss_rate(tra)	:27.027
Miss_rate(tst)	:9.52381
ARL				:3.08824

------Generation 0------
Rule  1: 2006, Class:  0, CF:0.443359, Len:  2, Fitness_tra: 28
