------Generation 0------
Rule  1: 6a33, Class:  1, CF:0.685382, Len:  4, Fitness_tra: 6
Rule  2: 2163, Class:  0, CF:0.718398, Len:  4, Fitness_tra: 5
Rule  3: 6605, Class:  2, CF:0.98945, Len:  3, Fitness_tra: 8
Rule  4: 5044, Class:  0, CF:0.141574, Len:  3, Fitness_tra: 4
Rule  5: 2316, Class:  0, CF:0.171742, Len:  4, Fitness_tra: 0
Rule  6: 5521, Class:  0, CF:0.633378, Len:  4, Fitness_tra: 5
Rule  7: 1536, Class:  0, CF:0.79184, Len:  4, Fitness_tra: 4
Rule  8: 5553, Class:  0, CF:  1, Len:  4, Fitness_tra: 3
Rule  9: 3322, Class:  2, CF:0.949893, Len:  4, Fitness_tra: 3
Rule 10: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5050, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0040, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4156, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0050, Class:  2, CF:0.0282219, Len:  1, Fitness_tra: 0
Rule 15: 4000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0600, Class:  2, CF:0.118357, Len:  1, Fitness_tra: -18
Rule 17: 6213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0606, Class:  1, CF:0.0757125, Len:  2, Fitness_tra: 0
Rule 19: 2433, Class:  0, CF:0.907723, Len:  4, Fitness_tra: 17
Rule 20: 0050, Class:  2, CF:0.0282219, Len:  1, Fitness_tra: 0
Rule 21: 5054, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3405, Class:  2, CF:0.594644, Len:  3, Fitness_tra: 10
Rule 23: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 3334, Class:  2, CF:0.0659523, Len:  4, Fitness_tra: 0
Rule 25: 1311, Class:  1, CF:0.189903, Len:  4, Fitness_tra: 1
Rule 26: 4251, Class:  0, CF:0.059994, Len:  4, Fitness_tra: 0
Rule 27: 0060, Class:  0, CF:0.0688682, Len:  1, Fitness_tra: 0
Rule 28: 3123, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1211, Class:  0, CF:0.050404, Len:  4, Fitness_tra: 0
Rule 30: 1114, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 3125, Class:  2, CF:0.952064, Len:  4, Fitness_tra: 6
Rule 32: e005, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: b511, Class:  0, CF:0.502828, Len:  4, Fitness_tra: 4
Rule 36: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 5111, Class:  0, CF:0.467067, Len:  4, Fitness_tra: 9
Rule 38: 540d, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3c13, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1312, Class:  2, CF:0.384544, Len:  4, Fitness_tra: -1
Rule 42: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
