------Generation 0------
Rule  1: b431, Class:  0, CF:0.354706, Len:  4, Fitness_tra: 3
Rule  2: 5522, Class:  1, CF:0.18372, Len:  4, Fitness_tra: -2
Rule  3: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4505, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1151, Class:  2, CF:0.436686, Len:  4, Fitness_tra: 10
Rule  9: 5456, Class:  0, CF:0.679972, Len:  4, Fitness_tra: 8
Rule 10: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3261, Class:  0, CF:0.20424, Len:  4, Fitness_tra: 0
Rule 13: 1111, Class:  1, CF:0.0220117, Len:  4, Fitness_tra: 0
Rule 14: 0005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e31, Class:  0, CF:0.9, Len:  4, Fitness_tra: 13
Rule 17: 0053, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 4174, Class:  1, CF:0.0454087, Len:  4, Fitness_tra: 0
Rule 19: 1341, Class:  2, CF:0.115116, Len:  4, Fitness_tra: 0
Rule 20: 1114, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 9124, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 500b, Class:  0, CF:0.206452, Len:  2, Fitness_tra: 9
Rule 24: 6131, Class:  1, CF:0.275483, Len:  4, Fitness_tra: 0
Rule 25: 2131, Class:  0, CF:0.345714, Len:  4, Fitness_tra: 0
Rule 26: 5004, Class:  0, CF:0.0413546, Len:  2, Fitness_tra: 1
Rule 27: 5911, Class:  0, CF:0.99124, Len:  4, Fitness_tra: 14
Rule 28: 1411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e111, Class:  0, CF:0.75089, Len:  4, Fitness_tra: 13
Rule 30: 9318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5004, Class:  0, CF:0.0413546, Len:  2, Fitness_tra: 0
Rule 32: 5231, Class:  0, CF:0.9855, Len:  4, Fitness_tra: 5
Rule 33: 1161, Class:  1, CF:0.133874, Len:  4, Fitness_tra: 0
Rule 34: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5045, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1169, Class:  2, CF:0.243976, Len:  4, Fitness_tra: 2
Rule 37: 4113, Class:  0, CF:0.0738869, Len:  4, Fitness_tra: 0
Rule 38: 7060, Class:  0, CF:0.0709939, Len:  2, Fitness_tra: 0
Rule 39: 5362, Class:  1, CF:0.304461, Len:  4, Fitness_tra: 0
Rule 40: 2131, Class:  0, CF:0.345714, Len:  4, Fitness_tra: 0
Rule 41: 0430, Class:  0, CF:0.220104, Len:  2, Fitness_tra: 8
Rule 42: 1112, Class:  2, CF:0.110921, Len:  4, Fitness_tra: 0
Rule 43: 0035, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 6055, Class:  2, CF:  1, Len:  3, Fitness_tra: 8
Rule 45: 5466, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule 46: 2060, Class:  0, CF:0.390212, Len:  2, Fitness_tra: 24
Rule 47: 0055, Class:  2, CF:0.395907, Len:  2, Fitness_tra: 21
Rule 48: 4435, Class:  0, CF:0.383648, Len:  4, Fitness_tra: 1
Rule 49: 0655, Class:  2, CF:  1, Len:  3, Fitness_tra: 13
Rule 50: 4113, Class:  0, CF:0.0738869, Len:  4, Fitness_tra: 0
Rule 51: 1216, Class:  0, CF:0.440146, Len:  4, Fitness_tra: 6
Rule 52: 4036, Class:  0, CF:0.845631, Len:  3, Fitness_tra: 16
Rule 53: 2122, Class:  2, CF:0.308572, Len:  4, Fitness_tra: 6
Rule 54: 0044, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0556, Class:  0, CF:0.382109, Len:  3, Fitness_tra: 13
Rule 56: 1313, Class:  1, CF:0.245791, Len:  4, Fitness_tra: -1
Rule 57: 6035, Class:  1, CF:0.00798497, Len:  3, Fitness_tra: 0
Rule 58: 1312, Class:  2, CF:0.342483, Len:  4, Fitness_tra: 16
Rule 59: 4121, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1121, Class:  2, CF:0.155074, Len:  4, Fitness_tra: 0
Rule 61: 1111, Class:  1, CF:0.0220117, Len:  4, Fitness_tra: 0
Rule 62: 1112, Class:  2, CF:0.110921, Len:  4, Fitness_tra: 0
Rule 63: 4452, Class:  2, CF:0.60992, Len:  4, Fitness_tra: 12
Rule 64: 1231, Class:  0, CF:0.398363, Len:  4, Fitness_tra: 5
Rule 65: 5535, Class:  0, CF:  1, Len:  4, Fitness_tra: 6
Rule 66: 1431, Class:  0, CF:0.057031, Len:  4, Fitness_tra: 0
Rule 67: 1121, Class:  2, CF:0.155074, Len:  4, Fitness_tra: 0
Rule 68: 2152, Class:  2, CF:0.471607, Len:  4, Fitness_tra: 10
Rule 69: 3325, Class:  2, CF:  1, Len:  4, Fitness_tra: 2
Rule 70: 1111, Class:  1, CF:0.0220117, Len:  4, Fitness_tra: 0
Rule 71: 0005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 1111, Class:  1, CF:0.0220117, Len:  4, Fitness_tra: 0
Rule 73: 2161, Class:  0, CF:0.401784, Len:  4, Fitness_tra: 0
Rule 74: 4142, Class:  2, CF:0.208672, Len:  4, Fitness_tra: 1
Rule 75: 3212, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 6020, Class:  2, CF:0.505582, Len:  2, Fitness_tra: 61
Rule 77: 1325, Class:  2, CF:0.986148, Len:  4, Fitness_tra: 5
Rule 78: 1125, Class:  2, CF:0.916243, Len:  4, Fitness_tra: 16
Rule 79: 1312, Class:  2, CF:0.342483, Len:  4, Fitness_tra: 0
Rule 80: 2132, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 3040, Class:  2, CF:0.235088, Len:  2, Fitness_tra: 5
Rule 82: 1131, Class:  1, CF:0.0967504, Len:  4, Fitness_tra: 0
Rule 83: 5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 2133, Class:  0, CF:0.682324, Len:  4, Fitness_tra: 0
Rule 85: 5912, Class:  0, CF:0.776948, Len:  4, Fitness_tra: 11
Rule 86: 0403, Class:  0, CF:0.189422, Len:  2, Fitness_tra: 17
Rule 87: 0002, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 2612, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1231, Class:  0, CF:0.398363, Len:  4, Fitness_tra: 0
Rule 90: 5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 3530, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 2465, Class:  0, CF:0.630548, Len:  4, Fitness_tra: 4
Rule 93: 0565, Class:  0, CF:0.0172727, Len:  3, Fitness_tra: -1
Rule 94: 0500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 4533, Class:  0, CF:  1, Len:  4, Fitness_tra: 7
