------Generation 0------
Rule  1: 615e, Class:  2, CF:  1, Len:  4, Fitness_tra: 1
Rule  2: 5111, Class:  0, CF:0.444689, Len:  4, Fitness_tra: 0
Rule  3: 0206, Class:  0, CF:0.431283, Len:  2, Fitness_tra: 10
Rule  4: 5203, Class:  0, CF:0.913946, Len:  3, Fitness_tra: 28
Rule  5: 4500, Class:  0, CF:0.0486909, Len:  2, Fitness_tra: 5
Rule  6: 1121, Class:  2, CF:0.170471, Len:  4, Fitness_tra: 0
Rule  7: 3141, Class:  2, CF:0.133706, Len:  4, Fitness_tra: 0
Rule  8: 3341, Class:  2, CF:0.366981, Len:  4, Fitness_tra: 1
Rule  9: 0325, Class:  2, CF:0.914341, Len:  3, Fitness_tra: 41
Rule 10: 0700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 020b, Class:  0, CF:0.115884, Len:  2, Fitness_tra: 3
Rule 12: 5300, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0340, Class:  2, CF:0.218606, Len:  2, Fitness_tra: 2
Rule 14: b336, Class:  1, CF:0.246857, Len:  4, Fitness_tra: 0
Rule 15: 1115, Class:  2, CF:0.465362, Len:  4, Fitness_tra: 9
Rule 16: 4036, Class:  0, CF:0.728546, Len:  3, Fitness_tra: 13
Rule 17: 1111, Class:  1, CF:0.0240722, Len:  4, Fitness_tra: 0
Rule 18: 1135, Class:  2, CF:0.256187, Len:  4, Fitness_tra: 0
Rule 19: 1161, Class:  1, CF:0.106803, Len:  4, Fitness_tra: 0
Rule 20: 1113, Class:  1, CF:0.0864203, Len:  4, Fitness_tra: 0
Rule 21: 5624, Class:  2, CF:0.601459, Len:  4, Fitness_tra: 7
Rule 22: 2111, Class:  0, CF:0.12169, Len:  4, Fitness_tra: 0
Rule 23: 3604, Class:  2, CF:0.82808, Len:  3, Fitness_tra: 16
Rule 24: 1643, Class:  1, CF:0.018658, Len:  4, Fitness_tra: 0
Rule 25: 5460, Class:  0, CF:0.868902, Len:  3, Fitness_tra: 30
Rule 26: 3111, Class:  1, CF:0.0976755, Len:  4, Fitness_tra: 0
Rule 27: 5405, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3555, Class:  2, CF:  1, Len:  4, Fitness_tra: 4
Rule 29: 9311, Class:  0, CF:0.318901, Len:  4, Fitness_tra: 0
Rule 30: 1513, Class:  0, CF:0.637917, Len:  4, Fitness_tra: 7
Rule 31: 1113, Class:  1, CF:0.0864203, Len:  4, Fitness_tra: 0
Rule 32: 0050, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 9411, Class:  0, CF:0.875099, Len:  4, Fitness_tra: 14
Rule 34: 0023, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0522, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1131, Class:  1, CF:0.114975, Len:  4, Fitness_tra: 0
